t-bug,t-new,Time to Close
54,12,0
19,3,1
18,2,2
25,1,3
15,0,4
9,1,5
9,0,6
16,3,7
11,1,8
12,0,9
14,0,10
9,1,11
10,1,12
15,1,13
8,0,14
3,0,15
5,1,16
8,0,17
10,3,18
6,0,19
12,2,20
16,0,21
13,3,22
2,2,23
6,1,24
5,1,25
5,0,26
8,2,27
8,1,28
10,0,29
8,0,30
5,0,31
5,0,32
9,1,33
10,2,34
9,4,35
14,0,36
6,0,37
6,2,38
5,1,39
7,2,40
15,1,41
6,1,42
6,4,43
8,0,44
1,0,45
7,1,46
6,1,47
1,3,48
5,1,49
3,0,50
1,1,51
3,1,52
3,0,53
4,0,54
4,1,55
6,1,56
6,0,57
5,1,58
1,2,59
2,0,60
2,0,61
3,0,62
5,0,63
4,0,64
2,0,65
7,1,66
3,0,67
4,1,68
7,0,69
4,0,70
5,0,71
0,1,72
3,0,74
4,0,75
2,0,76
5,0,78
4,2,79
3,0,80
1,0,81
5,0,82
1,0,83
6,2,84
2,0,85
2,0,86
0,1,87
0,1,88
3,0,89
4,0,90
3,1,91
1,0,92
0,2,93
4,1,94
2,0,95
1,0,96
1,0,97
2,0,98
3,0,99
1,0,100
2,0,104
4,0,105
1,0,106
2,0,107
2,1,109
2,1,111
1,0,113
2,0,114
1,1,116
1,0,117
3,0,119
0,1,120
3,0,124
1,0,125
1,0,126
2,0,127
3,0,129
2,0,132
2,0,134
1,0,136
1,0,139
4,1,140
1,0,141
1,0,143
1,1,144
1,0,145
1,0,146
1,0,150
5,1,153
1,1,154
1,0,158
1,0,160
1,0,166
1,0,167
1,0,168
1,0,170
3,1,175
1,0,176
1,0,177
1,0,179
1,0,182
1,0,183
0,1,187
1,0,188
1,0,189
1,0,194
1,0,195
2,0,197
1,0,207
2,0,209
1,0,210
1,0,211
1,0,212
1,0,213
1,0,217
1,0,218
1,0,224
1,0,226
1,0,230
1,0,231
1,0,232
1,0,237
1,0,246
1,0,247
1,0,248
1,0,251
2,0,252
1,0,260
1,0,262
1,0,265
1,0,266
1,0,271
1,0,275
1,0,281
1,0,286
1,0,302
1,0,304
1,0,314
1,0,318
1,0,330
1,0,337
1,0,343
1,0,344
1,0,357
1,0,371
0,1,375
1,0,376
1,0,379
1,0,387
1,0,391
1,0,395
1,0,398
1,0,413
1,0,415
1,0,418
1,0,433
1,0,447
1,0,451
1,0,459
1,0,463
1,0,465
1,0,470
1,0,480
1,0,483
1,0,486
1,0,487
1,0,506
1,0,511
1,0,520
1,0,528
1,0,547
1,0,567
1,0,581
1,0,608
1,0,621
1,0,630
1,0,649
1,0,653
1,0,715
1,0,723
1,0,727
1,0,753
1,0,812
1,0,850
1,0,938
