IDF,TF*IDF,DF,TF,Word
0.025,1.125,39.0,45.0,code
0.1111111111111111,1.222222222222222,8.0,11.0,queri
0.25,0.75,3.0,3.0,consum
0.25,0.75,3.0,3.0,abil
0.03333333333333333,1.2666666666666666,29.0,38.0,follow
0.05263157894736842,1.526315789473684,18.0,29.0,disk
0.034482758620689655,1.7586206896551724,28.0,51.0,compact
0.3333333333333333,0.6666666666666666,2.0,2.0,depend
0.09090909090909091,1.9090909090909092,10.0,21.0,leas
0.05555555555555555,1.1666666666666665,17.0,21.0,send
0.25,0.75,3.0,3.0,tail
0.058823529411764705,1.4117647058823528,16.0,24.0,tracker
0.1,1.3,9.0,13.0,jvm
0.06666666666666667,1.3333333333333333,14.0,20.0,stable
0.05555555555555555,0.9444444444444444,17.0,17.0,introduc
0.02702702702702703,1.7297297297297298,36.0,64.0,sourc
0.5,0.5,1.0,1.0,rollback
0.14285714285714285,1.1428571428571428,6.0,8.0,string
0.5,0.5,1.0,1.0,downstream
0.16666666666666666,1.0,5.0,6.0,offlin
0.3333333333333333,0.6666666666666666,2.0,2.0,util
0.25,0.75,3.0,3.0,affect
0.25,1.0,3.0,4.0,ticket
0.5,1.5,1.0,3.0,reopen
0.041666666666666664,1.2083333333333333,23.0,29.0,implement
0.3333333333333333,1.0,2.0,3.0,splitter
0.5,0.5,1.0,1.0,misplac
0.1111111111111111,1.0,8.0,9.0,level
0.3333333333333333,0.6666666666666666,2.0,2.0,hbck
0.3333333333333333,1.6666666666666665,2.0,5.0,exec
0.037037037037037035,1.4444444444444444,26.0,39.0,list
0.1,0.9,9.0,9.0,mapreduce
0.25,0.75,3.0,3.0,iter
0.02127659574468085,1.1702127659574468,46.0,55.0,race
0.25,1.5,3.0,6.0,verif
0.25,1.0,3.0,4.0,dfo
0.5,1.5,1.0,3.0,rack
0.05555555555555555,0.9444444444444444,17.0,17.0,prevent
0.5,1.0,1.0,2.0,naiv
0.06666666666666667,1.1333333333333333,14.0,17.0,sync
0.1111111111111111,1.0,8.0,9.0,consequ
0.06666666666666667,1.0,14.0,15.0,second
0.25,0.75,3.0,3.0,pressur
0.16666666666666666,1.0,5.0,6.0,design
0.25,2.5,3.0,10.0,aggreg
0.037037037037037035,1.6296296296296295,26.0,44.0,gossip
