IDF,TF*IDF,DF,TF,Word
0.07142857142857142,1.0,13.0,14.0,code
0.5,1.0,1.0,2.0,entropi
0.125,1.25,7.0,10.0,queri
0.5,0.5,1.0,1.0,prefix
0.05263157894736842,1.1052631578947367,18.0,21.0,follow
0.25,0.75,3.0,3.0,disk
0.07142857142857142,2.0,13.0,28.0,compact
0.3333333333333333,1.0,2.0,3.0,depend
0.5,0.5,1.0,1.0,xml
0.2,0.8,4.0,4.0,send
0.5,0.5,1.0,1.0,tail
0.25,1.5,3.0,6.0,jvm
0.25,1.0,3.0,4.0,stable
0.5,0.5,1.0,1.0,introduc
0.16666666666666666,1.3333333333333333,5.0,8.0,sourc
0.16666666666666666,1.3333333333333333,5.0,8.0,rollback
0.25,1.5,3.0,6.0,string
0.16666666666666666,1.6666666666666665,5.0,10.0,offlin
0.5,1.0,1.0,2.0,util
0.06666666666666667,1.0666666666666667,14.0,16.0,implement
0.5,0.5,1.0,1.0,splitter
0.3333333333333333,0.6666666666666666,2.0,2.0,misplac
0.125,1.125,7.0,9.0,hbck
0.07692307692307693,1.4615384615384617,12.0,19.0,list
0.25,1.0,3.0,4.0,mapreduce
0.5,0.5,1.0,1.0,iter
0.045454545454545456,1.1818181818181819,21.0,26.0,race
0.5,1.0,1.0,2.0,verif
0.5,1.0,1.0,2.0,round
0.16666666666666666,1.0,5.0,6.0,prevent
0.07142857142857142,1.2857142857142856,13.0,18.0,sync
0.2,0.8,4.0,4.0,consequ
0.5,1.0,1.0,2.0,design
0.2,1.0,4.0,5.0,gossip
0.3333333333333333,1.6666666666666665,2.0,5.0,port
0.14285714285714285,1.2857142857142856,6.0,9.0,append
0.09090909090909091,1.3636363636363638,10.0,15.0,index
0.5,0.5,1.0,1.0,appear
0.2,1.4000000000000001,4.0,7.0,compar
0.5,0.5,1.0,1.0,section
0.125,0.875,7.0,7.0,current
0.04,1.68,24.0,42.0,delet
0.1,1.8,9.0,18.0,version
0.07692307692307693,1.0,12.0,13.0,method
0.5,0.5,1.0,1.0,metadata
0.3333333333333333,2.0,2.0,6.0,cleaner
0.5,1.5,1.0,3.0,slot
0.5,0.5,1.0,1.0,hash
0.25,1.0,3.0,4.0,gener
0.5,1.0,1.0,2.0,sink
0.16666666666666666,0.8333333333333333,5.0,5.0,trunk
0.5,0.5,1.0,1.0,path
0.06666666666666667,1.6666666666666667,14.0,25.0,valu
0.14285714285714285,0.8571428571428571,6.0,6.0,wait
