IDF,TF*IDF,DF,TF,Word
0.015625,1.0625,63.0,68.0,code
0.3333333333333333,0.6666666666666666,2.0,2.0,entropi
0.034482758620689655,1.3103448275862069,28.0,38.0,queri
0.09090909090909091,1.0909090909090908,10.0,12.0,consum
0.25,1.25,3.0,5.0,prefix
0.2,0.8,4.0,4.0,abil
0.0625,2.0625,15.0,33.0,gossip
0.016129032258064516,1.3387096774193548,61.0,83.0,disk
0.008264462809917356,1.9669421487603307,120.0,238.0,compact
0.5,0.5,1.0,1.0,content
0.3333333333333333,0.6666666666666666,2.0,2.0,depend
0.07692307692307693,2.769230769230769,12.0,36.0,leas
0.024390243902439025,1.1951219512195121,40.0,49.0,send
0.16666666666666666,1.0,5.0,6.0,mrapp
0.05555555555555555,1.5555555555555554,17.0,28.0,tracker
0.14285714285714285,1.0,6.0,7.0,jvm
0.017543859649122806,1.4912280701754386,56.0,85.0,stable
0.14285714285714285,0.8571428571428571,6.0,6.0,sens
0.058823529411764705,0.9411764705882353,16.0,16.0,introduc
0.022727272727272728,1.2954545454545454,43.0,57.0,sourc
0.5,1.0,1.0,2.0,rollback
0.058823529411764705,1.3529411764705883,16.0,23.0,string
0.25,1.0,3.0,4.0,offlin
0.06666666666666667,1.1333333333333333,14.0,17.0,util
0.5,0.5,1.0,1.0,affect
0.1,0.9,9.0,9.0,ticket
0.01639344262295082,1.1967213114754098,60.0,73.0,implement
0.25,1.0,3.0,4.0,splitter
0.3333333333333333,0.6666666666666666,2.0,2.0,misplac
0.043478260869565216,1.0869565217391304,22.0,25.0,level
0.16666666666666666,1.6666666666666665,5.0,10.0,hbck
0.25,1.0,3.0,4.0,exec
0.016666666666666666,1.4166666666666667,59.0,85.0,list
0.05,1.1500000000000001,19.0,23.0,mapreduce
0.08333333333333333,1.0833333333333333,11.0,13.0,iter
0.1,1.0,9.0,10.0,race
0.1111111111111111,0.8888888888888888,8.0,8.0,verif
0.2,0.8,4.0,4.0,round
0.045454545454545456,1.0,21.0,22.0,prevent
0.022727272727272728,1.7272727272727273,43.0,76.0,sync
0.09090909090909091,1.0909090909090908,10.0,12.0,consequ
0.023255813953488372,1.1860465116279069,42.0,51.0,second
0.2,0.8,4.0,4.0,pressur
0.125,2.25,7.0,18.0,aggreg
0.034482758620689655,0.9655172413793103,28.0,28.0,follow
0.08333333333333333,1.25,11.0,15.0,port
0.09090909090909091,1.6363636363636365,10.0,18.0,append
0.014492753623188406,1.8405797101449275,68.0,127.0,index
0.07142857142857142,1.0,13.0,14.0,appear
0.08333333333333333,1.3333333333333333,11.0,16.0,compar
0.125,1.625,7.0,13.0,section
0.2,1.2000000000000002,4.0,6.0,invok
0.017241379310344827,0.9827586206896551,57.0,57.0,current
0.022727272727272728,1.840909090909091,43.0,81.0,delet
0.058823529411764705,1.2941176470588236,16.0,22.0,version
0.017543859649122806,1.2280701754385963,56.0,70.0,method
0.125,0.875,7.0,7.0,metadata
0.5,1.5,1.0,3.0,cleaner
0.14285714285714285,2.2857142857142856,6.0,16.0,slot
0.16666666666666666,1.3333333333333333,5.0,8.0,hash
0.037037037037037035,1.3333333333333333,26.0,36.0,gener
0.2,2.0,4.0,10.0,sink
0.05,1.7000000000000002,19.0,34.0,address
0.03571428571428571,1.5357142857142856,27.0,43.0,path
0.25,0.75,3.0,3.0,modifi
0.02631578947368421,1.3421052631578947,37.0,51.0,valu
0.029411764705882353,1.2058823529411764,33.0,41.0,wait
0.3333333333333333,1.0,2.0,3.0,daughter
0.125,2.375,7.0,19.0,checksum
0.08333333333333333,1.0833333333333333,11.0,13.0,host
0.16666666666666666,1.5,5.0,9.0,diff
0.25,0.75,3.0,3.0,tasktrack
0.03125,1.625,31.0,52.0,queue
0.037037037037037035,1.0,26.0,27.0,amount
0.05,1.05,19.0,21.0,throughput
0.3333333333333333,0.6666666666666666,2.0,2.0,pick
0.5,1.0,1.0,2.0,action
0.014705882352941176,1.2794117647058822,67.0,87.0,chang
0.5,0.5,1.0,1.0,chanc
0.5,1.5,1.0,3.0,semant
0.045454545454545456,1.8636363636363638,21.0,41.0,writer
0.25,2.0,3.0,8.0,elect
0.14285714285714285,0.8571428571428571,6.0,6.0,solut
0.25,1.0,3.0,4.0,transit
0.058823529411764705,1.3529411764705883,16.0,23.0,releas
0.08333333333333333,1.25,11.0,15.0,api
0.25,1.0,3.0,4.0,safemod
0.16666666666666666,0.8333333333333333,5.0,5.0,famili
0.1,1.5,9.0,15.0,select
0.3333333333333333,0.6666666666666666,2.0,2.0,describ
0.01020408163265306,1.4489795918367345,97.0,142.0,memori
0.02040816326530612,1.5510204081632653,48.0,76.0,scan
0.3333333333333333,0.6666666666666666,2.0,2.0,regist
0.125,1.0,7.0,8.0,upgrad
0.5,0.5,1.0,1.0,next
0.04,1.12,24.0,28.0,handler
0.00909090909090909,1.5,109.0,165.0,call
0.25,1.25,3.0,5.0,length
0.125,1.125,7.0,9.0,type
0.16666666666666666,1.6666666666666665,5.0,10.0,metric
0.05263157894736842,1.4210526315789473,18.0,27.0,sort
0.3333333333333333,0.6666666666666666,2.0,2.0,jmx
0.14285714285714285,1.0,6.0,7.0,peopl
0.3333333333333333,0.6666666666666666,2.0,2.0,relat
0.043478260869565216,1.0434782608695652,22.0,24.0,notic
0.25,1.0,3.0,4.0,flag
0.3333333333333333,0.6666666666666666,2.0,2.0,stick
0.5,1.5,1.0,3.0,loss
0.14285714285714285,0.8571428571428571,6.0,6.0,hold
0.16666666666666666,1.0,5.0,6.0,shoot
0.1111111111111111,1.4444444444444444,8.0,13.0,endpoint
0.25,1.0,3.0,4.0,restor
0.16666666666666666,1.5,5.0,9.0,prepar
0.019230769230769232,1.0961538461538463,51.0,57.0,work
0.5,0.5,1.0,1.0,dev
0.1,1.9000000000000001,9.0,19.0,histori
0.09090909090909091,1.1818181818181819,10.0,13.0,descriptor
0.16666666666666666,1.0,5.0,6.0,remain
0.2,0.8,4.0,4.0,tag
0.16666666666666666,1.0,5.0,6.0,executor
0.25,0.75,3.0,3.0,root
0.05555555555555555,1.3888888888888888,17.0,25.0,fetch
0.5,2.0,1.0,4.0,def
0.07142857142857142,1.1428571428571428,13.0,16.0,control
0.01818181818181818,1.909090909090909,54.0,105.0,stream
0.023809523809523808,1.0714285714285714,41.0,45.0,give
0.011904761904761904,1.5119047619047619,83.0,127.0,process
0.015384615384615385,1.953846153846154,64.0,127.0,lock
0.043478260869565216,1.2173913043478262,22.0,28.0,share
0.25,1.0,3.0,4.0,accept
0.3333333333333333,0.6666666666666666,2.0,2.0,abort
0.09090909090909091,1.4545454545454546,10.0,16.0,yarn
0.25,0.75,3.0,3.0,onlin
0.0625,2.0,15.0,32.0,serial
0.5,1.5,1.0,3.0,acl
0.08333333333333333,0.9166666666666666,11.0,11.0,occur
0.02564102564102564,1.7179487179487178,38.0,67.0,filter
0.027777777777777776,1.361111111111111,35.0,49.0,multipl
0.3333333333333333,0.6666666666666666,2.0,2.0,secur
0.16666666666666666,2.0,5.0,12.0,renew
0.009433962264150943,1.4433962264150944,105.0,153.0,write
0.16666666666666666,1.3333333333333333,5.0,8.0,purg
0.2,0.8,4.0,4.0,answer
0.14285714285714285,1.0,6.0,7.0,fsdataset
0.2,1.2000000000000002,4.0,6.0,simpl
0.038461538461538464,1.1923076923076923,25.0,31.0,updat
0.012345679012345678,1.9012345679012346,80.0,154.0,map
0.1111111111111111,1.4444444444444444,8.0,13.0,max
0.5,0.5,1.0,1.0,clone
0.16666666666666666,1.0,5.0,6.0,retain
0.2,0.8,4.0,4.0,tier
0.02,1.12,49.0,56.0,end
0.058823529411764705,1.5294117647058822,16.0,26.0,bloom
0.1111111111111111,1.0,8.0,9.0,grow
0.06666666666666667,1.6,14.0,24.0,dfsclient
0.2,1.0,4.0,5.0,stress
0.058823529411764705,1.2941176470588236,16.0,22.0,attempt
0.125,1.25,7.0,10.0,bootstrap
0.3333333333333333,0.6666666666666666,2.0,2.0,correspond
0.3333333333333333,1.3333333333333333,2.0,4.0,processor
0.01098901098901099,1.153846153846154,90.0,105.0,issu
0.125,1.0,7.0,8.0,inform
0.07692307692307693,1.4615384615384617,12.0,19.0,switch
0.07142857142857142,1.0,13.0,14.0,environ
0.015151515151515152,1.1212121212121213,65.0,74.0,allow
0.125,1.0,7.0,8.0,ensembl
0.03225806451612903,1.096774193548387,30.0,34.0,order
