IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,load
0.2,1.0,4.0,5.0,flume
0.5,0.5,1.0,1.0,code
0.5,0.5,1.0,1.0,set
0.5,0.5,1.0,1.0,stream
0.5,0.5,1.0,1.0,count
0.5,1.5,1.0,3.0,process
0.5,0.5,1.0,1.0,text
0.5,1.0,1.0,2.0,metric
0.5,0.5,1.0,1.0,number
0.3333333333333333,1.0,2.0,3.0,agent
0.5,1.0,1.0,2.0,compon
0.5,0.5,1.0,1.0,acquisit
0.5,0.5,1.0,1.0,replac
0.5,0.5,1.0,1.0,multiplex
0.5,1.0,1.0,2.0,abil
0.5,0.5,1.0,1.0,respons
0.5,0.5,1.0,1.0,fail
0.5,0.5,1.0,1.0,server
0.5,0.5,1.0,1.0,collector
0.25,1.75,3.0,7.0,event
0.5,0.5,1.0,1.0,size
0.5,0.5,1.0,1.0,index
0.5,0.5,1.0,1.0,processor
0.5,1.0,1.0,2.0,monitor
0.5,0.5,1.0,1.0,support
0.5,0.5,1.0,1.0,exec
0.5,0.5,1.0,1.0,apach
0.5,0.5,1.0,1.0,write
0.5,0.5,1.0,1.0,start
0.5,0.5,1.0,1.0,tail
0.5,0.5,1.0,1.0,poll
0.5,0.5,1.0,1.0,includ
0.5,0.5,1.0,1.0,queri
0.5,1.0,1.0,2.0,experi
0.2,1.0,4.0,5.0,config
0.5,0.5,1.0,1.0,match
0.5,0.5,1.0,1.0,balanc
0.5,0.5,1.0,1.0,node
0.3333333333333333,0.6666666666666666,2.0,2.0,map
0.3333333333333333,1.3333333333333333,2.0,4.0,sourc
0.5,0.5,1.0,1.0,hdfs
0.3333333333333333,1.3333333333333333,2.0,4.0,selector
0.5,1.0,1.0,2.0,host
0.5,0.5,1.0,1.0,base
0.2,1.4000000000000001,4.0,7.0,sink
0.5,0.5,1.0,1.0,background
0.5,0.5,1.0,1.0,put
0.5,0.5,1.0,1.0,hold
0.3333333333333333,1.6666666666666665,2.0,5.0,data
0.5,0.5,1.0,1.0,improve
0.5,0.5,1.0,1.0,reduc
0.5,0.5,1.0,1.0,search
0.5,1.0,1.0,2.0,emb
0.25,0.75,3.0,3.0,provid
0.3333333333333333,0.6666666666666666,2.0,2.0,setup
0.5,1.0,1.0,2.0,revert
0.5,0.5,1.0,1.0,batch
0.5,1.0,1.0,2.0,assign
0.5,1.0,1.0,2.0,default
0.3333333333333333,1.3333333333333333,2.0,4.0,channel
0.5,0.5,1.0,1.0,allow
0.5,0.5,1.0,1.0,time
0.5,1.0,1.0,2.0,implement
0.5,0.5,1.0,1.0,manag
0.5,0.5,1.0,1.0,user
