IDF,TF*IDF,DF,TF,Word
0.2,1.0,4.0,5.0,load
0.5,0.5,1.0,1.0,code
0.5,0.5,1.0,1.0,protocol
0.5,0.5,1.0,1.0,help
0.5,0.5,1.0,1.0,execut
0.3333333333333333,0.6666666666666666,2.0,2.0,abil
0.25,0.75,3.0,3.0,hbase
0.5,0.5,1.0,1.0,delay
0.5,1.0,1.0,2.0,group
0.5,0.5,1.0,1.0,writer
0.5,0.5,1.0,1.0,send
0.5,0.5,1.0,1.0,pend
0.5,0.5,1.0,1.0,restart
0.5,0.5,1.0,1.0,sens
0.5,1.5,1.0,3.0,split
0.3333333333333333,1.0,2.0,3.0,applic
0.5,0.5,1.0,1.0,sourc
0.16666666666666666,1.3333333333333333,5.0,8.0,read
0.5,1.0,1.0,2.0,initi
0.5,0.5,1.0,1.0,progress
0.5,0.5,1.0,1.0,requir
0.5,0.5,1.0,1.0,name
0.5,0.5,1.0,1.0,level
0.3333333333333333,1.3333333333333333,2.0,4.0,server
0.5,0.5,1.0,1.0,timeout
0.5,0.5,1.0,1.0,hung
0.5,0.5,1.0,1.0,manag
0.5,0.5,1.0,1.0,mean
0.3333333333333333,1.0,2.0,3.0,set
0.5,0.5,1.0,1.0,fair
0.5,0.5,1.0,1.0,pressur
0.5,0.5,1.0,1.0,result
0.5,0.5,1.0,1.0,fail
0.5,1.0,1.0,2.0,port
0.5,0.5,1.0,1.0,transport
0.5,1.0,1.0,2.0,subject
0.5,1.0,1.0,2.0,hdfs
0.5,1.0,1.0,2.0,network
0.5,0.5,1.0,1.0,avoid
0.3333333333333333,0.6666666666666666,2.0,2.0,current
0.5,0.5,1.0,1.0,delet
0.5,0.5,1.0,1.0,tracker
0.5,0.5,1.0,1.0,reader
0.5,0.5,1.0,1.0,condit
0.5,0.5,1.0,1.0,topolog
0.3333333333333333,2.6666666666666665,2.0,8.0,job
0.5,0.5,1.0,1.0,base
0.5,0.5,1.0,1.0,address
0.3333333333333333,0.6666666666666666,2.0,2.0,improve
0.5,0.5,1.0,1.0,thread
0.2,1.4000000000000001,4.0,7.0,region
0.3333333333333333,0.6666666666666666,2.0,2.0,queue
0.5,0.5,1.0,1.0,degre
0.5,1.0,1.0,2.0,assign
0.25,1.75,3.0,7.0,block
0.5,0.5,1.0,1.0,oper
0.5,0.5,1.0,1.0,repair
0.5,1.0,1.0,2.0,schedul
0.5,1.0,1.0,2.0,number
0.3333333333333333,1.0,2.0,3.0,rpc
0.5,0.5,1.0,1.0,creat
0.5,1.0,1.0,2.0,memori
0.25,1.0,3.0,4.0,support
0.5,0.5,1.0,1.0,give
0.5,1.0,1.0,2.0,system
0.5,0.5,1.0,1.0,submit
0.25,1.0,3.0,4.0,custom
0.2,0.8,4.0,4.0,start
0.5,0.5,1.0,1.0,trigger
0.5,0.5,1.0,1.0,call
0.5,0.5,1.0,1.0,wait
0.2,0.8,4.0,4.0,function
0.5,0.5,1.0,1.0,handler
0.5,0.5,1.0,1.0,relat
0.5,0.5,1.0,1.0,notic
0.5,0.5,1.0,1.0,serv
0.3333333333333333,0.6666666666666666,2.0,2.0,provid
0.3333333333333333,0.6666666666666666,2.0,2.0,servic
0.5,0.5,1.0,1.0,limit
0.3333333333333333,1.0,2.0,3.0,balanc
0.5,0.5,1.0,1.0,case
0.3333333333333333,1.0,2.0,3.0,problem
0.2,1.0,4.0,5.0,connect
0.25,1.0,3.0,4.0,file
0.5,0.5,1.0,1.0,stream
0.5,0.5,1.0,1.0,scan
0.5,0.5,1.0,1.0,process
0.5,0.5,1.0,1.0,abstract
0.2,1.2000000000000002,4.0,6.0,cluster
0.16666666666666666,2.333333333333333,5.0,14.0,replica
0.5,0.5,1.0,1.0,increment
0.3333333333333333,1.3333333333333333,2.0,4.0,tabl
0.25,0.75,3.0,3.0,multipl
0.5,0.5,1.0,1.0,event
0.3333333333333333,1.0,2.0,3.0,write
0.5,0.5,1.0,1.0,handl
0.5,0.5,1.0,1.0,build
0.5,0.5,1.0,1.0,test
0.5,1.0,1.0,2.0,config
0.09090909090909091,2.0,10.0,22.0,node
0.5,0.5,1.0,1.0,map
0.5,0.5,1.0,1.0,distribut
0.5,0.5,1.0,1.0,deploy
0.5,0.5,1.0,1.0,hang
0.5,0.5,1.0,1.0,catalog
0.25,1.0,3.0,4.0,user
0.3333333333333333,0.6666666666666666,2.0,2.0,data
0.5,0.5,1.0,1.0,pool
0.5,1.0,1.0,2.0,reduc
0.3333333333333333,0.6666666666666666,2.0,2.0,alloc
0.5,2.0,1.0,4.0,task
0.5,0.5,1.0,1.0,algorithm
0.16666666666666666,1.5,5.0,9.0,request
0.2,0.8,4.0,4.0,issu
0.5,1.0,1.0,2.0,inform
0.5,0.5,1.0,1.0,exampl
0.3333333333333333,0.6666666666666666,2.0,2.0,time
0.5,1.5,1.0,3.0,decommiss
