IDF,TF*IDF,DF,TF,Word
0.1,1.0,9.0,10.0,code
0.3333333333333333,0.6666666666666666,2.0,2.0,dist
0.3333333333333333,0.6666666666666666,2.0,2.0,queri
0.25,1.0,3.0,4.0,consum
0.5,0.5,1.0,1.0,prefix
0.5,0.5,1.0,1.0,abil
0.25,1.0,3.0,4.0,gossip
0.1,1.4000000000000001,9.0,14.0,disk
0.125,1.625,7.0,13.0,compact
0.2,2.0,4.0,10.0,leas
0.25,1.0,3.0,4.0,send
0.5,0.5,1.0,1.0,tail
0.3333333333333333,1.3333333333333333,2.0,4.0,jvm
0.2,1.8,4.0,9.0,stable
0.3333333333333333,1.0,2.0,3.0,introduc
0.08333333333333333,1.25,11.0,15.0,sourc
0.5,0.5,1.0,1.0,string
0.1111111111111111,0.8888888888888888,8.0,8.0,end
0.5,0.5,1.0,1.0,util
0.5,0.5,1.0,1.0,affect
0.5,1.0,1.0,2.0,ticket
0.16666666666666666,0.8333333333333333,5.0,5.0,implement
0.3333333333333333,0.6666666666666666,2.0,2.0,level
0.25,1.25,3.0,5.0,hbck
0.3333333333333333,0.6666666666666666,2.0,2.0,array
0.058823529411764705,1.588235294117647,16.0,27.0,list
0.09090909090909091,1.2727272727272727,10.0,14.0,mapreduce
0.3333333333333333,0.6666666666666666,2.0,2.0,iter
0.25,1.75,3.0,7.0,session
0.5,1.0,1.0,2.0,rack
0.1111111111111111,0.8888888888888888,8.0,8.0,prevent
0.16666666666666666,1.6666666666666665,5.0,10.0,sync
0.3333333333333333,1.0,2.0,3.0,consequ
0.125,1.0,7.0,8.0,second
0.5,1.0,1.0,2.0,design
0.5,0.5,1.0,1.0,aggreg
0.2,0.8,4.0,4.0,follow
0.5,0.5,1.0,1.0,port
0.125,1.25,7.0,10.0,index
0.25,0.75,3.0,3.0,appear
0.5,1.0,1.0,2.0,compar
0.2,2.0,4.0,10.0,section
0.2,0.8,4.0,4.0,current
0.1,2.4000000000000004,9.0,24.0,delet
0.5,0.5,1.0,1.0,version
0.3333333333333333,0.6666666666666666,2.0,2.0,topolog
0.5,0.5,1.0,1.0,xml
0.14285714285714285,0.8571428571428571,6.0,6.0,gener
0.5,0.5,1.0,1.0,bodi
0.5,1.0,1.0,2.0,sink
0.25,1.0,3.0,4.0,address
0.14285714285714285,0.8571428571428571,6.0,6.0,path
0.14285714285714285,0.8571428571428571,6.0,6.0,valu
0.09090909090909091,1.0909090909090908,10.0,12.0,wait
0.5,0.5,1.0,1.0,interceptor
0.5,0.5,1.0,1.0,step
0.05555555555555555,1.9444444444444444,17.0,35.0,queue
0.3333333333333333,1.0,2.0,3.0,amount
0.3333333333333333,1.0,2.0,3.0,throughput
0.07142857142857142,1.2142857142857142,13.0,17.0,chang
0.5,2.0,1.0,4.0,writer
0.3333333333333333,1.6666666666666665,2.0,5.0,jar
0.3333333333333333,0.6666666666666666,2.0,2.0,app
0.2,1.0,4.0,5.0,releas
0.5,0.5,1.0,1.0,api
0.5,0.5,1.0,1.0,gateway
0.5,0.5,1.0,1.0,describ
0.037037037037037035,1.2962962962962963,26.0,35.0,memori
0.5,0.5,1.0,1.0,scan
0.08333333333333333,1.3333333333333333,11.0,16.0,handler
0.04,1.4000000000000001,24.0,35.0,call
0.1111111111111111,1.3333333333333333,8.0,12.0,sort
0.5,0.5,1.0,1.0,peopl
0.2,0.8,4.0,4.0,notic
0.5,1.0,1.0,2.0,loss
0.25,0.75,3.0,3.0,hold
