IDF,TF*IDF,DF,TF,Word
0.05555555555555555,1.222222222222222,17.0,22.0,code
0.3333333333333333,0.6666666666666666,2.0,2.0,queri
0.07692307692307693,0.9230769230769231,12.0,12.0,follow
0.125,1.25,7.0,10.0,disk
0.25,2.5,3.0,10.0,compact
0.5,0.5,1.0,1.0,slot
0.125,1.0,7.0,8.0,send
0.2,2.2,4.0,11.0,jvm
0.25,1.25,3.0,5.0,stable
0.14285714285714285,1.1428571428571428,6.0,8.0,introduc
0.09090909090909091,1.0909090909090908,10.0,12.0,sourc
0.14285714285714285,1.5714285714285714,6.0,11.0,end
0.25,1.0,3.0,4.0,util
0.3333333333333333,1.0,2.0,3.0,servlet
0.1111111111111111,1.1111111111111112,8.0,10.0,level
0.5,0.5,1.0,1.0,hbck
0.07692307692307693,1.3846153846153846,12.0,18.0,list
0.05,1.2000000000000002,19.0,24.0,mapreduce
0.3333333333333333,1.0,2.0,3.0,hive
0.2,1.2000000000000002,4.0,6.0,race
0.14285714285714285,1.4285714285714284,6.0,10.0,verif
0.08333333333333333,0.9166666666666666,11.0,11.0,prevent
0.5,0.5,1.0,1.0,sync
0.5,1.0,1.0,2.0,consequ
0.3333333333333333,0.6666666666666666,2.0,2.0,second
0.5,1.0,1.0,2.0,aggreg
0.5,0.5,1.0,1.0,pass
0.06666666666666667,1.7333333333333334,14.0,26.0,port
0.3333333333333333,1.0,2.0,3.0,append
0.038461538461538464,1.3846153846153846,25.0,36.0,hdfs
0.034482758620689655,1.3793103448275863,28.0,40.0,deleg
0.25,1.0,3.0,4.0,appear
0.023255813953488372,1.3953488372093024,42.0,60.0,access
0.07142857142857142,1.2857142857142856,13.0,18.0,delet
0.14285714285714285,1.4285714285714284,6.0,10.0,version
0.0625,1.125,15.0,18.0,method
0.3333333333333333,0.6666666666666666,2.0,2.0,xml
0.125,1.0,7.0,8.0,gener
0.5,0.5,1.0,1.0,bodi
0.2,1.2000000000000002,4.0,6.0,sink
0.1111111111111111,1.8888888888888888,8.0,17.0,address
0.16666666666666666,1.0,5.0,6.0,path
0.3333333333333333,1.0,2.0,3.0,modifi
0.08333333333333333,1.5,11.0,18.0,valu
0.3333333333333333,1.3333333333333333,2.0,4.0,wait
0.5,1.0,1.0,2.0,search
0.25,2.75,3.0,11.0,host
0.5,1.5,1.0,3.0,tasktrack
0.25,1.5,3.0,6.0,queue
0.25,0.75,3.0,3.0,action
0.047619047619047616,1.1904761904761905,20.0,25.0,implement
0.08333333333333333,2.0,11.0,24.0,cache
0.3333333333333333,1.0,2.0,3.0,elect
0.5,1.0,1.0,2.0,jar
0.2,1.4000000000000001,4.0,7.0,app
0.125,2.0,7.0,16.0,keeper
0.07142857142857142,1.0714285714285714,13.0,15.0,api
0.16666666666666666,0.8333333333333333,5.0,5.0,famili
0.2,1.2000000000000002,4.0,6.0,gateway
0.5,0.5,1.0,1.0,unit
0.5,0.5,1.0,1.0,describ
0.2,0.8,4.0,4.0,memori
0.3333333333333333,0.6666666666666666,2.0,2.0,scan
0.5,0.5,1.0,1.0,upgrad
0.25,1.0,3.0,4.0,handler
0.04,1.48,24.0,37.0,call
0.5,0.5,1.0,1.0,type
0.3333333333333333,1.0,2.0,3.0,jmx
0.25,0.75,3.0,3.0,relat
0.25,0.75,3.0,3.0,notic
0.3333333333333333,0.6666666666666666,2.0,2.0,agent
0.2,0.8,4.0,4.0,hold
0.5,0.5,1.0,1.0,endpoint
0.5,1.0,1.0,2.0,join
0.25,0.75,3.0,3.0,setup
0.038461538461538464,1.153846153846154,25.0,30.0,work
0.1111111111111111,1.3333333333333333,8.0,12.0,histori
0.3333333333333333,0.6666666666666666,2.0,2.0,descriptor
0.2,1.0,4.0,5.0,executor
0.25,1.5,3.0,6.0,root
0.09090909090909091,1.1818181818181819,10.0,13.0,fetch
0.047619047619047616,1.6666666666666665,20.0,35.0,control
0.14285714285714285,1.5714285714285714,6.0,11.0,stream
0.07692307692307693,1.153846153846154,12.0,15.0,give
0.08333333333333333,1.25,11.0,15.0,process
0.2,1.8,4.0,9.0,lock
0.16666666666666666,0.8333333333333333,5.0,5.0,share
0.5,0.5,1.0,1.0,accept
0.3333333333333333,1.0,2.0,3.0,tag
0.3333333333333333,1.0,2.0,3.0,yarn
0.5,0.5,1.0,1.0,occur
0.25,1.5,3.0,6.0,recov
0.2,1.0,4.0,5.0,multipl
0.009345794392523364,1.542056074766355,106.0,165.0,secur
0.08333333333333333,1.5833333333333333,11.0,19.0,write
0.25,1.75,3.0,7.0,answer
0.03333333333333333,1.3333333333333333,29.0,40.0,config
0.125,1.0,7.0,8.0,updat
0.09090909090909091,1.2727272727272727,10.0,14.0,map
