IDF,TF*IDF,DF,TF,Word
0.3333333333333333,0.6666666666666666,2.0,2.0,jira
0.5,0.5,1.0,1.0,load
0.3333333333333333,0.6666666666666666,2.0,2.0,code
0.5,0.5,1.0,1.0,protocol
0.5,0.5,1.0,1.0,hostnam
0.3333333333333333,1.0,2.0,3.0,random
0.2,1.2000000000000002,4.0,6.0,remov
0.5,0.5,1.0,1.0,tcp
0.5,0.5,1.0,1.0,amount
0.5,0.5,1.0,1.0,concurr
0.2,1.4000000000000001,4.0,7.0,gossip
0.25,0.75,3.0,3.0,hbase
0.5,0.5,1.0,1.0,disk
0.5,0.5,1.0,1.0,member
0.3333333333333333,1.3333333333333333,2.0,4.0,compact
0.3333333333333333,0.6666666666666666,2.0,2.0,access
0.2,1.0,4.0,5.0,locat
0.3333333333333333,1.0,2.0,3.0,system
0.3333333333333333,2.0,2.0,6.0,hint
0.16666666666666666,2.0,5.0,12.0,polici
0.5,0.5,1.0,1.0,trigger
0.5,0.5,1.0,1.0,window
0.5,0.5,1.0,1.0,point
0.25,0.75,3.0,3.0,state
0.5,0.5,1.0,1.0,rf=
0.1,1.2000000000000002,9.0,12.0,add
0.5,0.5,1.0,1.0,estim
0.3333333333333333,0.6666666666666666,2.0,2.0,requir
0.16666666666666666,0.8333333333333333,5.0,5.0,creat
0.3333333333333333,0.6666666666666666,2.0,2.0,factor
0.5,1.5,1.0,3.0,input
0.3333333333333333,1.0,2.0,3.0,save
0.3333333333333333,0.6666666666666666,2.0,2.0,local
0.5,0.5,1.0,1.0,introduc
0.5,0.5,1.0,1.0,build
0.2,0.8,4.0,4.0,case
0.3333333333333333,0.6666666666666666,2.0,2.0,sourc
0.25,1.0,3.0,4.0,return
0.25,1.75,3.0,7.0,format
0.25,1.0,3.0,4.0,read
0.5,0.5,1.0,1.0,stop
0.5,0.5,1.0,1.0,offlin
0.3333333333333333,0.6666666666666666,2.0,2.0,break
0.3333333333333333,0.6666666666666666,2.0,2.0,traffic
0.2,1.2000000000000002,4.0,6.0,condit
0.25,0.75,3.0,3.0,report
0.5,0.5,1.0,1.0,ensembl
0.5,1.0,1.0,2.0,ticket
0.5,0.5,1.0,1.0,day
0.25,0.75,3.0,3.0,restart
0.3333333333333333,0.6666666666666666,2.0,2.0,name
0.5,0.5,1.0,1.0,insert
0.3333333333333333,0.6666666666666666,2.0,2.0,enabl
0.5,0.5,1.0,1.0,level
0.5,0.5,1.0,1.0,drop
0.2,1.0,4.0,5.0,list
0.5,1.0,1.0,2.0,resolv
0.5,1.5,1.0,3.0,authent
0.07692307692307693,1.2307692307692308,12.0,16.0,server
0.5,0.5,1.0,1.0,provid
0.5,0.5,1.0,1.0,session
0.5,0.5,1.0,1.0,mode
0.25,1.0,3.0,4.0,timeout
0.5,1.0,1.0,2.0,contain
0.2,1.2000000000000002,4.0,6.0,output
0.3333333333333333,1.0,2.0,3.0,updat
0.5,0.5,1.0,1.0,servic
0.5,0.5,1.0,1.0,mean
0.5,1.0,1.0,2.0,tombston
0.3333333333333333,0.6666666666666666,2.0,2.0,prevent
0.16666666666666666,1.1666666666666665,5.0,7.0,set
