IDF,TF*IDF,DF,TF,Word
0.3333333333333333,0.6666666666666666,2.0,2.0,jira
0.3333333333333333,0.6666666666666666,2.0,2.0,code
0.5,0.5,1.0,1.0,help
0.5,1.5,1.0,3.0,txn
0.3333333333333333,0.6666666666666666,2.0,2.0,skip
0.5,0.5,1.0,1.0,move
0.5,1.0,1.0,2.0,hadoop
0.3333333333333333,0.6666666666666666,2.0,2.0,connect
0.5,0.5,1.0,1.0,kill
0.3333333333333333,1.0,2.0,3.0,gossip
0.25,0.75,3.0,3.0,hbase
0.041666666666666664,2.0416666666666665,23.0,49.0,disk
0.3333333333333333,0.6666666666666666,2.0,2.0,pointer
0.5,0.5,1.0,1.0,find
0.5,0.5,1.0,1.0,involv
0.5,0.5,1.0,1.0,delay
0.3333333333333333,2.333333333333333,2.0,7.0,locat
0.5,0.5,1.0,1.0,monitor
0.5,0.5,1.0,1.0,fix
0.5,1.0,1.0,2.0,writer
0.5,0.5,1.0,1.0,send
0.125,0.875,7.0,7.0,add
0.3333333333333333,0.6666666666666666,2.0,2.0,latenc
0.5,0.5,1.0,1.0,jvm
0.5,0.5,1.0,1.0,factor
0.5,0.5,1.0,1.0,integrate
0.25,1.0,3.0,4.0,save
0.5,0.5,1.0,1.0,local
0.3333333333333333,1.3333333333333333,2.0,4.0,count
0.2,1.2000000000000002,4.0,6.0,sourc
0.3333333333333333,1.0,2.0,3.0,return
0.2,1.2000000000000002,4.0,6.0,read
0.16666666666666666,0.8333333333333333,5.0,5.0,stop
0.5,0.5,1.0,1.0,period
0.25,0.75,3.0,3.0,know
0.125,1.25,7.0,10.0,report
0.5,0.5,1.0,1.0,ensembl
0.5,0.5,1.0,1.0,restart
0.2,1.2000000000000002,4.0,6.0,loss
0.16666666666666666,1.0,5.0,6.0,name
0.06666666666666667,1.4,14.0,21.0,edit
0.3333333333333333,1.3333333333333333,2.0,4.0,event
0.5,0.5,1.0,1.0,drop
0.5,0.5,1.0,1.0,list
0.3333333333333333,0.6666666666666666,2.0,2.0,mapreduce
