IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,set
0.25,0.75,3.0,3.0,cluster
0.5,0.5,1.0,1.0,rpc
0.3333333333333333,0.6666666666666666,2.0,2.0,replica
0.5,1.0,1.0,2.0,file
0.5,1.0,1.0,2.0,corrupt
0.5,1.0,1.0,2.0,server
0.5,1.0,1.0,2.0,saw
0.3333333333333333,0.6666666666666666,2.0,2.0,size
0.5,1.0,1.0,2.0,issu
0.5,0.5,1.0,1.0,memori
0.5,0.5,1.0,1.0,start
0.5,1.0,1.0,2.0,handler
0.5,0.5,1.0,1.0,call
0.5,0.5,1.0,1.0,test
0.5,0.5,1.0,1.0,out
0.5,0.5,1.0,1.0,store
0.25,1.0,3.0,4.0,node
0.5,0.5,1.0,1.0,pipelin
0.5,0.5,1.0,1.0,handl
0.5,0.5,1.0,1.0,notic
0.5,0.5,1.0,1.0,flag
0.5,0.5,1.0,1.0,understand
0.5,0.5,1.0,1.0,heap
0.3333333333333333,0.6666666666666666,2.0,2.0,report
0.5,0.5,1.0,1.0,data
0.5,0.5,1.0,1.0,bug
0.5,0.5,1.0,1.0,count
0.5,1.0,1.0,2.0,exception
0.5,0.5,1.0,1.0,level
0.5,0.5,1.0,1.0,checksum
0.5,1.0,1.0,2.0,job
0.5,1.0,1.0,2.0,histori
0.5,0.5,1.0,1.0,queue
0.5,0.5,1.0,1.0,error
0.5,0.5,1.0,1.0,chang
0.5,0.5,1.0,1.0,block
