IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,jira
0.14285714285714285,1.5714285714285714,6.0,11.0,oper
0.25,0.75,3.0,3.0,code
0.5,0.5,1.0,1.0,protocol
0.5,1.5,1.0,3.0,rotat
0.5,1.0,1.0,2.0,execut
0.5,0.5,1.0,1.0,skip
0.3333333333333333,0.6666666666666666,2.0,2.0,move
0.5,0.5,1.0,1.0,hadoop
0.3333333333333333,0.6666666666666666,2.0,2.0,amount
0.3333333333333333,0.6666666666666666,2.0,2.0,gossip
0.06666666666666667,1.5333333333333332,14.0,23.0,hbase
0.5,0.5,1.0,1.0,disk
0.5,0.5,1.0,1.0,pointer
0.25,0.75,3.0,3.0,find
0.5,1.0,1.0,2.0,compact
0.3333333333333333,2.0,2.0,6.0,web
0.25,0.75,3.0,3.0,locat
0.5,0.5,1.0,1.0,secur
0.3333333333333333,0.6666666666666666,2.0,2.0,hint
0.2,0.8,4.0,4.0,fix
0.5,1.0,1.0,2.0,cache
0.5,0.5,1.0,1.0,releas
0.5,1.0,1.0,2.0,submiss
0.2,0.8,4.0,4.0,send
0.5,0.5,1.0,1.0,complain
0.5,0.5,1.0,1.0,better
0.5,0.5,1.0,1.0,window
0.5,1.0,1.0,2.0,blacklist
0.5,0.5,1.0,1.0,integrate
0.5,0.5,1.0,1.0,input
0.5,0.5,1.0,1.0,improve
0.3333333333333333,0.6666666666666666,2.0,2.0,local
0.3333333333333333,0.6666666666666666,2.0,2.0,introduc
0.3333333333333333,1.0,2.0,3.0,split
0.16666666666666666,0.8333333333333333,5.0,5.0,case
0.25,1.0,3.0,4.0,sourc
0.2,0.8,4.0,4.0,return
0.3333333333333333,1.0,2.0,3.0,loss
0.16666666666666666,1.1666666666666665,5.0,7.0,read
0.5,0.5,1.0,1.0,initi
0.5,0.5,1.0,1.0,epoch
0.5,0.5,1.0,1.0,answer
0.5,0.5,1.0,1.0,know
0.5,0.5,1.0,1.0,background
0.5,0.5,1.0,1.0,progress
0.5,0.5,1.0,1.0,interrupt
0.5,0.5,1.0,1.0,discuss
0.3333333333333333,0.6666666666666666,2.0,2.0,insert
0.3333333333333333,1.0,2.0,3.0,regionserv
0.25,1.25,3.0,5.0,name
0.5,1.0,1.0,2.0,level
0.5,0.5,1.0,1.0,edit
0.5,0.5,1.0,1.0,fetch
0.5,0.5,1.0,1.0,drop
0.25,0.75,3.0,3.0,list
0.2,2.2,4.0,11.0,hmaster
0.5,1.5,1.0,3.0,authent
0.1,1.6,9.0,16.0,server
0.5,0.5,1.0,1.0,refer
0.5,0.5,1.0,1.0,provid
0.5,2.5,1.0,5.0,token
0.16666666666666666,0.8333333333333333,5.0,5.0,race
0.5,0.5,1.0,1.0,mode
0.09090909090909091,1.6363636363636365,10.0,18.0,timeout
0.3333333333333333,1.0,2.0,3.0,contain
0.25,0.75,3.0,3.0,output
0.3333333333333333,1.6666666666666665,2.0,5.0,updat
0.3333333333333333,0.6666666666666666,2.0,2.0,round
0.5,0.5,1.0,1.0,mean
0.5,0.5,1.0,1.0,prevent
0.25,1.25,3.0,5.0,set
0.3333333333333333,0.6666666666666666,2.0,2.0,detect
0.25,1.0,3.0,4.0,zookeeper
0.3333333333333333,2.0,2.0,6.0,sync
0.5,0.5,1.0,1.0,consequ
0.5,0.5,1.0,1.0,second
0.25,0.75,3.0,3.0,replay
0.045454545454545456,1.3181818181818181,21.0,29.0,connect
0.25,1.0,3.0,4.0,pass
0.041666666666666664,1.7083333333333333,23.0,41.0,fail
0.2,0.8,4.0,4.0,close
0.5,0.5,1.0,1.0,stack
0.5,0.5,1.0,1.0,patch
0.5,2.0,1.0,4.0,collector
0.5,0.5,1.0,1.0,servic
0.5,1.5,1.0,3.0,transport
0.3333333333333333,0.6666666666666666,2.0,2.0,subject
0.25,1.0,3.0,4.0,hdfs
0.5,0.5,1.0,1.0,slice
0.07142857142857142,1.0,13.0,14.0,network
0.3333333333333333,1.6666666666666665,2.0,5.0,lead
0.3333333333333333,0.6666666666666666,2.0,2.0,miss
0.5,0.5,1.0,1.0,someth
0.5,0.5,1.0,1.0,remain
0.5,0.5,1.0,1.0,access
0.5,1.0,1.0,2.0,delet
0.16666666666666666,1.1666666666666665,5.0,7.0,state
0.5,0.5,1.0,1.0,estim
0.5,1.0,1.0,2.0,exit
0.3333333333333333,0.6666666666666666,2.0,2.0,condit
0.5,0.5,1.0,1.0,order
0.5,0.5,1.0,1.0,method
0.5,0.5,1.0,1.0,side
0.3333333333333333,1.3333333333333333,2.0,4.0,machin
0.5,1.0,1.0,2.0,mapper
0.5,1.0,1.0,2.0,verif
0.5,0.5,1.0,1.0,host
0.3333333333333333,0.6666666666666666,2.0,2.0,base
0.3333333333333333,1.3333333333333333,2.0,4.0,sink
0.3333333333333333,0.6666666666666666,2.0,2.0,trunk
0.25,1.25,3.0,5.0,interface
0.5,0.5,1.0,1.0,ignor
0.3333333333333333,2.0,2.0,6.0,valu
0.5,1.0,1.0,2.0,thrift
0.5,0.5,1.0,1.0,hlog
0.125,1.625,7.0,13.0,socket
0.16666666666666666,1.1666666666666665,5.0,7.0,thread
0.5,0.5,1.0,1.0,launch
0.2,1.2000000000000002,4.0,6.0,admin
0.1111111111111111,2.888888888888889,8.0,26.0,region
0.5,0.5,1.0,1.0,job
0.5,0.5,1.0,1.0,yarn
0.3333333333333333,1.0,2.0,3.0,keep
0.16666666666666666,1.1666666666666665,5.0,7.0,recov
0.2,1.2000000000000002,4.0,6.0,hconnect
0.3333333333333333,0.6666666666666666,2.0,2.0,inconsist
0.5,1.0,1.0,2.0,place
0.5,2.0,1.0,4.0,agent
0.5,0.5,1.0,1.0,standbi
0.16666666666666666,2.0,5.0,12.0,commit
0.16666666666666666,0.8333333333333333,5.0,5.0,chang
0.3333333333333333,0.6666666666666666,2.0,2.0,backup
0.2,1.4000000000000001,4.0,7.0,assign
0.14285714285714285,1.2857142857142856,6.0,9.0,block
0.25,1.25,3.0,5.0,load
0.5,0.5,1.0,1.0,elect
0.5,0.5,1.0,1.0,encount
0.5,0.5,1.0,1.0,transit
0.5,0.5,1.0,1.0,number
0.5,0.5,1.0,1.0,one
0.25,0.75,3.0,3.0,expect
0.25,1.0,3.0,4.0,keeper
0.14285714285714285,1.2857142857142856,6.0,9.0,rpc
0.5,0.5,1.0,1.0,rf=
0.5,1.0,1.0,2.0,shutdown
0.5,0.5,1.0,1.0,kerbero
0.3333333333333333,0.6666666666666666,2.0,2.0,cancel
0.1111111111111111,1.6666666666666665,8.0,15.0,custom
0.25,0.75,3.0,3.0,open
0.5,0.5,1.0,1.0,leas
0.3333333333333333,0.6666666666666666,2.0,2.0,unit
0.16666666666666666,1.1666666666666665,5.0,7.0,manag
0.5,0.5,1.0,1.0,java
0.5,0.5,1.0,1.0,stream
0.5,0.5,1.0,1.0,coupl
0.5,1.0,1.0,2.0,memori
0.5,0.5,1.0,1.0,transfer
0.3333333333333333,0.6666666666666666,2.0,2.0,support
0.5,0.5,1.0,1.0,upgrad
0.25,1.5,3.0,6.0,messag
0.3333333333333333,0.6666666666666666,2.0,2.0,mark
0.5,0.5,1.0,1.0,checkpoint
0.09090909090909091,0.9090909090909092,10.0,10.0,start
0.5,1.0,1.0,2.0,handler
0.1111111111111111,2.0,8.0,18.0,master
0.5,0.5,1.0,1.0,roller
0.125,1.25,7.0,10.0,call
0.25,0.75,3.0,3.0,wait
0.3333333333333333,0.6666666666666666,2.0,2.0,store
0.2,0.8,4.0,4.0,function
0.3333333333333333,0.6666666666666666,2.0,2.0,handoff
0.5,0.5,1.0,1.0,tool
0.5,0.5,1.0,1.0,relat
0.3333333333333333,0.6666666666666666,2.0,2.0,notic
0.3333333333333333,0.6666666666666666,2.0,2.0,continu
0.5,0.5,1.0,1.0,bulk
0.5,0.5,1.0,1.0,coordin
0.25,0.75,3.0,3.0,understand
0.5,0.5,1.0,1.0,stick
0.5,0.5,1.0,1.0,mail
0.5,0.5,1.0,1.0,catch
0.5,0.5,1.0,1.0,hold
0.3333333333333333,1.0,2.0,3.0,bug
0.5,0.5,1.0,1.0,center
0.25,1.0,3.0,4.0,info
0.07692307692307693,1.3846153846153846,12.0,18.0,exception
0.3333333333333333,0.6666666666666666,2.0,2.0,scenario
0.5,2.0,1.0,4.0,packag
0.3333333333333333,1.3333333333333333,2.0,4.0,default
0.2,1.0,4.0,5.0,remov
0.2,1.0,4.0,5.0,work
0.3333333333333333,1.0,2.0,3.0,batch
0.5,0.5,1.0,1.0,section
0.5,1.5,1.0,3.0,rack
0.5,1.0,1.0,2.0,calcul
0.3333333333333333,0.6666666666666666,2.0,2.0,meta
0.5,1.0,1.0,2.0,hftp
0.25,0.75,3.0,3.0,assum
0.14285714285714285,1.0,6.0,7.0,error
0.125,1.0,7.0,8.0,problem
0.3333333333333333,0.6666666666666666,2.0,2.0,deadlock
0.5,2.5,1.0,5.0,root
0.5,0.5,1.0,1.0,observ
0.25,0.75,3.0,3.0,loop
0.2,0.8,4.0,4.0,result
0.3333333333333333,0.6666666666666666,2.0,2.0,flume
