IDF,TF*IDF,DF,TF,Word
0.07142857142857142,0.9285714285714285,13.0,13.0,code
0.5,0.5,1.0,1.0,entropi
0.3333333333333333,0.6666666666666666,2.0,2.0,queri
0.3333333333333333,0.6666666666666666,2.0,2.0,child
0.25,0.75,3.0,3.0,abil
0.1111111111111111,1.1111111111111112,8.0,10.0,gossip
0.2,0.8,4.0,4.0,disk
0.16666666666666666,1.1666666666666665,5.0,7.0,compact
0.5,0.5,1.0,1.0,depend
0.125,1.0,7.0,8.0,send
0.2,1.6,4.0,8.0,jvm
0.25,1.25,3.0,5.0,skip
0.2,0.8,4.0,4.0,introduc
0.08333333333333333,1.5833333333333333,11.0,19.0,sourc
0.3333333333333333,1.0,2.0,3.0,offlin
0.5,0.5,1.0,1.0,util
0.3333333333333333,0.6666666666666666,2.0,2.0,ticket
0.5,0.5,1.0,1.0,servlet
0.3333333333333333,0.6666666666666666,2.0,2.0,splitter
0.3333333333333333,1.0,2.0,3.0,misplac
0.3333333333333333,1.0,2.0,3.0,level
0.07142857142857142,1.857142857142857,13.0,26.0,list
0.08333333333333333,0.9166666666666666,11.0,11.0,mapreduce
0.2,0.8,4.0,4.0,iter
0.05555555555555555,1.0555555555555556,17.0,19.0,race
0.3333333333333333,1.0,2.0,3.0,verif
0.5,0.5,1.0,1.0,dfo
0.3333333333333333,1.6666666666666665,2.0,5.0,rack
0.14285714285714285,0.8571428571428571,6.0,6.0,prevent
0.14285714285714285,0.8571428571428571,6.0,6.0,sync
0.25,1.0,3.0,4.0,consequ
0.2,1.0,4.0,5.0,second
0.5,0.5,1.0,1.0,pressur
0.3333333333333333,0.6666666666666666,2.0,2.0,design
0.3333333333333333,2.333333333333333,2.0,7.0,aggreg
0.5,0.5,1.0,1.0,pass
0.3333333333333333,0.6666666666666666,2.0,2.0,port
0.08333333333333333,1.0,11.0,12.0,append
0.125,1.625,7.0,13.0,index
0.3333333333333333,1.0,2.0,3.0,deleg
0.16666666666666666,0.8333333333333333,5.0,5.0,appear
0.3333333333333333,1.3333333333333333,2.0,4.0,section
0.5,0.5,1.0,1.0,calcul
0.25,1.25,3.0,5.0,access
0.0625,1.3125,15.0,21.0,delet
0.16666666666666666,1.1666666666666665,5.0,7.0,version
0.5,0.5,1.0,1.0,topolog
0.5,1.0,1.0,2.0,slot
0.25,0.75,3.0,3.0,hash
0.14285714285714285,1.0,6.0,7.0,gener
0.5,0.5,1.0,1.0,lack
0.16666666666666666,1.8333333333333333,5.0,11.0,sink
0.1,1.2000000000000002,9.0,12.0,trunk
0.2,0.8,4.0,4.0,path
0.5,0.5,1.0,1.0,modifi
0.14285714285714285,1.2857142857142856,6.0,9.0,valu
0.25,1.0,3.0,4.0,thrift
0.5,1.0,1.0,2.0,daughter
0.25,1.25,3.0,5.0,checksum
0.16666666666666666,1.1666666666666665,5.0,7.0,host
0.5,0.5,1.0,1.0,tasktrack
0.16666666666666666,1.0,5.0,6.0,queue
0.3333333333333333,0.6666666666666666,2.0,2.0,pick
0.5,0.5,1.0,1.0,action
0.1,1.3,9.0,13.0,implement
0.5,1.0,1.0,2.0,chanc
0.25,1.5,3.0,6.0,elect
0.5,0.5,1.0,1.0,jar
0.125,1.125,7.0,9.0,transit
0.125,1.375,7.0,11.0,keeper
0.5,0.5,1.0,1.0,api
0.25,1.0,3.0,4.0,safemod
