IDF,TF*IDF,DF,TF,Word
0.015873015873015872,1.1746031746031744,62.0,74.0,code
0.25,0.75,3.0,3.0,entropi
0.3333333333333333,0.6666666666666666,2.0,2.0,chain
0.08333333333333333,1.3333333333333333,11.0,16.0,queri
0.25,1.0,3.0,4.0,consum
0.5,1.0,1.0,2.0,prefix
0.5,0.5,1.0,1.0,abil
0.045454545454545456,1.0,21.0,22.0,follow
0.043478260869565216,1.5652173913043477,22.0,36.0,disk
0.02702702702702703,1.4054054054054055,36.0,52.0,compact
0.16666666666666666,0.8333333333333333,5.0,5.0,depend
0.05263157894736842,1.1052631578947367,18.0,21.0,send
0.2,1.0,4.0,5.0,mrapp
0.3333333333333333,0.6666666666666666,2.0,2.0,tail
0.05,1.6500000000000001,19.0,33.0,tracker
0.1111111111111111,1.3333333333333333,8.0,12.0,jvm
0.125,1.25,7.0,10.0,stable
0.2,0.8,4.0,4.0,introduc
0.1111111111111111,1.1111111111111112,8.0,10.0,inform
0.024390243902439025,1.5853658536585367,40.0,65.0,sourc
0.16666666666666666,1.0,5.0,6.0,rollback
0.1111111111111111,1.3333333333333333,8.0,12.0,string
0.25,0.75,3.0,3.0,downstream
0.14285714285714285,1.1428571428571428,6.0,8.0,offlin
0.125,1.125,7.0,9.0,util
0.5,0.5,1.0,1.0,netcat
0.25,1.5,3.0,6.0,servlet
0.05555555555555555,1.1666666666666665,17.0,21.0,implement
0.25,1.25,3.0,5.0,splitter
0.25,0.75,3.0,3.0,misplac
0.1,1.1,9.0,11.0,level
0.1111111111111111,1.5555555555555554,8.0,14.0,hbck
0.027777777777777776,1.472222222222222,35.0,53.0,list
0.037037037037037035,1.037037037037037,26.0,28.0,mapreduce
0.3333333333333333,0.6666666666666666,2.0,2.0,iter
0.3333333333333333,0.6666666666666666,2.0,2.0,correct
0.06666666666666667,1.0,14.0,15.0,race
0.2,1.2000000000000002,4.0,6.0,verif
0.3333333333333333,1.0,2.0,3.0,dfo
0.5,0.5,1.0,1.0,round
0.06666666666666667,1.0,14.0,15.0,prevent
0.2,0.8,4.0,4.0,sync
0.125,0.875,7.0,7.0,consequ
0.08333333333333333,1.25,11.0,15.0,second
0.5,0.5,1.0,1.0,design
0.25,1.5,3.0,6.0,aggreg
0.125,1.875,7.0,15.0,gossip
0.25,1.0,3.0,4.0,port
0.1,1.6,9.0,16.0,append
0.030303030303030304,1.2121212121212122,32.0,40.0,index
0.16666666666666666,1.3333333333333333,5.0,8.0,deleg
0.06666666666666667,0.9333333333333333,14.0,14.0,appear
0.3333333333333333,1.0,2.0,3.0,compar
0.25,1.5,3.0,6.0,section
0.3333333333333333,1.0,2.0,3.0,invok
0.0625,0.9375,15.0,15.0,current
0.022222222222222223,1.4444444444444444,44.0,65.0,delet
0.0625,1.1875,15.0,19.0,version
0.02702702702702703,1.2972972972972974,36.0,48.0,method
0.25,1.0,3.0,4.0,metadata
