IDF,TF*IDF,DF,TF,Word
0.1111111111111111,1.1111111111111112,8.0,10.0,code
0.5,0.5,1.0,1.0,queri
0.5,0.5,1.0,1.0,lack
0.16666666666666666,1.3333333333333333,5.0,8.0,gossip
0.25,1.0,3.0,4.0,disk
0.09090909090909091,1.4545454545454546,10.0,16.0,compact
0.3333333333333333,0.6666666666666666,2.0,2.0,depend
0.2,0.8,4.0,4.0,send
0.2,0.8,4.0,4.0,jvm
0.3333333333333333,1.6666666666666665,2.0,5.0,stable
0.16666666666666666,0.8333333333333333,5.0,5.0,introduc
0.08333333333333333,1.9166666666666665,11.0,23.0,sourc
0.5,0.5,1.0,1.0,util
0.3333333333333333,0.6666666666666666,2.0,2.0,affect
0.5,0.5,1.0,1.0,ticket
0.3333333333333333,0.6666666666666666,2.0,2.0,implement
0.5,1.0,1.0,2.0,level
0.2,1.6,4.0,8.0,list
0.2,0.8,4.0,4.0,mapreduce
0.06666666666666667,1.2,14.0,18.0,race
0.14285714285714285,0.8571428571428571,6.0,6.0,prevent
0.5,1.0,1.0,2.0,naiv
0.16666666666666666,1.1666666666666665,5.0,7.0,sync
0.3333333333333333,0.6666666666666666,2.0,2.0,consequ
0.3333333333333333,0.6666666666666666,2.0,2.0,second
0.5,2.5,1.0,5.0,aggreg
0.125,1.0,7.0,8.0,follow
0.25,1.25,3.0,5.0,port
0.3333333333333333,1.3333333333333333,2.0,4.0,append
0.1,1.3,9.0,13.0,index
0.3333333333333333,1.3333333333333333,2.0,4.0,deleg
0.14285714285714285,1.1428571428571428,6.0,8.0,appear
0.5,2.0,1.0,4.0,compar
0.25,1.5,3.0,6.0,access
0.14285714285714285,1.4285714285714284,6.0,10.0,delet
0.25,0.75,3.0,3.0,version
0.08333333333333333,1.0833333333333333,11.0,13.0,method
0.5,0.5,1.0,1.0,hash
0.2,1.0,4.0,5.0,gener
0.1111111111111111,1.6666666666666665,8.0,15.0,sink
0.1,0.9,9.0,9.0,trunk
0.5,0.5,1.0,1.0,valu
0.037037037037037035,1.3703703703703702,26.0,37.0,wait
0.5,0.5,1.0,1.0,step
0.5,0.5,1.0,1.0,tasktrack
0.2,1.0,4.0,5.0,queue
0.3333333333333333,0.6666666666666666,2.0,2.0,amount
0.125,0.875,7.0,7.0,chang
0.25,1.0,3.0,4.0,writer
0.3333333333333333,1.0,2.0,3.0,jar
0.2,1.0,4.0,5.0,transit
0.2,0.8,4.0,4.0,put
0.5,1.0,1.0,2.0,safemod
0.3333333333333333,0.6666666666666666,2.0,2.0,instal
0.3333333333333333,0.6666666666666666,2.0,2.0,unit
0.5,0.5,1.0,1.0,describ
0.16666666666666666,0.8333333333333333,5.0,5.0,memori
0.5,0.5,1.0,1.0,visit
0.14285714285714285,2.0,6.0,14.0,upgrad
0.16666666666666666,1.8333333333333333,5.0,11.0,handler
0.041666666666666664,1.4166666666666665,23.0,34.0,call
0.5,0.5,1.0,1.0,type
0.5,1.0,1.0,2.0,metric
0.2,1.0,4.0,5.0,sort
0.25,0.75,3.0,3.0,relat
0.25,0.75,3.0,3.0,notic
0.1,0.9,9.0,9.0,stick
0.5,0.5,1.0,1.0,loss
0.25,0.75,3.0,3.0,hold
0.5,0.5,1.0,1.0,endpoint
0.5,0.5,1.0,1.0,join
0.5,1.0,1.0,2.0,restor
0.3333333333333333,0.6666666666666666,2.0,2.0,setup
0.125,1.0,7.0,8.0,work
0.25,1.0,3.0,4.0,histori
0.5,0.5,1.0,1.0,tag
0.25,0.75,3.0,3.0,executor
0.2,1.2000000000000002,4.0,6.0,root
0.5,0.5,1.0,1.0,fetch
0.5,0.5,1.0,1.0,control
0.1111111111111111,1.222222222222222,8.0,11.0,stream
0.14285714285714285,1.0,6.0,7.0,give
0.07142857142857142,1.357142857142857,13.0,19.0,process
0.05,1.7000000000000002,19.0,34.0,lock
0.5,0.5,1.0,1.0,accept
0.2,1.0,4.0,5.0,abort
0.5,0.5,1.0,1.0,serial
0.2,1.0,4.0,5.0,occur
0.1,1.2000000000000002,9.0,12.0,end
0.5,1.0,1.0,2.0,newlin
0.3333333333333333,3.333333333333333,2.0,10.0,secur
0.5,1.0,1.0,2.0,hconnect
0.1,1.2000000000000002,9.0,12.0,write
0.3333333333333333,1.3333333333333333,2.0,4.0,answer
0.1,1.5,9.0,15.0,config
0.25,1.0,3.0,4.0,updat
0.07692307692307693,1.6153846153846154,12.0,21.0,map
0.5,0.5,1.0,1.0,stop
0.5,1.0,1.0,2.0,clone
0.5,0.5,1.0,1.0,catalog
0.2,1.8,4.0,9.0,shuffl
0.05,1.2000000000000002,19.0,24.0,data
0.25,1.25,3.0,5.0,dfsclient
0.5,0.5,1.0,1.0,stress
0.1,1.0,9.0,10.0,attempt
0.14285714285714285,1.5714285714285714,6.0,11.0,bootstrap
0.07692307692307693,1.3076923076923077,12.0,17.0,issu
0.3333333333333333,0.6666666666666666,2.0,2.0,receiv
0.25,1.25,3.0,5.0,combin
0.5,0.5,1.0,1.0,allow
0.5,0.5,1.0,1.0,enter
0.5,0.5,1.0,1.0,order
0.3333333333333333,0.6666666666666666,2.0,2.0,jira
0.25,0.75,3.0,3.0,deco
0.5,1.5,1.0,3.0,rotat
0.25,0.75,3.0,3.0,move
0.5,1.5,1.0,3.0,ttl
0.058823529411764705,1.4117647058823528,16.0,24.0,hbase
0.5,0.5,1.0,1.0,pointer
0.3333333333333333,0.6666666666666666,2.0,2.0,delay
0.5,0.5,1.0,1.0,group
0.3333333333333333,1.3333333333333333,2.0,4.0,cli
0.1111111111111111,1.1111111111111112,8.0,10.0,fix
0.5,0.5,1.0,1.0,window
0.3333333333333333,1.0,2.0,3.0,pend
0.5,0.5,1.0,1.0,requir
0.5,0.5,1.0,1.0,non
0.07142857142857142,1.5,13.0,21.0,crash
0.08333333333333333,1.0833333333333333,11.0,13.0,handl
0.5,1.0,1.0,2.0,timestamp
0.25,1.0,3.0,4.0,safe
0.3333333333333333,1.0,2.0,3.0,initi
0.16666666666666666,1.0,5.0,6.0,break
0.2,0.8,4.0,4.0,half
0.14285714285714285,1.4285714285714284,6.0,10.0,interrupt
0.5,0.5,1.0,1.0,discuss
0.09090909090909091,1.3636363636363638,10.0,15.0,name
0.3333333333333333,1.6666666666666665,2.0,5.0,edit
0.14285714285714285,1.4285714285714284,6.0,10.0,hmaster
0.16666666666666666,1.6666666666666665,5.0,10.0,token
0.16666666666666666,1.3333333333333333,5.0,8.0,mode
0.07692307692307693,1.5384615384615385,12.0,20.0,timeout
0.5,0.5,1.0,1.0,found
0.2,0.8,4.0,4.0,side
0.5,0.5,1.0,1.0,replac
0.5,1.0,1.0,2.0,multipl
0.14285714285714285,0.8571428571428571,6.0,6.0,continu
0.1,1.2000000000000002,9.0,12.0,meta
0.07142857142857142,1.2857142857142856,13.0,18.0,connect
0.25,1.0,3.0,4.0,collector
0.07142857142857142,1.5714285714285714,13.0,22.0,event
0.5,0.5,1.0,1.0,out
0.2,0.8,4.0,4.0,network
0.1,0.9,9.0,9.0,miss
0.25,1.5,3.0,6.0,monitor
0.5,0.5,1.0,1.0,reader
0.5,1.0,1.0,2.0,xceiver
0.3333333333333333,0.6666666666666666,2.0,2.0,proxi
0.16666666666666666,1.3333333333333333,5.0,8.0,migrat
0.5,0.5,1.0,1.0,driver
0.14285714285714285,0.8571428571428571,6.0,6.0,situat
0.3333333333333333,0.6666666666666666,2.0,2.0,reason
0.3333333333333333,0.6666666666666666,2.0,2.0,base
0.3333333333333333,0.6666666666666666,2.0,2.0,releas
0.3333333333333333,0.6666666666666666,2.0,2.0,org
0.3333333333333333,0.6666666666666666,2.0,2.0,byte
0.023809523809523808,1.5714285714285714,41.0,66.0,thread
0.3333333333333333,0.6666666666666666,2.0,2.0,launch
0.3333333333333333,0.6666666666666666,2.0,2.0,yarn
0.5,0.5,1.0,1.0,keep
0.1,1.9000000000000001,9.0,19.0,recov
0.3333333333333333,1.6666666666666665,2.0,5.0,renew
0.5,0.5,1.0,1.0,standbi
0.14285714285714285,1.7142857142857142,6.0,12.0,heartbeat
0.06666666666666667,1.4,14.0,21.0,assign
0.058823529411764705,1.1176470588235294,16.0,19.0,oper
0.2,1.2000000000000002,4.0,6.0,rang
0.16666666666666666,1.1666666666666665,5.0,7.0,number
0.5,0.5,1.0,1.0,acquisit
0.5,1.0,1.0,2.0,legaci
0.5,0.5,1.0,1.0,ring
0.125,1.0,7.0,8.0,open
0.2,0.8,4.0,4.0,size
0.5,0.5,1.0,1.0,script
0.0625,1.625,15.0,26.0,system
0.25,1.0,3.0,4.0,messag
