IDF,TF*IDF,DF,TF,Word
0.125,1.0,7.0,8.0,code
0.16666666666666666,1.3333333333333333,5.0,8.0,queri
0.25,0.75,3.0,3.0,consum
0.25,0.75,3.0,3.0,follow
0.09090909090909091,1.2727272727272727,10.0,14.0,disk
0.3333333333333333,2.333333333333333,2.0,7.0,compact
0.5,0.5,1.0,1.0,depend
0.25,3.0,3.0,12.0,leas
0.1111111111111111,1.0,8.0,9.0,send
0.5,0.5,1.0,1.0,tail
0.2,1.6,4.0,8.0,tracker
0.3333333333333333,1.3333333333333333,2.0,4.0,jvm
0.3333333333333333,0.6666666666666666,2.0,2.0,stable
0.5,0.5,1.0,1.0,sens
0.5,0.5,1.0,1.0,introduc
0.09090909090909091,1.3636363636363638,10.0,15.0,sourc
0.5,0.5,1.0,1.0,rollback
0.5,0.5,1.0,1.0,string
0.5,0.5,1.0,1.0,downstream
0.14285714285714285,1.1428571428571428,6.0,8.0,end
0.25,0.75,3.0,3.0,offlin
0.3333333333333333,0.6666666666666666,2.0,2.0,util
0.5,0.5,1.0,1.0,affect
0.125,1.25,7.0,10.0,implement
0.5,0.5,1.0,1.0,level
0.25,1.0,3.0,4.0,hbck
0.07692307692307693,2.230769230769231,12.0,29.0,list
0.1111111111111111,1.0,8.0,9.0,race
0.5,1.5,1.0,3.0,rack
0.3333333333333333,0.6666666666666666,2.0,2.0,prevent
0.1111111111111111,1.5555555555555554,8.0,14.0,sync
0.14285714285714285,0.8571428571428571,6.0,6.0,second
0.2,0.8,4.0,4.0,pressur
0.5,0.5,1.0,1.0,pass
0.2,1.4000000000000001,4.0,7.0,port
0.1111111111111111,1.3333333333333333,8.0,12.0,index
0.3333333333333333,0.6666666666666666,2.0,2.0,appear
0.3333333333333333,1.0,2.0,3.0,compar
0.2,1.8,4.0,9.0,section
0.3333333333333333,0.6666666666666666,2.0,2.0,invok
0.25,0.75,3.0,3.0,current
0.09090909090909091,2.0,10.0,22.0,delet
0.3333333333333333,1.0,2.0,3.0,version
0.1111111111111111,1.222222222222222,8.0,11.0,method
0.125,1.0,7.0,8.0,gener
0.5,0.5,1.0,1.0,bodi
0.25,1.0,3.0,4.0,sink
0.3333333333333333,1.0,2.0,3.0,trunk
0.2,0.8,4.0,4.0,path
0.14285714285714285,0.8571428571428571,6.0,6.0,valu
0.2,1.0,4.0,5.0,wait
0.3333333333333333,1.0,2.0,3.0,daughter
0.1,1.8,9.0,18.0,queue
0.2,0.8,4.0,4.0,amount
0.5,0.5,1.0,1.0,throughput
0.5,0.5,1.0,1.0,action
0.1111111111111111,1.3333333333333333,8.0,12.0,chang
0.5,1.0,1.0,2.0,writer
0.25,1.75,3.0,7.0,elect
0.5,1.5,1.0,3.0,jar
0.5,0.5,1.0,1.0,ask
0.3333333333333333,0.6666666666666666,2.0,2.0,api
0.5,0.5,1.0,1.0,famili
0.5,0.5,1.0,1.0,select
0.5,0.5,1.0,1.0,describ
0.038461538461538464,1.4230769230769231,25.0,37.0,memori
0.2,0.8,4.0,4.0,give
0.25,1.25,3.0,5.0,cnxn
0.5,0.5,1.0,1.0,next
0.125,1.375,7.0,11.0,handler
0.034482758620689655,1.5862068965517242,28.0,46.0,call
0.25,1.0,3.0,4.0,sort
0.3333333333333333,1.0,2.0,3.0,notic
0.5,0.5,1.0,1.0,flag
0.5,0.5,1.0,1.0,loss
0.3333333333333333,0.6666666666666666,2.0,2.0,shoot
0.14285714285714285,0.8571428571428571,6.0,6.0,work
0.5,1.5,1.0,3.0,histori
0.5,0.5,1.0,1.0,descriptor
0.25,0.75,3.0,3.0,remain
0.5,0.5,1.0,1.0,fetch
0.25,0.75,3.0,3.0,control
