IDF,TF*IDF,DF,TF,Word
0.01694915254237288,1.152542372881356,58.0,68.0,code
0.3333333333333333,1.0,2.0,3.0,entropi
0.3333333333333333,0.6666666666666666,2.0,2.0,chain
0.03333333333333333,1.2333333333333334,29.0,37.0,queri
0.2,0.8,4.0,4.0,consum
0.16666666666666666,1.3333333333333333,5.0,8.0,prefix
0.5,0.5,1.0,1.0,abil
0.037037037037037035,1.7777777777777777,26.0,48.0,gossip
0.045454545454545456,1.1818181818181819,21.0,26.0,disk
0.013157894736842105,1.881578947368421,75.0,143.0,compact
0.3333333333333333,1.0,2.0,3.0,middl
0.25,1.25,3.0,5.0,depend
0.058823529411764705,2.3529411764705883,16.0,40.0,leas
0.03125,1.34375,31.0,43.0,send
0.2,0.8,4.0,4.0,mrapp
0.14285714285714285,1.4285714285714284,6.0,10.0,tail
0.2,1.0,4.0,5.0,tracker
0.25,2.5,3.0,10.0,jvm
0.017241379310344827,1.6896551724137931,57.0,98.0,stable
0.5,0.5,1.0,1.0,sens
0.058823529411764705,0.9411764705882353,16.0,16.0,introduc
0.25,0.75,3.0,3.0,inform
0.029411764705882353,1.4705882352941175,33.0,50.0,sourc
0.14285714285714285,1.4285714285714284,6.0,10.0,rollback
0.08333333333333333,1.1666666666666665,11.0,14.0,string
0.5,0.5,1.0,1.0,downstream
0.09090909090909091,1.4545454545454546,10.0,16.0,offlin
0.1111111111111111,1.1111111111111112,8.0,10.0,util
0.5,0.5,1.0,1.0,fan
0.5,0.5,1.0,1.0,affect
0.09090909090909091,1.0,10.0,11.0,ticket
0.5,0.5,1.0,1.0,servlet
0.03225806451612903,1.161290322580645,30.0,36.0,implement
0.14285714285714285,1.0,6.0,7.0,misplac
0.14285714285714285,0.8571428571428571,6.0,6.0,level
0.125,1.375,7.0,11.0,hbck
0.023255813953488372,1.4883720930232558,42.0,64.0,list
0.09090909090909091,1.1818181818181819,10.0,13.0,mapreduce
0.058823529411764705,1.1764705882352942,16.0,20.0,iter
0.06666666666666667,1.9333333333333333,14.0,29.0,session
0.1111111111111111,1.4444444444444444,8.0,13.0,verif
