IDF,TF*IDF,DF,TF,Word
0.021739130434782608,1.065217391304348,45.0,49.0,code
0.3333333333333333,0.6666666666666666,2.0,2.0,entropi
0.07692307692307693,1.4615384615384617,12.0,19.0,skip
0.125,1.125,7.0,9.0,consum
0.2,1.2000000000000002,4.0,6.0,prefix
0.25,0.75,3.0,3.0,abil
0.14285714285714285,1.2857142857142856,6.0,9.0,gossip
0.030303030303030304,1.393939393939394,32.0,46.0,disk
0.014084507042253521,1.8732394366197183,70.0,133.0,compact
0.5,0.5,1.0,1.0,content
0.5,0.5,1.0,1.0,depend
0.1,2.9000000000000004,9.0,29.0,leas
0.034482758620689655,1.206896551724138,28.0,35.0,send
0.3333333333333333,1.0,2.0,3.0,mrapp
0.1111111111111111,1.6666666666666665,8.0,15.0,tracker
0.16666666666666666,1.0,5.0,6.0,jvm
0.030303030303030304,1.393939393939394,32.0,46.0,stable
0.16666666666666666,0.8333333333333333,5.0,5.0,sens
0.07692307692307693,0.9230769230769231,12.0,12.0,introduc
0.03333333333333333,1.2666666666666666,29.0,38.0,sourc
0.5,0.5,1.0,1.0,rollback
0.06666666666666667,1.3333333333333333,14.0,20.0,string
0.5,0.5,1.0,1.0,offlin
0.1,1.2000000000000002,9.0,12.0,util
0.25,0.75,3.0,3.0,ticket
0.25,1.0,3.0,4.0,splitter
0.3333333333333333,0.6666666666666666,2.0,2.0,misplac
0.06666666666666667,1.1333333333333333,14.0,17.0,level
0.2,1.2000000000000002,4.0,6.0,hbck
0.2,1.0,4.0,5.0,exec
0.02631578947368421,1.2894736842105263,37.0,49.0,list
0.09090909090909091,1.0,10.0,11.0,mapreduce
0.16666666666666666,1.0,5.0,6.0,iter
0.125,1.5,7.0,12.0,session
0.125,0.875,7.0,7.0,verif
0.2,1.0,4.0,5.0,round
0.07692307692307693,1.0,12.0,13.0,prevent
0.027777777777777776,1.8333333333333333,35.0,66.0,sync
0.125,1.0,7.0,8.0,consequ
0.03333333333333333,1.2,29.0,36.0,second
0.14285714285714285,1.857142857142857,6.0,13.0,aggreg
0.09090909090909091,0.9090909090909092,10.0,10.0,follow
0.16666666666666666,1.0,5.0,6.0,port
0.125,1.625,7.0,13.0,append
0.024390243902439025,1.8048780487804879,40.0,74.0,index
0.14285714285714285,0.8571428571428571,6.0,6.0,appear
0.16666666666666666,1.0,5.0,6.0,compar
0.14285714285714285,1.5714285714285714,6.0,11.0,section
0.3333333333333333,1.0,2.0,3.0,invok
0.023255813953488372,0.9767441860465116,42.0,42.0,current
0.04,1.92,24.0,48.0,delet
0.1111111111111111,1.1111111111111112,8.0,10.0,version
0.02564102564102564,1.205128205128205,38.0,47.0,method
0.16666666666666666,0.8333333333333333,5.0,5.0,metadata
0.5,1.0,1.0,2.0,slot
0.25,1.25,3.0,5.0,hash
0.08333333333333333,1.4166666666666665,11.0,17.0,gener
0.16666666666666666,2.0,5.0,12.0,sink
0.1,1.6,9.0,16.0,address
0.047619047619047616,1.4285714285714284,20.0,30.0,path
0.3333333333333333,0.6666666666666666,2.0,2.0,modifi
0.037037037037037035,1.2962962962962963,26.0,35.0,valu
0.07692307692307693,1.076923076923077,12.0,14.0,wait
0.5,0.5,1.0,1.0,interceptor
0.16666666666666666,2.1666666666666665,5.0,13.0,checksum
0.1111111111111111,1.1111111111111112,8.0,10.0,host
0.14285714285714285,1.4285714285714284,6.0,10.0,diff
0.045454545454545456,1.9545454545454546,21.0,43.0,queue
0.058823529411764705,1.0,16.0,17.0,amount
0.08333333333333333,1.1666666666666665,11.0,14.0,throughput
0.25,0.75,3.0,3.0,pick
0.5,1.0,1.0,2.0,action
0.023255813953488372,1.255813953488372,42.0,54.0,chang
0.05263157894736842,1.5789473684210527,18.0,30.0,writer
0.5,0.5,1.0,1.0,elect
0.14285714285714285,0.8571428571428571,6.0,6.0,solut
0.3333333333333333,0.6666666666666666,2.0,2.0,transit
0.5,0.5,1.0,1.0,ask
0.125,1.125,7.0,9.0,api
0.25,1.0,3.0,4.0,safemod
0.2,0.8,4.0,4.0,famili
0.14285714285714285,1.5714285714285714,6.0,11.0,select
0.015625,1.3125,63.0,84.0,memori
0.02631578947368421,1.526315789473684,37.0,58.0,scan
0.3333333333333333,0.6666666666666666,2.0,2.0,regist
0.16666666666666666,1.0,5.0,6.0,upgrad
0.05555555555555555,1.1666666666666665,17.0,21.0,handler
0.0125,1.5,79.0,120.0,call
0.3333333333333333,0.6666666666666666,2.0,2.0,length
0.25,1.0,3.0,4.0,type
0.25,1.75,3.0,7.0,metric
0.09090909090909091,1.5454545454545454,10.0,17.0,sort
0.3333333333333333,1.0,2.0,3.0,peopl
0.1111111111111111,1.0,8.0,9.0,notic
0.3333333333333333,1.0,2.0,3.0,flag
0.125,0.875,7.0,7.0,hold
0.2,1.0,4.0,5.0,shoot
0.25,0.75,3.0,3.0,endpoint
0.3333333333333333,1.0,2.0,3.0,restor
0.25,1.5,3.0,6.0,prepar
0.03571428571428571,1.0714285714285714,27.0,30.0,work
0.5,0.5,1.0,1.0,dev
0.14285714285714285,2.0,6.0,14.0,histori
0.16666666666666666,1.0,5.0,6.0,descriptor
0.25,0.75,3.0,3.0,remain
0.3333333333333333,0.6666666666666666,2.0,2.0,executor
0.3333333333333333,1.0,2.0,3.0,root
0.14285714285714285,1.1428571428571428,6.0,8.0,fetch
0.16666666666666666,1.0,5.0,6.0,control
0.02702702702702703,1.7567567567567568,36.0,65.0,stream
0.034482758620689655,1.0344827586206897,28.0,30.0,give
0.016666666666666666,1.5666666666666667,59.0,94.0,process
0.01818181818181818,1.909090909090909,54.0,105.0,lock
0.047619047619047616,1.1428571428571428,20.0,24.0,share
0.25,1.0,3.0,4.0,accept
0.5,0.5,1.0,1.0,tag
0.5,2.0,1.0,4.0,yarn
0.3333333333333333,0.6666666666666666,2.0,2.0,onlin
0.125,2.25,7.0,18.0,serial
0.5,1.5,1.0,3.0,acl
0.1111111111111111,0.8888888888888888,8.0,8.0,occur
0.03125,1.78125,31.0,57.0,filter
0.047619047619047616,1.0476190476190474,20.0,22.0,multipl
0.25,0.75,3.0,3.0,secur
0.25,1.25,3.0,5.0,renew
0.012048192771084338,1.493975903614458,82.0,124.0,write
0.25,1.25,3.0,5.0,purg
0.16666666666666666,1.3333333333333333,5.0,8.0,answer
0.14285714285714285,1.0,6.0,7.0,fsdataset
0.3333333333333333,1.3333333333333333,2.0,4.0,simpl
0.05555555555555555,1.0555555555555556,17.0,19.0,updat
0.022222222222222223,1.8444444444444446,44.0,83.0,map
0.25,1.5,3.0,6.0,max
0.5,0.5,1.0,1.0,clone
0.3333333333333333,0.6666666666666666,2.0,2.0,retain
0.2,0.8,4.0,4.0,tier
0.038461538461538464,1.076923076923077,25.0,28.0,end
0.25,0.75,3.0,3.0,associ
0.2,0.8,4.0,4.0,grow
0.125,1.75,7.0,14.0,dfsclient
0.034482758620689655,1.5517241379310345,28.0,45.0,alloc
0.125,1.0,7.0,8.0,attempt
0.0625,1.9375,15.0,31.0,counter
0.5,0.5,1.0,1.0,correspond
0.016666666666666666,1.2,59.0,72.0,issu
0.3333333333333333,0.6666666666666666,2.0,2.0,inform
0.2,1.6,4.0,8.0,switch
0.2,0.8,4.0,4.0,environ
0.023809523809523808,1.1904761904761905,41.0,50.0,allow
0.5,0.5,1.0,1.0,ensembl
0.058823529411764705,1.0588235294117647,16.0,18.0,order
0.04,0.96,24.0,24.0,jira
0.08333333333333333,1.1666666666666665,11.0,14.0,help
0.045454545454545456,1.0909090909090908,21.0,24.0,move
0.2,0.8,4.0,4.0,fsdirectori
0.07692307692307693,1.0,12.0,13.0,ttl
0.011904761904761904,1.380952380952381,83.0,116.0,hbase
0.25,0.75,3.0,3.0,digest
0.3333333333333333,1.0,2.0,3.0,paramet
0.125,0.875,7.0,7.0,delay
0.16666666666666666,1.3333333333333333,5.0,8.0,group
0.14285714285714285,1.0,6.0,7.0,monitor
0.14285714285714285,1.2857142857142856,6.0,9.0,polici
0.05555555555555555,1.0555555555555556,17.0,19.0,fix
0.5,0.5,1.0,1.0,better
0.25,1.0,3.0,4.0,window
0.25,1.0,3.0,4.0,pend
0.125,1.0,7.0,8.0,restart
0.3333333333333333,1.3333333333333333,2.0,4.0,persist
0.3333333333333333,0.6666666666666666,2.0,2.0,mail
0.3333333333333333,0.6666666666666666,2.0,2.0,non
0.041666666666666664,1.1666666666666665,23.0,28.0,return
0.034482758620689655,1.2413793103448276,28.0,36.0,handl
0.1,1.7000000000000002,9.0,17.0,timestamp
0.5,1.0,1.0,2.0,safe
0.3333333333333333,0.6666666666666666,2.0,2.0,initi
0.125,0.875,7.0,7.0,break
0.5,0.5,1.0,1.0,half
0.3333333333333333,0.6666666666666666,2.0,2.0,interrupt
0.3333333333333333,1.0,2.0,3.0,day
0.025,1.725,39.0,69.0,name
0.043478260869565216,1.7391304347826086,22.0,40.0,edit
0.04,1.48,24.0,37.0,config
0.05555555555555555,1.3333333333333333,17.0,24.0,drop
