IDF,TF*IDF,DF,TF,Word
0.043478260869565216,1.0869565217391304,22.0,25.0,code
0.3333333333333333,1.0,2.0,3.0,entropi
0.16666666666666666,1.3333333333333333,5.0,8.0,queri
0.5,0.5,1.0,1.0,consum
0.5,0.5,1.0,1.0,abil
0.1,1.4000000000000001,9.0,14.0,gossip
0.25,0.75,3.0,3.0,disk
0.03571428571428571,2.321428571428571,27.0,65.0,compact
0.16666666666666666,1.8333333333333333,5.0,11.0,leas
0.1111111111111111,1.3333333333333333,8.0,12.0,send
0.16666666666666666,1.1666666666666665,5.0,7.0,tail
0.3333333333333333,1.0,2.0,3.0,jvm
0.3333333333333333,1.0,2.0,3.0,skip
0.14285714285714285,0.8571428571428571,6.0,6.0,introduc
0.045454545454545456,1.590909090909091,21.0,35.0,sourc
0.5,0.5,1.0,1.0,rollback
0.5,1.0,1.0,2.0,string
0.16666666666666666,1.1666666666666665,5.0,7.0,offlin
0.3333333333333333,0.6666666666666666,2.0,2.0,util
0.5,0.5,1.0,1.0,ticket
0.5,1.0,1.0,2.0,servlet
0.3333333333333333,1.0,2.0,3.0,splitter
0.5,0.5,1.0,1.0,misplac
0.3333333333333333,1.0,2.0,3.0,hbck
0.25,0.75,3.0,3.0,array
0.0625,1.0625,15.0,17.0,list
0.14285714285714285,0.8571428571428571,6.0,6.0,mapreduce
0.5,0.5,1.0,1.0,iter
0.007751937984496124,1.2790697674418605,128.0,165.0,race
0.5,1.0,1.0,2.0,verif
0.5,1.0,1.0,2.0,prepar
0.1,1.0,9.0,10.0,prevent
0.5,1.0,1.0,2.0,naiv
0.041666666666666664,1.375,23.0,33.0,sync
0.2,0.8,4.0,4.0,consequ
0.14285714285714285,1.1428571428571428,6.0,8.0,second
0.5,0.5,1.0,1.0,pressur
0.5,0.5,1.0,1.0,aggreg
0.038461538461538464,1.2692307692307694,25.0,33.0,follow
0.3333333333333333,0.6666666666666666,2.0,2.0,port
0.2,1.4000000000000001,4.0,7.0,append
0.058823529411764705,1.8823529411764706,16.0,32.0,index
0.25,1.5,3.0,6.0,deleg
0.14285714285714285,1.1428571428571428,6.0,8.0,appear
0.08333333333333333,1.0,11.0,12.0,access
0.02857142857142857,1.5714285714285714,34.0,55.0,delet
0.1,1.7000000000000002,9.0,17.0,version
0.058823529411764705,1.2941176470588236,16.0,22.0,method
0.3333333333333333,0.6666666666666666,2.0,2.0,metadata
0.3333333333333333,0.6666666666666666,2.0,2.0,cleaner
0.25,1.0,3.0,4.0,xml
0.3333333333333333,0.6666666666666666,2.0,2.0,hash
0.16666666666666666,1.0,5.0,6.0,gener
0.5,0.5,1.0,1.0,lack
0.07692307692307693,1.8461538461538463,12.0,24.0,sink
0.2,1.0,4.0,5.0,address
0.1,1.2000000000000002,9.0,12.0,path
0.06666666666666667,1.1333333333333333,14.0,17.0,valu
0.06666666666666667,1.2,14.0,18.0,wait
0.25,0.75,3.0,3.0,daughter
0.5,0.5,1.0,1.0,checksum
0.5,0.5,1.0,1.0,host
0.2,1.4000000000000001,4.0,7.0,queue
0.3333333333333333,0.6666666666666666,2.0,2.0,amount
0.5,0.5,1.0,1.0,pick
0.5,0.5,1.0,1.0,action
0.1111111111111111,0.8888888888888888,8.0,8.0,implement
0.5,0.5,1.0,1.0,chanc
0.5,1.0,1.0,2.0,txn
0.3333333333333333,1.3333333333333333,2.0,4.0,semant
0.07142857142857142,1.7142857142857142,13.0,24.0,writer
0.3333333333333333,1.0,2.0,3.0,elect
0.16666666666666666,0.8333333333333333,5.0,5.0,transit
0.08333333333333333,1.5,11.0,18.0,put
0.2,0.8,4.0,4.0,safemod
0.5,0.5,1.0,1.0,famili
0.5,0.5,1.0,1.0,instal
0.5,1.0,1.0,2.0,gateway
0.25,1.0,3.0,4.0,unit
0.0625,1.375,15.0,22.0,memori
0.16666666666666666,0.8333333333333333,5.0,5.0,give
0.3333333333333333,0.6666666666666666,2.0,2.0,upgrad
0.041666666666666664,1.7083333333333333,23.0,41.0,handler
0.018518518518518517,1.5555555555555554,53.0,84.0,call
0.3333333333333333,0.6666666666666666,2.0,2.0,rhel
0.2,1.0,4.0,5.0,type
0.1111111111111111,1.1111111111111112,8.0,10.0,sort
0.14285714285714285,1.1428571428571428,6.0,8.0,stable
0.14285714285714285,0.8571428571428571,6.0,6.0,notic
0.25,1.25,3.0,5.0,flag
0.2,1.0,4.0,5.0,stick
0.3333333333333333,0.6666666666666666,2.0,2.0,hold
0.25,0.75,3.0,3.0,shoot
0.3333333333333333,1.3333333333333333,2.0,4.0,endpoint
0.25,1.5,3.0,6.0,restor
0.16666666666666666,0.8333333333333333,5.0,5.0,setup
0.05263157894736842,1.2105263157894737,18.0,23.0,work
0.2,1.8,4.0,9.0,histori
0.25,1.0,3.0,4.0,descriptor
0.5,0.5,1.0,1.0,remain
0.5,0.5,1.0,1.0,tag
0.2,1.0,4.0,5.0,executor
0.5,1.0,1.0,2.0,renew
0.2,1.6,4.0,8.0,root
0.3333333333333333,0.6666666666666666,2.0,2.0,fetch
0.5,0.5,1.0,1.0,def
0.14285714285714285,1.0,6.0,7.0,control
0.04,1.52,24.0,38.0,stream
0.2,1.0,4.0,5.0,scan
0.021739130434782608,1.2173913043478262,45.0,56.0,process
0.03333333333333333,1.7333333333333334,29.0,52.0,lock
0.25,0.75,3.0,3.0,share
0.5,0.5,1.0,1.0,accept
0.08333333333333333,1.1666666666666665,11.0,14.0,abort
0.3333333333333333,0.6666666666666666,2.0,2.0,onlin
0.25,0.75,3.0,3.0,serial
0.5,0.5,1.0,1.0,acl
0.09090909090909091,1.0,10.0,11.0,occur
0.045454545454545456,1.5454545454545454,21.0,34.0,recov
0.08333333333333333,1.8333333333333333,11.0,22.0,multipl
0.5,1.0,1.0,2.0,newlin
0.2,1.2000000000000002,4.0,6.0,secur
0.2,0.8,4.0,4.0,length
0.03225806451612903,1.5806451612903225,30.0,49.0,write
0.5,0.5,1.0,1.0,fsdataset
0.09090909090909091,1.7272727272727273,10.0,19.0,config
0.07142857142857142,1.0,13.0,14.0,updat
0.05263157894736842,1.3684210526315788,18.0,26.0,map
0.1111111111111111,1.7777777777777777,8.0,16.0,watch
0.5,0.5,1.0,1.0,clone
0.3333333333333333,1.0,2.0,3.0,catalog
0.5,0.5,1.0,1.0,heartbeat
0.05555555555555555,1.222222222222222,17.0,22.0,end
0.14285714285714285,0.8571428571428571,6.0,6.0,associ
0.5,0.5,1.0,1.0,grow
0.14285714285714285,0.8571428571428571,6.0,6.0,dfsclient
0.3333333333333333,0.6666666666666666,2.0,2.0,stress
0.08333333333333333,1.0,11.0,12.0,attempt
0.14285714285714285,1.4285714285714284,6.0,10.0,bootstrap
0.5,0.5,1.0,1.0,produc
0.022727272727272728,1.1136363636363638,43.0,49.0,issu
0.25,1.5,3.0,6.0,receiv
0.25,1.25,3.0,5.0,switch
0.25,0.75,3.0,3.0,environ
0.09090909090909091,1.0,10.0,11.0,allow
0.5,0.5,1.0,1.0,enter
0.1,0.9,9.0,9.0,order
0.125,0.875,7.0,7.0,jira
0.5,0.5,1.0,1.0,deco
0.5,0.5,1.0,1.0,help
0.1111111111111111,1.6666666666666665,8.0,15.0,move
0.3333333333333333,0.6666666666666666,2.0,2.0,cross
0.5,0.5,1.0,1.0,reconnect
0.25,1.25,3.0,5.0,ttl
0.025,1.3250000000000002,39.0,53.0,hbase
0.14285714285714285,1.0,6.0,7.0,pointer
0.3333333333333333,0.6666666666666666,2.0,2.0,digest
0.5,1.0,1.0,2.0,delay
0.5,1.5,1.0,3.0,group
0.5,1.0,1.0,2.0,cli
0.05,1.4500000000000002,19.0,29.0,fix
0.25,1.25,3.0,5.0,window
0.3333333333333333,0.6666666666666666,2.0,2.0,pend
0.3333333333333333,0.6666666666666666,2.0,2.0,requir
0.3333333333333333,0.6666666666666666,2.0,2.0,mail
0.5,1.0,1.0,2.0,non
0.05263157894736842,1.1578947368421053,18.0,22.0,return
0.05263157894736842,1.2105263157894737,18.0,23.0,handl
0.25,1.5,3.0,6.0,timestamp
0.2,0.8,4.0,4.0,initi
0.14285714285714285,0.8571428571428571,6.0,6.0,break
0.5,0.5,1.0,1.0,half
0.07142857142857142,1.5,13.0,21.0,interrupt
0.125,0.875,7.0,7.0,discuss
0.045454545454545456,1.5,21.0,33.0,name
0.05555555555555555,1.7777777777777777,17.0,32.0,edit
0.3333333333333333,1.0,2.0,3.0,drop
0.3333333333333333,0.6666666666666666,2.0,2.0,revert
0.14285714285714285,1.5714285714285714,6.0,11.0,hmaster
0.5,0.5,1.0,1.0,authent
0.09090909090909091,1.5454545454545454,10.0,17.0,token
0.16666666666666666,1.0,5.0,6.0,mode
0.09090909090909091,1.3636363636363638,10.0,15.0,timeout
0.5,0.5,1.0,1.0,found
0.3333333333333333,0.6666666666666666,2.0,2.0,side
0.5,0.5,1.0,1.0,truncat
0.16666666666666666,0.8333333333333333,5.0,5.0,mean
0.25,0.75,3.0,3.0,reset
0.5,1.0,1.0,2.0,replac
0.3333333333333333,0.6666666666666666,2.0,2.0,chunk
0.125,1.125,7.0,9.0,continu
0.125,1.875,7.0,15.0,meta
0.5,0.5,1.0,1.0,backport
0.08333333333333333,1.0833333333333333,11.0,13.0,connect
0.5,0.5,1.0,1.0,extract
0.047619047619047616,1.2857142857142856,20.0,27.0,event
0.2,0.8,4.0,4.0,out
0.25,1.0,3.0,4.0,network
0.3333333333333333,0.6666666666666666,2.0,2.0,space
0.058823529411764705,1.4117647058823528,16.0,24.0,open
0.5,0.5,1.0,1.0,develop
0.3333333333333333,0.6666666666666666,2.0,2.0,hive
0.08333333333333333,1.4166666666666665,11.0,17.0,reader
0.14285714285714285,1.5714285714285714,6.0,11.0,migrat
0.5,0.5,1.0,1.0,driver
0.2,0.8,4.0,4.0,situat
0.2,0.8,4.0,4.0,reason
0.125,0.875,7.0,7.0,base
0.125,1.125,7.0,9.0,releas
0.5,0.5,1.0,1.0,org
0.2,1.0,4.0,5.0,byte
0.013888888888888888,1.6527777777777777,71.0,119.0,thread
0.125,2.5,7.0,20.0,launch
0.5,0.5,1.0,1.0,refus
0.16666666666666666,1.3333333333333333,5.0,8.0,keep
0.2,1.0,4.0,5.0,filter
0.5,1.0,1.0,2.0,hconnect
0.16666666666666666,1.1666666666666665,5.0,7.0,place
0.5,0.5,1.0,1.0,circuit
0.3333333333333333,0.6666666666666666,2.0,2.0,standbi
0.5,1.0,1.0,2.0,retain
0.027777777777777776,1.5833333333333333,35.0,57.0,assign
0.03333333333333333,1.1666666666666667,29.0,35.0,oper
