IDF,TF*IDF,DF,TF,Word
0.2,0.8,4.0,4.0,code
0.2,1.2000000000000002,4.0,6.0,queri
0.16666666666666666,1.0,5.0,6.0,consum
0.5,1.0,1.0,2.0,prefix
0.3333333333333333,1.0,2.0,3.0,gossip
0.041666666666666664,1.5833333333333333,23.0,38.0,disk
0.043478260869565216,1.7826086956521738,22.0,41.0,compact
0.5,0.5,1.0,1.0,leas
0.2,1.4000000000000001,4.0,7.0,send
0.3333333333333333,0.6666666666666666,2.0,2.0,mrapp
0.3333333333333333,0.6666666666666666,2.0,2.0,tail
0.125,1.25,7.0,10.0,tracker
0.16666666666666666,0.8333333333333333,5.0,5.0,jvm
0.07142857142857142,1.5714285714285714,13.0,22.0,stable
0.3333333333333333,0.6666666666666666,2.0,2.0,introduc
0.058823529411764705,1.5294117647058822,16.0,26.0,sourc
0.3333333333333333,1.3333333333333333,2.0,4.0,string
0.5,0.5,1.0,1.0,downstream
0.5,0.5,1.0,1.0,util
0.5,0.5,1.0,1.0,affect
0.25,0.75,3.0,3.0,implement
0.14285714285714285,0.8571428571428571,6.0,6.0,level
0.08333333333333333,1.0833333333333333,11.0,13.0,list
0.16666666666666666,1.1666666666666665,5.0,7.0,mapreduce
0.3333333333333333,0.6666666666666666,2.0,2.0,iter
0.2,0.8,4.0,4.0,race
0.09090909090909091,0.9090909090909092,10.0,10.0,prevent
0.2,1.0,4.0,5.0,sync
0.3333333333333333,1.0,2.0,3.0,consequ
0.25,0.75,3.0,3.0,second
0.25,0.75,3.0,3.0,pressur
0.5,2.5,1.0,5.0,aggreg
0.25,0.75,3.0,3.0,follow
0.25,1.0,3.0,4.0,port
0.1111111111111111,1.5555555555555554,8.0,14.0,index
0.5,0.5,1.0,1.0,appear
0.3333333333333333,1.0,2.0,3.0,access
0.1,1.4000000000000001,9.0,14.0,delet
0.3333333333333333,0.6666666666666666,2.0,2.0,version
0.16666666666666666,0.8333333333333333,5.0,5.0,method
0.25,0.75,3.0,3.0,metadata
0.3333333333333333,0.6666666666666666,2.0,2.0,xml
0.5,0.5,1.0,1.0,hash
0.25,0.75,3.0,3.0,gener
0.25,0.75,3.0,3.0,sink
0.2,1.0,4.0,5.0,trunk
0.5,0.5,1.0,1.0,path
0.5,0.5,1.0,1.0,modifi
0.125,1.625,7.0,13.0,valu
0.25,1.25,3.0,5.0,thrift
0.5,1.5,1.0,3.0,checksum
0.0625,1.625,15.0,26.0,queue
0.25,0.75,3.0,3.0,amount
0.5,2.0,1.0,4.0,action
0.3333333333333333,0.6666666666666666,2.0,2.0,chang
0.5,1.0,1.0,2.0,chanc
0.25,1.75,3.0,7.0,writer
0.5,1.0,1.0,2.0,jar
0.16666666666666666,1.0,5.0,6.0,app
0.5,0.5,1.0,1.0,ask
0.5,0.5,1.0,1.0,gateway
0.3333333333333333,0.6666666666666666,2.0,2.0,select
0.012987012987012988,1.6363636363636365,76.0,126.0,memori
0.1,0.9,9.0,9.0,give
0.3333333333333333,0.6666666666666666,2.0,2.0,upgrad
0.1111111111111111,1.222222222222222,8.0,11.0,handler
0.05,1.2000000000000002,19.0,24.0,call
0.5,0.5,1.0,1.0,type
0.14285714285714285,1.2857142857142856,6.0,9.0,sort
0.3333333333333333,0.6666666666666666,2.0,2.0,relat
0.14285714285714285,0.8571428571428571,6.0,6.0,notic
0.25,0.75,3.0,3.0,wait
0.3333333333333333,0.6666666666666666,2.0,2.0,loss
0.3333333333333333,0.6666666666666666,2.0,2.0,hold
0.3333333333333333,0.6666666666666666,2.0,2.0,shoot
0.5,1.0,1.0,2.0,endpoint
0.5,1.5,1.0,3.0,prepar
0.14285714285714285,1.0,6.0,7.0,work
0.3333333333333333,0.6666666666666666,2.0,2.0,histori
0.5,0.5,1.0,1.0,descriptor
0.5,0.5,1.0,1.0,tag
0.3333333333333333,0.6666666666666666,2.0,2.0,executor
0.16666666666666666,1.0,5.0,6.0,fetch
0.5,0.5,1.0,1.0,control
0.07692307692307693,1.5384615384615385,12.0,20.0,stream
0.3333333333333333,1.3333333333333333,2.0,4.0,scan
0.07142857142857142,1.4285714285714284,13.0,20.0,process
0.5,0.5,1.0,1.0,lock
0.5,0.5,1.0,1.0,share
0.5,1.5,1.0,3.0,agent
0.5,1.0,1.0,2.0,abort
0.5,0.5,1.0,1.0,serial
0.25,0.75,3.0,3.0,occur
0.3333333333333333,0.6666666666666666,2.0,2.0,filter
0.2,1.0,4.0,5.0,multipl
0.5,1.0,1.0,2.0,length
0.05,1.1500000000000001,19.0,23.0,write
0.5,2.0,1.0,4.0,answer
0.5,0.5,1.0,1.0,fsdataset
0.1111111111111111,0.8888888888888888,8.0,8.0,config
0.3333333333333333,0.6666666666666666,2.0,2.0,updat
0.043478260869565216,1.6956521739130435,22.0,39.0,map
0.16666666666666666,0.8333333333333333,5.0,5.0,max
0.5,0.5,1.0,1.0,retain
0.5,0.5,1.0,1.0,tier
0.14285714285714285,0.8571428571428571,6.0,6.0,end
0.3333333333333333,0.6666666666666666,2.0,2.0,bloom
0.25,0.75,3.0,3.0,grow
0.14285714285714285,1.1428571428571428,6.0,8.0,dfsclient
0.3333333333333333,0.6666666666666666,2.0,2.0,stress
0.16666666666666666,1.0,5.0,6.0,attempt
0.5,2.0,1.0,4.0,bootstrap
0.5,0.5,1.0,1.0,processor
0.043478260869565216,0.9565217391304348,22.0,22.0,issu
0.5,0.5,1.0,1.0,receiv
0.5,1.0,1.0,2.0,environ
0.1,1.2000000000000002,9.0,12.0,allow
0.3333333333333333,0.6666666666666666,2.0,2.0,order
0.5,0.5,1.0,1.0,help
0.3333333333333333,0.6666666666666666,2.0,2.0,move
0.5,0.5,1.0,1.0,ttl
0.07142857142857142,1.1428571428571428,13.0,16.0,hbase
0.5,0.5,1.0,1.0,pointer
0.5,0.5,1.0,1.0,delay
0.5,1.5,1.0,3.0,cli
0.5,0.5,1.0,1.0,polici
0.125,0.875,7.0,7.0,fix
0.5,1.0,1.0,2.0,window
0.2,1.4000000000000001,4.0,7.0,pend
0.3333333333333333,0.6666666666666666,2.0,2.0,requir
0.5,0.5,1.0,1.0,non
0.14285714285714285,0.8571428571428571,6.0,6.0,return
0.0625,1.1875,15.0,19.0,handl
0.5,0.5,1.0,1.0,timestamp
0.5,0.5,1.0,1.0,initi
0.3333333333333333,0.6666666666666666,2.0,2.0,break
0.5,0.5,1.0,1.0,interrupt
0.5,0.5,1.0,1.0,surviv
0.3333333333333333,0.6666666666666666,2.0,2.0,complain
0.09090909090909091,1.4545454545454546,10.0,16.0,name
0.25,1.25,3.0,5.0,edit
0.25,0.75,3.0,3.0,drop
0.3333333333333333,1.0,2.0,3.0,hmaster
0.3333333333333333,1.0,2.0,3.0,token
0.5,1.5,1.0,3.0,mode
0.16666666666666666,1.1666666666666665,5.0,7.0,timeout
0.3333333333333333,0.6666666666666666,2.0,2.0,side
0.16666666666666666,0.8333333333333333,5.0,5.0,mean
0.5,0.5,1.0,1.0,replac
0.5,0.5,1.0,1.0,chunk
0.125,1.0,7.0,8.0,continu
0.5,0.5,1.0,1.0,procedur
0.2,1.6,4.0,8.0,replay
0.0625,1.75,15.0,28.0,connect
0.25,1.0,3.0,4.0,extract
0.16666666666666666,1.1666666666666665,5.0,7.0,array
0.09090909090909091,1.0,10.0,11.0,out
0.5,0.5,1.0,1.0,network
0.038461538461538464,1.4230769230769231,25.0,37.0,space
0.3333333333333333,0.6666666666666666,2.0,2.0,miss
0.25,1.0,3.0,4.0,reader
0.5,1.0,1.0,2.0,xceiver
0.5,1.0,1.0,2.0,proxi
0.16666666666666666,0.8333333333333333,5.0,5.0,situat
0.3333333333333333,0.6666666666666666,2.0,2.0,reason
0.3333333333333333,0.6666666666666666,2.0,2.0,base
0.14285714285714285,1.1428571428571428,6.0,8.0,releas
0.3333333333333333,1.0,2.0,3.0,org
0.16666666666666666,1.1666666666666665,5.0,7.0,byte
0.041666666666666664,1.5,23.0,36.0,thread
0.25,0.75,3.0,3.0,launch
0.14285714285714285,0.8571428571428571,6.0,6.0,put
0.08333333333333333,1.0833333333333333,11.0,13.0,keep
0.1111111111111111,1.5555555555555554,8.0,14.0,recov
0.5,0.5,1.0,1.0,hconnect
0.5,0.5,1.0,1.0,place
0.5,0.5,1.0,1.0,circuit
0.5,1.0,1.0,2.0,heartbeat
0.25,0.75,3.0,3.0,assign
0.06666666666666667,1.0,14.0,15.0,oper
0.3333333333333333,1.3333333333333333,2.0,4.0,rang
0.06666666666666667,1.2666666666666666,14.0,19.0,number
