TF,DF,Word
2,2,accret
2,2,testadmin
2,2,networktopolog
2,2,gossipinfo
2,2,checkdiskerror
2,2,void
2,2,compactionstat
2,2,widerow
2,2,restar
2,2,thrash
2,2,debugg
2,2,bytebufferutil
2,2,org.apache.hadoop..regionserver.hregionserv
2,2,credit
2,2,re-en
2,2,brought
2,2,total
2,2,ta_too_many_fetch_failur
2,2,accesscontrollerprotocol
2,2,warm
2,2,columnfamilyoutputformat
2,2,overrun
2,2,room
2,2,process.destroy
2,2,poolmap
2,2,hot
2,2,recogn
2,2,rebas
2,2,superus
2,2,wrong
2,2,mbean
2,2,composit
2,2,feedback
2,2,diagnos
2,2,columnfamilystor
2,2,num-map
2,2,fit
2,2,crea
2,2,safe
2,2,precommit
2,2,resum
2,2,contend
2,2,waitonallregionstoclos
2,2,testearlyleaderabandon
2,2,adapt
2,2,bookkeeperjournalmanag
2,2,utftyp
2,2,puzzl
2,2,system.nanotim
2,2,halfstorefileread
2,2,collationcontrol
2,2,totalorderpartition
2,2,compressor
2,2,compactiontask
2,2,symptom
2,2,c-client
2,2,keyword
2,2,provis
2,2,testheaps
2,2,brandon
2,2,transmit
2,2,usernam
2,2,broadcast
2,2,datat
2,2,notion
2,2,log.index
2,2,syntax
2,2,apach
2,2,expiringmap
2,2,rowrepairresolv
2,2,linuxcontainerexecutor
2,2,datatyp
2,2,mapoutput
2,2,awar
2,2,loadbalanc
2,2,inabl
2,2,applogaggreg
2,2,dynamicsnitch
2,2,roller
2,2,queryfilter.isrelev
2,2,unencrypt
2,2,excess
2,2,heirarchi
2,2,happenin
2,2,rbranson
2,2,recur
2,2,dont
2,2,basic
2,2,trunc
2,2,deterior
2,2,play
2,2,launcher
2,2,protobufutil
2,2,aim
2,2,checkandmut
2,2,amoun
2,2,networktopologystrategi
2,2,dynamicendpointsnitch
2,2,flushregion
2,2,sync-
2,2,wherebi
2,2,incrementcolumnvalu
2,2,laptop
2,2,shoud
2,2,org.apache.hadoop.mapred.ifileinputstream
2,2,assig
2,2,shadow
2,2,deprec
