TF,DF,Word
292,251,code
10,8,entropi
103,77,queri
21,19,consum
15,11,prefix
10,10,abil
93,54,gossip
199,135,disk
448,240,compact
14,9,depend
111,47,leas
133,104,send
15,13,mrapp
24,17,tail
124,72,tracker
63,37,jvm
189,118,stable
8,8,sens
60,57,introduc
38,29,inform
286,191,sourc
12,9,rollback
58,40,string
35,25,offlin
53,39,util
16,15,ticket
14,8,servlet
12,9,splitter
12,11,misplac
66,56,level
49,31,hbck
271,180,list
112,95,mapreduce
32,27,iter
200,162,race
41,30,verif
15,9,prepar
87,82,prevent
153,98,sync
85,68,consequ
103,82,second
8,8,pressur
13,11,design
32,13,aggreg
156,137,follow
99,56,port
94,59,append
314,186,index
65,41,deleg
70,63,appear
55,32,compar
33,17,section
12,10,invok
126,126,current
327,201,delet
102,73,version
216,172,method
21,19,metadata
17,8,cleaner
31,26,xml
17,13,hash
14,11,mem
109,82,gener
181,98,sink
148,91,address
126,86,path
12,11,modifi
256,167,valu
79,54,thrift
28,17,daughter
45,23,checksum
73,48,host
13,8,diff
9,8,round
183,99,queue
30,29,amount
25,21,throughput
11,11,pick
20,12,action
299,240,chang
9,8,chanc
18,8,txn
84,50,writer
61,30,elect
50,24,jar
32,26,transit
56,42,releas
53,43,api
39,27,safemod
46,31,famili
14,8,tasktrack
8,8,instal
14,9,gateway
37,27,select
12,11,describ
338,222,memori
106,72,scan
15,8,regist
96,63,upgrad
138,95,handler
518,362,call
53,41,type
30,14,metric
73,50,sort
15,10,jmx
10,9,peopl
19,19,relat
62,60,notic
10,8,hive
12,9,flag
57,37,agent
78,68,loss
41,36,hold
13,12,shoot
35,24,endpoint
22,12,join
26,15,restor
39,36,setup
263,221,work
88,51,histori
31,25,descriptor
10,10,remain
11,10,tag
29,22,executor
59,30,renew
72,47,root
63,46,fetch
13,8,def
92,61,control
336,185,stream
180,151,give
372,267,process
259,132,lock
56,48,share
23,16,accept
51,41,abort
45,32,yarn
21,20,onlin
53,30,serial
32,21,acl
52,48,occur
135,67,filter
130,98,multipl
201,131,secur
40,28,length
454,320,write
11,8,purg
21,14,answer
12,11,fsdataset
16,11,simpl
130,105,updat
371,219,map
44,28,max
12,8,clone
11,9,catalog
13,10,retain
9,8,tier
196,162,end
