TF,DF,Word
284,243,code
103,77,queri
21,19,consum
15,11,prefix
10,10,abil
93,54,gossip
183,127,disk
410,243,row
448,240,compact
39,34,decid
14,9,depend
201,131,secur
111,47,leas
158,122,send
15,13,mrapp
24,17,tail
20,15,estim
63,37,jvm
189,118,stable
132,103,exit
60,57,introduc
286,191,sourc
12,9,rollback
47,32,string
207,115,replic
829,567,exception
35,25,offlin
43,31,util
13,11,mechan
307,231,failur
16,15,ticket
263,229,tri
12,9,splitter
12,11,misplac
66,56,level
49,31,hbck
271,180,list
112,95,mapreduce
24,19,iter
200,162,race
15,9,prepar
135,81,dir
87,82,prevent
153,98,sync
85,68,consequ
80,65,second
13,11,design
32,13,aggreg
156,137,follow
86,48,port
94,59,append
233,122,index
66,42,deleg
62,55,appear
55,32,compar
33,17,section
12,10,invok
137,125,find
126,126,current
327,201,delet
93,65,version
216,172,method
21,19,metadata
31,26,xml
17,13,hash
14,11,mem
109,82,gener
13,13,let
181,98,sink
139,83,address
126,86,path
222,204,becom
12,11,modifi
256,167,valu
79,54,thrift
28,17,daughter
45,23,checksum
73,48,host
183,99,queue
19,18,amount
25,21,throughput
11,11,pick
20,12,action
299,240,chang
84,50,writer
61,30,elect
50,24,jar
32,26,transit
32,26,releas
53,43,api
39,27,safemod
46,31,famili
14,9,gateway
37,27,select
1182,876,use
13,10,from
12,11,describ
338,222,memori
106,72,scan
96,63,upgrad
120,79,handler
512,361,call
53,41,type
30,14,metric
10,10,today
61,42,sort
15,10,jmx
10,9,peopl
19,19,relat
62,60,notic
12,9,flag
26,24,stick
50,44,loss
41,36,hold
26,25,intend
13,12,shoot
35,24,endpoint
22,12,join
31,27,hour
26,15,restor
39,36,setup
254,213,work
19,13,merkl
88,51,histori
31,25,descriptor
10,10,remain
11,10,tag
15,14,executor
17,17,meet
72,47,root
63,46,fetch
84,53,control
21,14,dfsinput
336,185,stream
181,152,give
372,267,process
259,132,lock
56,48,share
57,37,agent
51,41,abort
45,32,yarn
70,65,want
21,20,onlin
53,30,serial
32,21,acl
52,48,occur
135,67,filter
179,146,end
65,61,turn
29,20,length
454,320,write
86,69,option
21,14,answer
27,20,verifi
12,11,fsdataset
16,11,simpl
130,105,updat
371,219,map
44,28,max
34,25,standbi
11,9,catalog
13,10,retain
10,10,develop
19,15,bloom
15,14,grow
70,46,dfsclient
12,11,stress
111,95,attempt
104,55,counter
10,9,correspond
92,87,think
386,327,issu
38,29,inform
45,31,switch
41,36,environ
212,180,allow
16,14,ensembl
88,74,order
18,14,ssh
86,80,jira
37,31,help
143,100,move
47,40,increas
13,11,reconnect
33,25,ttl
556,383,hbase
69,58,pointer
12,12,digest
21,19,delay
22,14,group
17,12,cli
65,33,polici
197,160,fix
42,29,fsnamesystem
10,10,better
53,37,window
16,11,pend
69,61,requir
27,18,persist
21,19,mail
18,17,non
281,212,return
250,205,handl
20,16,auto
30,25,initi
92,82,break
9,9,half
58,44,interrupt
55,54,discuss
418,263,name
234,127,edit
412,270,config
76,57,drop
12,10,revert
77,51,hmaster
58,39,authent
253,121,token
112,77,mode
183,117,timeout
33,26,debug
10,10,found
72,54,side
89,85,mean
57,41,failov
38,23,replac
14,11,chunk
14,13,multipl
112,104,continu
11,9,procedur
89,63,replay
10,9,backport
68,67,expect
25,9,raid
247,220,happen
71,65,patch
51,29,collector
42,31,ring
39,35,out
62,57,network
68,57,space
162,105,open
46,31,monitor
10,10,profil
90,61,reader
14,10,shut
20,17,proxi
47,28,migrat
51,50,situat
13,9,committ
43,43,reason
138,109,base
148,90,put
11,11,org
162,92,byte
462,281,thread
53,41,launch
21,19,refus
64,53,keep
280,170,recov
41,39,thing
47,31,hconnect
33,26,place
14,9,circuit
11,11,regress
38,26,heartbeat
16,15,parallel
255,166,assign
11,11,first
328,265,oper
133,86,rang
181,139,number
42,40,one
29,16,hook
33,28,htabl
33,25,kerbero
66,50,array
183,155,miss
243,163,size
67,27,capac
13,12,script
867,581,data
271,182,system
213,149,messag
46,43,stack
113,59,checkpoint
9,9,attach
99,51,attack
401,254,master
12,9,deploy
198,136,store
61,36,schema
68,52,flume
33,25,shell
149,126,way
31,23,namespac
28,19,tool
119,79,copi
121,72,alloc
54,48,specifi
15,9,blacklist
15,9,packet
14,13,serv
53,39,target
13,9,syslog
110,87,provid
251,186,remov
30,19,tree
37,27,structur
20,12,charact
86,47,balanc
14,11,oozi
39,36,minut
35,26,pre
26,15,mini
71,39,bootstrap
10,10,comput
22,11,gridmix
22,13,runner
42,32,pass
120,75,keeper
79,49,argument
1019,760,fail
16,15,say
69,50,expir
41,24,increment
23,16,deliv
328,291,need
63,58,seem
83,71,null
60,56,saw
272,228,cassandra
631,549,caus
