TF,DF,Word
1,1,maptask
34,31,code
1,1,hashmap
1,1,columnfamili
4,3,queri
7,7,consum
4,3,prefix
4,4,sleep
8,6,abil
21,20,follow
19,16,disk
26,16,compact
1,1,content
1,1,failuredetector
9,6,depend
25,18,secur
1,1,unencrypt
6,2,leas
13,9,send
5,3,fs.defaultf
1,1,testadmin
1,1,tail
2,2,program
1,1,completebulkload
3,3,jvm
14,8,stable
3,3,sens
1,1,testcas
1,1,spec
9,9,introduc
9,6,inform
66,45,sourc
9,6,string
2,2,downstream
17,12,replic
3,1,fals
4,4,multi
3,3,offlin
33,27,failur
3,2,retriev
2,2,bottleneck
3,3,servlet
12,11,implement
1,1,jobimpl
1,1,splitter
1,1,sequenceid
8,6,level
10,8,hbck
18,12,list
3,2,upload
16,13,wait
3,1,emul
1,1,compactio
10,9,race
2,2,outofmemori
2,1,replication_factor
8,4,jobconf
10,9,servic
5,4,dir
3,3,pleas
14,14,prevent
1,1,impli
2,1,reducetask
5,2,combinefileinputformat
3,3,sync
2,2,past
5,4,consequ
2,2,rate
4,4,pressur
3,3,design
4,4,pass
1,1,bake
45,22,port
5,3,append
8,8,hadoop-
3,3,compat
6,3,index
1,1,rowkey
14,13,appear
4,3,compar
2,1,strategy_opt
1,1,repli
5,2,section
4,3,invok
1,1,overload
2,1,simplestrategi
21,21,current
17,12,delet
9,7,version
1,1,tickl
3,2,topolog
1,1,movement
1,1,stochasticloadbalanc
1,1,involv
1,1,elimin
2,2,hash
1,1,restar
12,11,gener
8,4,historyserv
2,2,wordcount
1,1,hintedhandoff
1,1,bodi
40,25,sink
45,22,address
4,2,bulkload
34,23,path
2,1,modifi
2,1,valv
51,41,valu
8,5,thrift
2,2,box
2,2,convert
2,2,deterior
4,1,checksum
2,1,tablelockmanag
1,1,mr-jobhistory-daemon.sh
14,10,host
1,1,diff
9,6,tasktrack
27,12,queue
3,3,amount
1,1,chann
3,3,throughput
1,1,behav
3,3,pick
8,5,action
45,35,chang
3,2,hsha
2,2,re-en
4,4,overrid
2,2,semant
1,1,scale
2,2,regardless
2,2,tweak
1,1,transit
1,1,hfilesystem
13,11,put
2,2,boolean
2,1,safemod
12,8,famili
2,1,opcod
6,6,instal
4,2,bulkoutputformat
1,1,gateway
2,1,select
1,1,asyncprocess
3,2,terasort
1,1,nullpointerexception
8,3,distcp
1,1,perf
3,2,zip
23,18,memori
4,3,scan
1,1,display
15,13,upgrad
1,1,implic
2,1,datadir
5,4,handler
1,1,overhead
2,1,spike
1,1,stage
2,2,type
2,1,tell
1,1,inet
8,6,sort
2,1,cast
1,1,flap
5,4,peopl
3,3,relat
5,5,notic
2,2,warn
3,3,trail
6,6,stick
2,2,mapred-default
1,1,hole
12,9,hold
2,2,document
1,1,overrun
1,1,testsplittransact
1,1,annoy
3,3,none
3,2,endpoint
2,1,join
2,2,restor
17,17,setup
52,42,work
24,16,histori
3,2,descriptor
2,2,remain
1,1,tag
1,1,process.destroy
1,1,learn
3,1,renew
8,8,root
2,2,authent
3,3,complain
7,5,control
5,1,ldap
2,1,pipelin
15,8,stream
33,27,give
34,26,process
13,9,lock
3,3,share
21,14,agent
12,8,abort
11,9,yarn
1,1,incom
1,1,onlin
1,1,serial
3,2,acl
3,3,occur
2,1,hregionpartition
2,1,ratio
2,2,filter
1,1,multipl
5,2,tablemapreduceutil
3,3,divid
1,1,getmast
2,2,hconnect
2,2,reset
3,2,mapr
1,1,purg
2,1,hfilev
5,3,answer
3,3,verifi
224,149,config
11,10,updat
12,9,map
3,3,product
5,4,watch
1,1,clone
2,2,minimum
1,1,reflect
1,1,wrong
1,1,threadpoolserv
3,1,securecli
6,5,retain
5,5,end
73,59,data
2,2,grow
2,2,lar
1,1,hregioninterfac
22,19,handl
4,3,overwrit
18,15,attempt
1,1,hstore
15,9,bind
2,2,io.sort.factor
4,2,bootstrap
1,1,produc
58,46,issu
15,12,perform
1,1,minizookeeperclust
1,1,maintain
18,15,environ
33,27,allow
3,3,enter
1,1,dmitriy
2,2,first
10,9,order
2,2,talk
6,6,jira
2,2,origin
2,2,belong
5,5,help
1,1,ping
1,1,propertyfilesnitch
13,12,move
1,1,cross
8,7,increas
1,1,preempt
2,2,reconnect
4,4,affect
4,2,hbase
2,1,pointer
4,4,dynam
9,7,paramet
42,30,write
4,4,group
1,1,monitor
3,2,binari
1,1,genstamp
7,5,fix
4,2,application_init
2,1,fsnamesystem
4,4,filechannel
30,19,window
2,1,pend
22,14,restart
9,4,bypass
5,4,persist
1,1,progr
1,1,therefor
1,1,alter
1,1,hregion.internalobtainrowlock
11,9,crash
3,2,wildcard
1,1,reveal
4,1,python
1,1,auto
1,1,cover
13,13,initi
1,1,wast
7,6,break
3,3,mention
2,2,viewf
1,1,half
6,6,interrupt
1,1,one
2,2,day
1,1,introduct
1,1,mrappmast
6,4,workload
27,20,name
3,3,map/reduc
16,10,edit
7,5,fetch
7,4,revers
3,3,revert
10,7,hmaster
1,1,refresh
12,4,token
1,1,decommiss
18,12,mode
37,23,timeout
3,2,debug
8,7,side
1,1,splitlog
10,10,mean
3,2,exportsnapshot
5,3,failov
1,1,harm
2,2,cost
1,1,resum
1,1,chunk
9,6,kerbero
13,13,continu
1,1,procedur
6,5,replay
6,6,backport
70,45,connect
4,2,raid
28,27,happen
14,8,collector
4,2,ring
7,4,variabl
1,1,waitonallregionstoclos
9,7,network
2,2,part
13,11,space
20,14,open
2,2,develop
3,2,io.sort.mb
1,1,hive
1,1,e.g
2,2,profil
24,20,method
8,5,adjust
2,2,rel
4,3,reader
4,4,print
4,2,auxservic
2,1,factori
1,1,xceiver
2,2,shut
2,2,proxi
1,1,insid
3,3,migrat
3,3,driver
2,2,manipul
10,10,situat
1,1,committ
1,1,someon
1,1,dataloss
1,1,standalon
9,9,reason
12,11,base
9,7,releas
1,1,rewrit
10,7,byte
1,1,compression_paramet
3,3,spread
1,1,zxid
