TF,DF,Word
73,61,code
3,1,edg
16,11,queri
1,1,storageservic
5,4,consum
3,2,inherit
1,1,root/meta
1,1,stopcontain
1,1,sleep
4,4,abil
8,3,distcp
20,20,follow
29,19,disk
4,3,hole
35,27,compact
2,2,profil
1,1,repl
1,1,failuredetector
7,6,depend
2,1,slot
3,2,spew
1,1,prepar
17,17,send
3,2,tail
2,1,program
2,2,completebulkload
1,1,jvm
16,12,stable
1,1,aris
1,1,fatal
5,5,introduc
3,2,inject
1,1,regionscann
2,2,shoot
62,40,sourc
5,5,rollback
8,6,string
3,3,downstream
4,4,outofmemory
5,2,fals
7,6,multi
6,6,offlin
2,2,spool
3,2,print
2,1,volum
1,1,parti
102,80,failur
5,5,affect
3,3,servlet
18,16,implement
4,4,improve
2,2,jobimpl
1,1,getsplit
2,2,display
2,2,misplac
6,5,level
15,9,hbck
2,2,htablepool
2,2,leftov
1,1,dig
41,31,list
2,2,upload
4,4,iter
1,1,launcher
2,2,compactio
14,13,race
3,2,tablerecordread
5,4,replication_factor
1,1,verif
12,7,servic
1,1,librari
5,5,pleas
17,16,prevent
3,2,terasort
1,1,reducetask
1,1,leasemanag
3,2,combinefileinputformat
4,4,lack
2,2,protobufutil
3,2,jump
6,6,consequ
16,12,second
3,3,design
6,3,aggreg
14,6,gossip
2,1,download
7,5,port
12,6,append
2,2,compat
13,10,index
5,3,deleg
4,2,hide
16,16,appear
3,2,compar
1,1,clock
5,5,hconnectionmanag
1,1,repli
4,3,section
5,4,invok
4,3,simplestrategi
19,19,current
56,37,delet
17,13,version
1,1,suspect
3,2,integrationtestbiglinkedlist
1,1,delegationtokenrenew
3,2,get_count
1,1,describe_r
42,32,method
3,2,metadata
16,13,zookeep
1,1,deriv
3,2,getlock
10,10,gener
2,2,learn
2,2,wordcount
3,3,bodi
2,2,slow
54,29,sink
25,22,trunk
5,3,bulkload
18,16,path
2,2,modifi
41,22,valu
9,8,thrift
1,1,incom
2,1,localjobrunn
2,2,convert
5,5,produc
12,7,daughter
1,1,convers
2,2,respon
3,2,scanneropen
20,12,host
12,7,tasktrack
24,17,queue
1,1,credit
1,1,amount
1,1,zoo.cfg
3,3,keyvalu
3,2,taskimpl
2,2,pick
9,6,action
1,1,zombi
24,23,chang
16,11,jobtrack
8,5,transact
3,2,hsha
3,3,control
1,1,semant
2,1,writer
1,1,slicerang
9,8,transit
1,1,offset
6,6,ask
2,2,boolean
1,1,java.lang.assertionerror
9,7,famili
1,1,visibl
1,1,marker
6,6,select
3,2,asyncprocess
8,7,nullpointerexception
2,2,zkutil
3,3,zip
35,26,memori
1,1,mistak
6,5,scan
2,2,checkleas
20,17,upgrad
1,1,rs_zk_region_open
2,2,ta_too_many_fetch_failur
3,3,suit
11,9,handler
4,2,jobcontrol
3,2,java.lang.internalerror
5,4,stage
8,7,type
1,1,cl.one
1,1,openregion
10,9,sort
1,1,star
1,1,accumulo
1,1,doio
1,1,peopl
1,1,brisk
8,8,relat
1,1,mismatch
12,12,notic
1,1,hurt
13,12,warn
4,3,flag
1,1,rmcontaineralloc
16,13,indic
1,1,log.index
3,2,sens
1,1,midst
10,9,hold
1,1,testsplittransact
1,1,annoy
3,3,none
2,1,endpoint
4,2,join
7,6,sometim
8,6,restor
11,10,setup
35,31,work
2,1,leveledcompactiontask
11,8,histori
4,3,descriptor
3,3,remain
1,1,process.destroy
2,2,caller
21,20,assum
1,1,executor
1,1,dorollback
4,2,jobclient.getmaptaskreport
21,15,root
23,15,fetch
3,3,overrid
1,1,directdriv
1,1,prompt
15,11,pipelin
36,23,stream
42,37,give
50,39,process
15,9,lock
1,1,registr
5,5,share
2,1,shard
4,4,accept
1,1,death
24,20,abort
7,6,yarn
4,3,unassign
1,1,past
1,1,recycl
2,2,onlin
3,3,serial
1,1,simul
1,1,nm/rm
2,1,aggregationcli
1,1,risk
2,2,uncheck
9,4,filter
2,1,answer
14,13,end
1,1,goal
1,1,freshli
17,12,secur
1,1,faulti
2,2,ping
2,2,hconnect
12,11,occur
46,36,write
1,1,criterion
1,1,bytebloomfilt
2,2,pending_open
2,1,verifi
1,1,fsdataset
51,36,config
16,14,updat
6,4,map
1,1,recogn
1,1,mess
1,1,watch
4,2,clone
1,1,spot
1,1,replicationmonitor
1,1,kill_contain
1,1,reflect
5,5,standbi
3,3,hintedhandoffmanag
3,1,securecli
2,1,discard
7,5,multipl
1,1,memorychannel
7,7,associ
1,1,lifecycle
1,1,lar
1,1,hregioninterfac
15,10,dfsclient
2,2,stress
1,1,overwrit
61,46,attempt
3,3,practic
1,1,context
2,2,emit
1,1,bind
7,7,hadoop-
1,1,correspond
2,1,predic
83,66,issu
14,13,receiv
5,5,switch
2,1,close_wait
5,5,environ
16,12,allow
5,3,enter
1,1,dmitriy
4,2,fallback
10,9,order
4,3,talk
6,6,jira
1,1,fail_container_cleanup
3,2,help
19,13,move
2,1,choosetarget
1,1,addit
1,1,fsdirectori
42,34,report
7,6,reconnect
2,1,bulkrecordwrit
14,8,hbase
1,1,suffer
11,9,pointer
3,3,bunch
2,2,delay
2,2,disconnect
1,1,testassignmentmanag
1,1,binari
6,3,polici
11,11,fix
2,1,","
1,1,runnabl
5,4,filechannel
1,1,compressiontest
11,6,window
2,1,pend
2,2,w.r.t
5,4,requir
5,3,bypass
2,2,persist
12,11,mail
1,1,endless
1,1,might
1,1,alter
82,65,return
8,7,mapr
98,77,handl
2,2,dfsoutputstream.clos
2,2,cover
19,14,initi
16,15,break
2,2,mention
5,3,regionobserv
1,1,spill
1,1,half
27,20,interrupt
1,1,unregist
5,5,day
16,11,counter
5,4,mrappmast
1,1,datastream
1,1,mapreduc
34,23,name
4,4,anyth
1,1,bucketwrit
1,1,perspect
1,1,troubleshoot
8,7,drop
5,4,revert
23,14,hmaster
3,2,authent
3,2,channelprocessor
27,11,token
10,9,mode
28,22,timeout
15,13,debug
3,3,found
6,3,notif
1,1,am.joinclust
12,8,side
3,3,truncat
10,8,mean
4,4,compil
9,8,reset
1,1,outputstream
1,1,packet
1,1,htable.get
2,2,replac
5,4,kerbero
1,1,fseditlog
41,35,continu
3,1,group
1,1,updatelock
9,6,wrap
7,7,replay
1,1,backport
61,46,connect
1,1,meta/root
69,58,happen
10,9,collector
5,5,array
4,3,variabl
1,1,waitonallregionstoclos
1,1,safeti
9,9,network
13,12,space
4,2,upcal
35,23,open
2,2,develop
3,2,reboot
1,1,content
4,3,rewrit
3,2,adjust
2,1,rpcclient
1,1,reader
1,1,hardwar
2,2,correct
1,1,committ
3,3,shut
1,1,delegationtoken
1,1,bytestyp
2,2,proxi
1,1,insid
6,3,migrat
50,37,hang
2,1,htable.clos
15,15,situat
1,1,bkjm
2,2,someon
1,1,dataloss
11,11,reason
8,8,base
2,1,get_indexed_slic
1,1,theori
2,1,element
8,5,put
8,6,byte
2,2,decompress
1,1,compression_paramet
1,1,testdelayedrpc
3,3,care
2,2,thrown
74,47,thread
10,8,launch
1,1,taskattemptimpl
2,2,synchron
9,8,refus
2,2,keep
82,47,recov
6,6,thing
15,9,length
1,1,enforc
2,2,place
3,2,dir
5,2,circuit
1,1,releas
7,7,regress
3,2,heartbeat
1,1,parallel
1,1,lifetim
1,1,confus
60,38,assign
3,3,timeoutmonitor
30,25,oper
10,7,info
8,7,rang
7,5,notifi
3,2,busi
2,2,tasklaunch
2,2,mkdir
20,16,number
1,1,auth
4,4,one
1,1,containerlauncherimpl
4,2,reopen
5,4,fetcher
2,1,htabl
1,1,netcat
2,2,owner
3,1,ring
2,1,jobendnotifi
40,36,miss
1,1,primari
1,1,fileoutputcommitt
15,12,size
2,2,prioriti
7,4,hconnectionimplement
4,3,hlogsplitt
5,3,capac
5,4,script
78,66,data
2,1,licens
1,1,malform
11,11,system
44,32,messag
1,1,regionsintransit
15,9,checkpoint
2,2,attach
2,2,compactselect
102,64,master
2,1,deploy
1,1,dwell
2,1,underli
1,1,dfsclient.clos
3,2,disagr
1,1,storageproxi
13,10,store
2,2,listen
2,2,free
1,1,prone
13,10,shell
4,3,consol
9,8,option
4,2,namespac
7,5,tool
8,7,copi
6,6,alloc
7,7,specifi
1,1,sync
5,3,blacklist
1,1,compressor
77,48,task
7,5,pars
2,1,masterobserv
2,2,fairschedul
2,2,javadoc
1,1,column_metadata
1,1,holder
4,3,branch-
7,7,serv
1,1,htable.coprocessorexec
1,1,kind
1,1,genstamp
1,1,grep
12,9,target
2,1,outboundtcpconnect
3,3,provid
34,28,remov
4,3,tree
4,2,rate
3,2,maptask
8,7,charact
3,3,project
2,2,stall
8,6,balanc
2,1,reclaim
3,3,oozi
2,1,ksdef
8,7,schema
1,1,sooner
1,1,cleaner
10,6,bootstrap
2,2,comput
6,3,gridmix
4,2,jvmmanag
1,1,runner
6,6,pass
15,10,argument
6,3,rowlock
1,1,part-
350,258,fail
4,1,seed
1,1,softvaluesortedmap
6,6,expir
1,1,increment
3,3,deliv
4,4,exclud
1,1,agenteechain
1,1,normal
1,1,lie
1,1,probabl
1,1,lib
1,1,min
1,1,unwrap
1,1,brain
1,1,hive
2,2,mix
4,4,contact
8,8,build
5,2,combin
1,1,detector
2,2,wonder
2,1,text
3,3,noth
1,1,singl
3,3,noformat
1,1,therefor
6,6,begin
379,217,node
9,8,distribut
17,16,trace
37,23,hdfs
3,2,buffer
3,2,noclassdeffounderror
8,7,object
3,2,reach
1,1,discov
1,1,spread
34,25,crash
3,2,removetoken
2,2,plan
1,1,dfs.name.dir
3,3,pair
2,1,completefil
1,1,subset
1,1,eventhandl
4,3,segment
35,27,class
1,1,filecontext
2,2,testmasterfailov
3,2,hregion
4,3,renam
5,4,quorum
8,5,filesystem
4,4,clear
4,2,partition
33,26,request
1,1,face
3,3,pipe
1,1,bufcurr
1,1,deni
3,3,declar
17,12,snapshot
11,11,clean
2,2,link
5,5,commitlog
1,1,boundari
3,3,fact
1,1,tableinputformat
2,2,incrementcolumnvalu
1,1,receiverespons
7,6,show
34,22,edit
8,6,random
2,2,concurr
3,2,testsplittransactiononclust
12,6,session
10,6,permiss
1,1,splitregionhandl
2,1,threshold
1,1,editlogfileoutputstream.clos
1,1,reus
3,2,bail
25,22,find
1,1,htableinterfac
3,2,mapred.local.dir
4,4,impact
16,14,access
18,12,submit
16,10,locat
4,3,codec
2,2,stackoverflowerror
27,19,cache
4,4,solut
2,2,figur
4,3,jobhistori
1,1,hector
2,1,resubmit
4,4,suppos
6,2,seek
1,1,factor
1,1,tickl
6,5,folder
1,1,virtual
2,2,local
4,2,commitjob
2,2,discuss
1,1,expiringmap
1,1,hit
1,1,point-of-no-return
1,1,concaten
1,1,beat
21,16,stop
1,1,mainten
1,1,tcp
2,1,import
6,4,increas
58,43,restart
2,2,rowrepairresolv
8,5,mapper
1,1,experi
1,1,emb
2,1,bisect
2,2,sendheartbeat
1,1,logsplit
1,1,intermitt
1,1,metaservershutdownhandl
12,11,patch
1,1,ifileinputstream
1,1,stuff
1,1,play
5,4,integr
2,2,partit
28,22,contain
1,1,grab
1,1,testfileappend
6,3,view
9,8,respond
1,1,kernel
5,2,stag
7,7,set
2,1,getfilechecksum
2,2,frame
1,1,dataxceiverserv
27,20,startup
3,1,splitkey
10,7,memstor
1,1,tablelockmanag
44,38,result
17,13,respons
31,21,corrupt
76,54,close
2,1,testmrjob
2,2,retriev
13,10,hlog
12,11,subject
2,2,infinit
7,5,statu
48,44,detect
1,1,correctli
1,1,redirect
1,1,stuck
1,1,speed
13,13,someth
1,1,dtest
2,1,nosuchmethoderror
1,1,tend
65,51,state
7,4,hregionserv
1,1,benchmark
13,8,progress
5,3,paramet
1,1,assumpt
2,2,failed_open
1,1,relev
14,9,parent
3,3,induc
2,1,bloomfilt
24,19,job
1,1,snappi
1,1,timeou
8,6,key
11,9,interface
2,2,hudson
1,1,disallow
5,3,dfsinputstream
5,5,minut
2,2,popul
1,1,closur
3,2,protect
1,1,revers
2,1,plugin
13,10,admin
6,4,fault
186,100,region
2,1,datatransf
3,2,strategy_opt
20,18,succeed
1,1,inplac
1,1,braf
11,9,agent
5,5,logic
10,8,coprocessor
3,3,swallow
2,2,solv
2,2,nullpoint
27,17,load
4,2,processioerror
5,3,loadincrementalhfil
1,1,troubl
5,5,point
1,1,instanti
16,11,schedul
3,3,format
11,10,address
2,2,meantim
1,1,arriv
4,3,loader
2,1,structur
1,1,apache
1,1,rpc
2,1,localcontaineralloc
19,14,shutdown
1,1,rbranson
6,3,cancel
1,1,pread
1,1,job.xml
3,3,fsnamesystem
2,1,columnfamilyinputformat
17,11,duplic
2,2,better
1,1,tokencach
9,9,java
1,1,divid
2,2,coupl
3,1,decomiss
1,1,empti
13,12,mark
4,2,compon
2,2,json
14,14,keyspac
4,4,treat
1,1,interest
1,1,basic
1,1,jobinprogress
1,1,listen_address
27,20,wait
6,3,hftp
3,3,strategi
1,1,box
1,1,multi-thread
3,2,handoff
1,1,servernam
8,6,imag
5,5,shuffl
1,1,worker
2,2,search
4,3,defect
12,6,bulk
4,4,coordin
1,1,zero
16,16,understand
8,7,child
37,27,catch
1,1,purg
72,63,case
28,18,replic
491,314,exception
4,3,init
5,3,packag
1,1,processdeadserversandregionsintransit
2,2,mount
7,5,properti
17,16,batch
5,5,defin
4,3,calcul
3,3,deem
5,4,jobclient
136,112,error
2,2,occas
4,4,decreas
1,1,invoc
1,1,checkandmut
7,6,observ
26,26,loop
3,2,testzookeep
3,3,propag
1,1,memtabl
2,1,cell
4,3,cast
1,1,infrastructur
1,1,leveledmanifest
6,4,metric
65,43,tabl
2,2,destin
106,81,cluster
2,1,leadership
2,2,archiv
4,4,conf
2,1,precompactedrow
1,1,complic
2,1,reseek
1,1,sever
6,6,splitlogwork
1,1,decor
32,27,null
5,4,mutat
1,1,incomingtcpconnect
16,15,perform
1,1,suggest
3,3,belong
1,1,classpath
26,22,hadoop
1,1,trip
3,3,member
51,44,read
5,5,instanc
1,1,decod
67,46,split
1,1,rejoin
1,1,clientcnxnsocketnio
1,1,document
1,1,rpc_timeout
24,19,complet
2,2,week
4,2,acl
4,2,finish
4,2,slave
10,6,hostnam
4,2,optim
2,1,inputsplit
3,3,driver
1,1,effect
3,3,hand
2,2,capabl
1,1,moment
8,7,rais
36,23,user
1,1,ownership
5,5,stack
1,1,audit
1,1,scale
1,1,travers
2,1,drain
1,1,mapred-default.xml
6,5,center
22,22,scenario
2,2,inconsist
9,7,entri
1,1,flushregion
3,2,clobber
11,11,exampl
24,20,command
1,1,wherebi
2,1,catalogjanitor
3,3,choos
1,1,corner
1,1,model
1,1,spend
1,1,explan
5,4,comment
1,1,distributedfilesystem
7,5,protocol
3,3,paus
2,2,execut
4,3,boot
3,3,combinefileinputformat.getsplit
1,1,obtain
6,4,rest
1,1,activ
1,1,trust
1,1,testingutil
42,31,kill
3,2,refactor
2,2,rolleditlog
3,3,touch
3,3,.
9,4,storefil
1,1,note
2,1,columnfamilyrecordread
1,1,signal
2,2,expos
8,4,hint
2,1,dataxceiv
3,2,mmap
44,32,regionserv
4,3,mask
1,1,param
6,5,complain
2,1,ecmultiregionsnitch
29,25,add
21,16,valid
6,6,board
15,10,input
8,5,safemod
2,2,app
7,7,match
26,18,applic
2,2,latenc
10,8,loss
1,1,preserv
1,1,memstoreflush
3,3,checksum
1,1,datacentersyncwriteresponsehandl
1,1,taskrunn
7,4,daemon
6,5,period
2,2,regio
8,8,know
4,3,background
1,1,final
1,1,redesign
1,1,password
7,2,bloom
3,2,datacent
1,1,testreplication.queuefailov
16,14,insert
1,1,cfmetadata
1,1,jobhistoryserv
2,1,like
6,4,success
5,4,header
2,1,outag
3,2,map/reduc
4,4,resolv
7,7,elaps
90,65,server
3,2,cqlsh
4,3,collect
2,2,api
3,1,sendthread
26,11,channel
1,1,zookeeperwatch
3,2,lose
4,3,hung
1,1,async
6,4,hook
8,5,page
1,1,backlog
4,3,tombston
11,11,encount
3,3,exceed
2,2,right
11,9,assignmentmanag
2,2,captur
1,1,fsutil
3,3,interv
2,2,linux
1,1,back
2,2,percentag
1,1,checkdiskerror
1,1,sampl
1,1,revisit
16,11,flush
17,17,intend
2,2,manifest
2,1,administr
2,2,transport
7,6,assertionerror
1,1,slice
1,1,keytab
1,1,feder
19,16,lead
1,1,confirm
15,13,leak
9,9,avoid
2,1,exec
2,2,definit
1,1,subclass
7,6,outofmemori
17,9,leas
9,6,tracker
44,35,exit
7,7,unit
29,25,condit
1,1,commitlogseg
7,7,reproduc
2,1,leader
1,1,localhost
7,6,refer
12,9,machin
1,1,core
2,2,investig
1,1,toler
5,4,power
2,1,filejournalmanag
5,3,compress
1,1,insecur
2,1,verifyrootregionloc
4,2,agreement
11,5,symlink
2,2,broken
6,6,step
2,2,httpf
