TF,DF,Word
10,8,code
1,1,chain
1,1,queri
2,2,lack
2,1,root/meta
1,1,stopcontain
6,4,gossip
4,3,disk
12,8,compact
2,2,depend
5,5,send
2,1,init
2,2,jvm
5,2,stable
1,1,gossipstag
4,4,introduc
2,1,inject
22,11,sourc
1,1,kill_contain
10,8,failur
3,3,affect
1,1,ticket
1,1,bottleneck
1,1,writelock
3,1,--
1,1,leftov
8,4,list
17,13,race
3,3,pleas
6,6,prevent
2,2,terasort
3,2,combinefileinputformat
2,2,consequ
3,2,second
2,1,aggreg
8,8,follow
1,1,download
5,3,port
4,2,append
2,2,hadoop-
1,1,compat
4,3,index
8,6,appear
4,1,compar
1,1,hconnectionmanag
1,1,repli
1,1,section
1,1,invok
1,1,current
4,3,delet
2,2,version
1,1,get_count
11,10,method
2,1,zookeep
2,1,regionload
2,1,getlock
1,1,restar
5,4,gener
1,1,closur
11,8,sink
4,4,address
1,1,apache
1,1,valu
23,21,wait
1,1,search
1,1,step
6,4,tasktrack
2,2,queue
3,3,amount
1,1,behav
7,7,chang
1,1,hsha
1,1,semant
3,2,writer
1,1,slicerang
5,5,transit
1,1,prefer
2,1,ask
5,2,safemod
2,2,instal
1,1,appmast
3,3,unit
1,1,linuxtaskcontrol
3,3,memori
5,5,upgrad
4,3,handler
1,1,morn
2,2,type
16,13,start
1,1,minor
6,5,sort
2,1,region_mover.rb
1,1,hundr
3,3,relat
1,1,benchmark
2,2,notic
1,1,adapt
1,1,flag
9,9,stick
1,1,midst
3,3,hold
1,1,none
2,1,nettyservercnxn
1,1,join
2,1,restor
2,2,setup
8,7,work
3,2,histori
1,1,job.jar
1,1,minidfsclust
5,3,root
1,1,fetch
1,1,complain
2,1,control
1,1,focusedcommentid=
6,5,stream
8,7,give
15,12,process
32,19,lock
5,5,agent
6,5,abort
2,2,serial
1,1,optionaltask
4,3,occur
1,1,applogaggreg
1,1,uncheck
2,1,editlogtail
4,4,end
2,1,newlin
3,2,secur
3,2,faulti
1,1,reset
6,6,write
3,2,answer
15,9,config
3,3,updat
8,5,map
6,5,stop
3,2,clone
1,1,standbi
3,1,securecli
3,2,retain
2,1,namesystem
16,14,data
5,3,dfsclient
1,1,stress
21,16,attempt
1,1,practic
9,6,bootstrap
4,1,disabl
17,12,issu
3,2,receiv
1,1,environ
2,1,uncach
2,2,allow
1,1,enter
1,1,dmitriy
1,1,order
1,1,talk
3,1,rotat
3,3,move
1,1,increas
1,1,preempt
7,3,hlog
2,1,uuid
1,1,fix
4,3,fsnamesystem
3,2,filechannel
1,1,compressiontest
1,1,window
1,1,alter
19,12,crash
2,1,halt
12,11,handl
2,1,timestamp
1,1,dfsoutputstream.clos
4,4,initi
6,5,break
1,1,framework
3,3,half
9,6,interrupt
1,1,discuss
2,2,datastream
2,1,headroom
5,4,name
1,1,hook
1,1,perspect
8,6,hmaster
1,1,refresh
3,2,token
3,2,mode
22,14,timeout
2,2,debug
2,2,found
3,3,side
4,3,failov
1,1,outputstream
1,1,replac
8,7,continu
1,1,consum
9,6,meta
17,12,connect
24,19,happen
2,2,collector
14,10,event
1,1,waitonallregionstoclos
4,4,network
6,5,open
5,2,reboot
2,1,rpcclient
1,1,reader
2,1,print
1,1,page=com.atlassian.jira.plugin.system.issuetabpanel
2,1,xceiver
1,1,model
1,1,shut
7,4,migrat
117,84,hang
6,6,situat
1,1,yesterday
2,2,reason
2,2,base
2,2,put
3,3,byte
1,1,care
1,1,thrown
59,39,thread
1,1,launch
1,1,script
6,4,synchron
1,1,keep
18,9,recov
3,1,renew
2,1,indexcach
1,1,prefetch
1,1,regress
8,5,heartbeat
15,11,assign
14,12,oper
1,1,rang
2,2,notifi
7,5,number
1,1,sometim
1,1,acquisit
2,2,fetcher
5,4,submit
1,1,halfstorefileread
1,1,ring
10,9,miss
3,3,size
3,3,prioriti
1,1,stuck
4,3,branch-
5,3,system
3,2,messag
1,1,checkpoint
1,1,reseek
1,1,starv
42,26,master
1,1,tell
1,1,accept
1,1,dwell
1,1,underli
1,1,outag
2,2,schema
2,2,shell
3,2,consol
1,1,cope
1,1,copi
4,4,alloc
3,2,blacklist
2,1,hintscolumnfamili
2,2,dfsoutputstream
1,1,grace
1,1,serv
5,5,remov
1,1,tree
2,1,rate
1,1,structur
1,1,charact
3,3,stall
5,2,balanc
4,3,minut
1,1,follo
1,1,recheck
13,13,function
4,3,counter
5,3,gridmix
2,2,pass
2,1,argument
1,1,corrupt
1,1,progr
3,3,expir
1,1,increment
11,7,tabl
1,1,null
1,1,lie
1,1,lib
2,2,inform
1,1,click
3,3,note
7,6,indic
2,1,datacent
1,1,concern
2,2,noth
3,2,channel
1,1,simplifi
3,2,pipelin
1,1,distribut
1,1,trace
4,4,hdfs
7,4,object
1,1,reach
1,1,statu
1,1,discov
11,8,phase
1,1,completefil
1,1,segment
5,4,class
1,1,renam
2,2,quorum
1,1,safemodemonitor
9,8,request
1,1,pipe
5,4,snapshot
1,1,clean
1,1,readcallback
2,2,commitlog
1,1,review
1,1,fact
1,1,threadpoolexecutor
1,1,play
3,2,transferfsimag
3,3,show
2,2,concurr
2,2,corner
6,5,find
1,1,involv
7,4,access
4,1,firewal
2,2,locat
2,2,stackoverflowerror
5,5,cache
1,1,activ
4,4,forev
2,1,hector
2,2,busi
2,2,suppos
1,1,analyz
5,1,ldap
5,3,local
2,1,jobtrack
1,1,info
1,1,hit
1,1,express
1,1,watch
13,11,report
11,9,restart
2,2,endless
1,1,emb
1,1,intermitt
17,14,contain
4,3,respond
1,1,set
3,3,dump
6,6,startup
1,1,memstor
7,7,result
2,2,respons
37,27,fail
21,17,close
1,1,hbase
4,4,subject
6,6,infinit
1,1,get_range_slic
21,20,detect
1,1,databas
9,7,someth
2,1,nosuchmethoderror
23,17,state
1,1,hregionserv
7,7,progress
2,1,syncer
1,1,cycl
10,8,job
1,1,succeed
1,1,key
1,1,distinguish
1,1,roller
2,2,improve
1,1,startcontain
3,2,admin
32,18,region
1,1,ramp
1,1,inconsist
5,2,monitor
1,1,braf
1,1,logic
2,1,coprocessor
1,1,evict
2,1,comment
1,1,point
4,4,schedul
9,9,trunk
2,2,period
1,1,distributedlogreplay
1,1,fashion
17,12,shutdown
3,2,cancel
2,1,dfsinputstream
2,2,trust
3,3,assum
1,1,duplic
1,1,coupl
3,3,mark
1,1,compon
1,1,trigger
1,1,thrift
2,1,hftp
1,1,followup
1,1,system.log
3,2,imag
5,3,shuffl
1,1,worker
2,1,defect
2,1,multithread
1,1,coordin
4,4,understand
1,1,child
6,3,catch
12,12,case
4,3,replic
29,20,exception
3,2,packag
1,1,launcher
3,2,servic
3,3,jstack
1,1,batch
1,1,outofmemori
2,2,calcul
1,1,jobloc
2,1,jobclient
15,14,error
2,2,observ
27,23,loop
2,1,testzookeep
3,2,memtabl
27,23,cluster
1,1,conf
2,1,calculatependingrang
7,5,return
3,3,attach
1,1,decor
9,4,mutat
5,5,perform
1,1,belong
6,4,hadoop
1,1,bucketwrit
1,1,instanc
9,7,split
1,1,rpc_timeout
7,7,complet
1,1,week
2,2,finish
1,1,driver
1,1,someon
6,5,user
3,3,implement
41,21,task
2,2,center
4,4,scenario
1,1,entri
2,2,contact
4,3,command
5,3,filesystem
2,1,everyth
3,3,load
2,1,protocol
2,2,paus
3,3,execut
1,1,rest
12,10,kill
15,11,regionserv
2,1,localcontaineralloc
3,2,day
4,4,add
1,1,codec
2,2,board
1,1,input
1,1,save
4,4,applic
2,2,insert
12,10,read
1,1,arriv
1,1,writabl
1,1,know
1,1,leveledcompactionstrategi
1,1,measur
2,2,fail_container_cleanup
1,1,elaps
25,20,server
2,1,cqlsh
2,2,collect
1,1,stagger
1,1,singl
6,5,hung
4,4,output
1,1,page
2,2,tombston
2,2,miniclust
2,1,retransmit
1,1,interv
1,1,begin
9,6,flush
1,1,scrub
1,1,librari
4,3,assertionerror
3,2,freez
1,1,slice
8,7,lead
2,1,leak
4,4,avoid
1,1,roundrobinschedul
2,2,leas
4,2,tracker
13,10,exit
2,1,settl
18,12,condit
1,1,combinefilerecordread
1,1,reproduc
1,1,leader
5,2,machin
2,2,host
4,1,peer
7,6,throw
1,1,stage
5,2,session
5,4,socket
1,1,courtesi
3,2,commun
9,6,manag
2,1,neighbor
6,4,commit
1,1,backup
1,1,nullpointerexception
62,31,block
22,12,repair
1,1,encount
1,1,splitlogmanag
2,2,merg
1,1,specul
2,1,preemption
2,2,transfer
2,2,support
1,1,long
14,8,custom
1,1,storageproxi
1,1,keyspac
2,1,shufflehandl
2,2,includ
1,1,analysi
2,2,form
1,1,eventhandl
1,1,satur
1,1,translat
1,1,heap
1,1,bug
3,3,count
2,2,cleanup
1,1,consist
3,3,default
1,1,troubl
1,1,cl.one
5,4,record
2,2,postopendeploytask
2,1,replay
3,3,limit
12,11,problem
56,43,deadlock
3,3,expect
1,1,followerhandl
2,2,featur
2,1,scanner
12,11,creat
1,1,replica
5,4,exist
10,9,file
6,6,check
2,2,incorrect
2,1,boot
3,3,detail
1,1,field
2,1,valid
1,1,lookup
22,20,test
1,1,thousand
102,61,node
1,1,testiofenc
2,2,repeat
1,1,intend
2,2,sequenc
17,11,stay
2,2,leaserenew
1,1,properl
1,1,and/or
18,12,reduc
5,4,directori
1,1,fsimag
1,1,responseprocessor
2,2,descript
3,3,ignor
32,28,time
2,1,decommiss
1,1,degrad
