TF,DF,Word
1,1,maptask
8,7,code
1,1,hashmap
1,1,chain
8,5,queri
1,1,lack
4,2,sleep
1,1,abil
3,3,follow
11,8,disk
1,1,forget
7,2,compact
1,1,depend
4,2,leas
1,1,chown
6,6,send
1,1,tail
2,1,completebulkload
4,3,stable
1,1,sens
1,1,introduc
17,11,sourc
1,1,rollback
1,1,string
1,1,downstream
3,2,replic
2,1,end
3,3,offlin
1,1,util
1,1,bpofferservic
6,5,failur
1,1,affect
2,2,bottleneck
1,1,re-elect
1,1,level
4,3,hbck
2,2,restor
19,11,list
3,2,upload
1,1,findmaxtransact
3,1,emul
9,8,race
1,1,jobconf
1,1,rack
1,1,raci
2,2,prevent
1,1,terasort
1,1,leasemanag
2,2,permiss
6,5,sync
3,3,rate
4,4,pressur
1,1,design
1,1,gossip
7,4,port
1,1,compat
1,1,index
1,1,hregionthriftserv
2,2,appear
4,3,compar
1,1,repro
9,4,section
1,1,learner
1,1,replicationmonitor
3,3,overload
8,8,current
20,9,delet
3,2,version
2,1,integrationtestbiglinkedlist
10,7,method
1,1,involv
7,6,gener
1,1,job.jar
1,1,bodi
6,4,sink
1,1,debugg
3,2,trunk
3,2,bulkload
5,5,path
1,1,respect
1,1,valv
5,5,valu
3,2,thrift
1,1,box
3,3,search
3,2,daughter
1,1,convers
5,2,tasktrack
18,10,queue
5,5,amount
7,6,throughput
1,1,action
10,8,chang
1,1,hsha
2,1,writer
6,3,elect
1,1,activ
2,2,put
1,1,famili
2,1,instal
1,1,total
3,3,select
1,1,bookkeep
2,1,nullpointerexception
2,2,perf
2,1,crar
27,19,memori
7,5,scan
2,1,visit
1,1,testdelayedrpc
9,6,handler
1,1,overhead
3,2,spike
2,1,type
4,3,sort
1,1,hundr
2,1,claus
1,1,mismatch
2,1,notic
1,1,enhanc
2,2,flag
4,4,indic
1,1,examin
1,1,hole
1,1,hold
2,1,quorumcnxmanag
1,1,shoot
1,1,none
1,1,retriev
3,2,scalabl
6,6,work
8,4,histori
1,1,descriptor
3,3,remain
1,1,executor
1,1,abandon
1,1,meet
1,1,fetch
4,4,control
1,1,eventqueu
1,1,malform
8,3,stream
4,4,give
29,18,process
30,16,lock
4,3,share
2,2,accept
2,2,abort
1,1,serial
1,1,occur
2,1,filter
2,2,cours
1,1,multipl
1,1,congest
1,1,secur
6,1,ping
2,2,delay
1,1,purg
2,2,fsdataset
7,7,config
8,8,updat
4,1,taskattemptcontext
3,3,product
13,10,watch
2,2,regress
2,1,checkleas
5,4,retain
1,1,develop
32,25,data
8,6,grow
1,1,averag
4,2,dfsclient
4,3,alloc
7,6,attempt
1,1,hadoop-
2,2,disabl
21,19,issu
2,2,receiv
3,2,switch
2,2,maintain
2,2,environ
7,7,allow
7,5,ensembl
1,1,fallback
1,1,order
3,3,talk
1,1,jira
2,2,help
1,1,enter
3,3,move
2,2,major
1,1,fsdirectori
4,4,increas
5,3,reconnect
2,2,hbase
1,1,pointer
1,1,bunch
25,20,write
3,3,disconnect
3,3,monitor
5,3,polici
8,4,fsnamesystem
1,1,window
1,1,pend
10,9,restart
3,3,persist
1,1,mail
1,1,alter
10,6,crash
1,1,fragment
5,4,initi
1,1,wast
1,1,break
1,1,framework
3,2,restrict
6,6,workload
3,3,name
1,1,anyth
14,7,edit
5,5,drop
1,1,revert
2,2,achiev
2,2,mode
26,14,timeout
2,2,debug
3,2,side
2,2,hfile
1,1,taskheartbeathandl
1,1,week
3,3,map
1,1,replac
2,2,chunk
1,1,getlist
2,2,idea
3,2,procedur
5,5,consum
2,2,meta
1,1,itsel
3,3,expect
13,10,happen
2,2,collector
15,8,event
1,1,contend
7,6,network
7,6,space
4,4,miss
1,1,multipleoutput
2,1,rewrit
1,1,checkdiskerror
2,2,translat
1,1,reader
1,1,print
1,1,model
2,2,qualifi
4,1,filestatu
1,1,driver
4,4,situat
2,2,free
4,4,base
4,4,ask
2,1,byte
1,1,afterward
2,2,care
2,1,sigkil
22,15,thread
4,4,launch
1,1,synchron
1,1,refus
9,8,keep
13,7,recov
6,4,thing
3,3,length
1,1,enforc
1,1,place
1,1,prefetch
1,1,circuit
4,2,standbi
2,2,heartbeat
1,1,lifetim
3,3,assign
2,1,timeoutmonitor
7,7,oper
3,2,rang
1,1,render
1,1,degrad
33,26,number
2,2,one
2,1,commitjob
2,1,hook
9,7,messag
3,3,array
2,2,open
2,1,payload
17,12,size
2,1,prioriti
1,1,invalid
3,2,mkdir
10,6,system
1,1,construct
3,3,parallel
7,5,checkpoint
2,2,attach
1,1,totalorderpartition
3,2,master
1,1,lar
1,1,storm
2,2,branch-
3,1,final
3,3,store
2,2,listen
4,3,option
2,2,namespac
3,3,copi
2,2,stress
4,3,packet
2,1,target
4,3,provid
15,8,remov
9,9,second
2,1,structur
1,1,charact
2,2,reus
1,1,balanc
8,6,minut
6,1,schema
1,1,follo
1,1,counter
1,1,gridmix
1,1,argument
43,34,fail
5,5,expir
9,5,tabl
1,1,mr-jobhistory-daemon.sh
1,1,min
3,2,storescann
1,1,checkmod
1,1,note
2,2,.
1,1,combin
11,6,channel
1,1,pipelin
167,81,node
1,1,distribut
7,7,trace
4,3,hdfs
3,2,track
8,3,object
2,2,reach
4,1,quota
1,1,wire
1,1,plan
3,3,phase
2,2,class
2,1,hregion
1,1,placement
5,4,quorum
2,2,clear
1,1,gather
24,19,request
1,1,spill
2,2,deni
8,4,snapshot
1,1,determin
1,1,datat
1,1,fact
1,1,threadpoolexecutor
3,3,show
1,1,text
1,1,random
2,2,concurr
2,2,read/writ
3,3,threshold
2,1,identifi
3,3,find
2,1,rotat
2,2,impact
8,7,access
4,4,slow
2,2,locat
2,1,hfileoutputformat
9,6,transact
14,9,cache
3,3,solut
1,1,figur
3,3,latenc
2,2,factor
3,1,local
2,2,jobtrack
3,2,info
1,1,hit
2,2,stop
1,1,repl
1,1,safe-mod
23,14,report
2,1,deploy
4,4,requir
1,1,endless
3,2,internalreleaseleas
4,4,patch
1,1,partit
10,8,contain
1,1,view
3,3,respond
3,3,set
3,3,dump
4,4,startup
2,2,memstor
7,6,result
3,3,respons
2,2,corrupt
6,4,close
2,1,tthreadedselectorserv
2,1,subject
1,1,statu
14,13,detect
3,3,someth
1,1,namesystem
2,1,jvmmanag
8,6,state
6,5,progress
2,2,experi
1,1,attribut
1,1,accord
5,3,parent
4,2,zxid
2,2,induc
1,1,popul
2,1,cycl
9,7,job
1,1,succeed
2,1,key
2,2,solv
4,3,group
1,1,decreas
15,13,improve
1,1,closur
2,2,protect
22,13,region
1,1,dataxceiv
2,1,instanc
2,1,alot
4,1,coprocessor
33,24,load
2,2,point
3,2,schedul
3,2,commitprocessor
1,1,excess
1,1,arriv
1,1,heirarchi
1,1,rpc
1,1,shutdown
1,1,diff
7,7,assum
3,2,sidelin
1,1,runaway
2,2,duplic
1,1,coupl
1,1,devic
3,3,mark
1,1,accumul
1,1,json
7,5,trigger
1,1,treat
1,1,interest
6,5,wait
2,1,hftp
2,2,field
2,2,multi-thread
3,2,handoff
8,7,thousand
1,1,shuffl
4,2,coordin
3,3,understand
1,1,child
3,3,catch
24,14,case
3,3,outofmemory
18,14,exception
1,1,packag
10,9,servic
1,1,properti
1,1,jstack
11,9,batch
2,2,durat
1,1,cursor
4,4,outofmemori
2,2,invok
5,4,deem
1,1,preprequestprocessor
1,1,bin/mapr
13,10,error
6,5,exist
3,3,observ
3,3,loop
1,1,memtabl
1,1,importtsv
1,1,metric
33,25,cluster
1,1,inform
4,4,motiv
1,1,conf
2,1,calculatependingrang
13,10,return
5,1,historyserv
5,4,mutat
21,17,perform
1,1,suggest
3,2,format
1,1,classpath
3,1,hadoop
1,1,wherein
8,8,handl
6,4,split
1,1,distcp
14,7,complet
2,1,indexsummari
1,1,finish
2,2,context
1,1,optim
8,6,hang
2,2,rais
15,11,user
3,1,skip
1,1,robust
3,3,stack
2,2,audit
3,3,travers
26,12,task
2,1,center
2,2,scenario
2,2,exampl
7,6,command
1,1,reclaim
2,1,catalogjanitor
1,1,filesystem
2,1,everyth
3,3,spend
1,1,reserv
3,2,protocol
2,1,paus
2,2,execut
3,2,rest
1,1,bandwidth
6,4,kill
2,1,webui
1,1,touch
1,1,keycach
2,2,speed
1,1,thriftserv
5,4,hint
2,1,preput
4,3,regionserv
8,8,add
1,1,match
6,4,applic
2,2,loss
30,23,read
1,1,rejoin
1,1,period
1,1,clientscann
3,3,know
1,1,background
1,1,world
4,4,insert
4,4,like
1,1,resolv
37,29,server
5,4,collect
1,1,benefit
1,1,cascad
7,3,output
3,2,page
2,2,encount
5,5,exceed
1,1,interv
1,1,begin
1,1,percentag
1,1,slice
2,2,flush
1,1,star
1,1,transport
2,1,transmiss
1,1,freez
2,2,and/or
3,2,jute.maxbuff
26,19,lead
2,2,leak
7,5,avoid
1,1,normal
4,2,overlap
8,5,buffer
1,1,tracker
4,4,exit
2,1,unit
3,2,condit
4,3,reproduc
11,5,leader
1,1,refer
3,3,machin
1,1,core
2,2,investig
4,3,throttl
1,1,compress
1,1,garbag
1,1,inspect
3,2,host
1,1,leadership
1,1,promot
4,1,peer
1,1,post
2,1,fsck
6,5,throw
15,7,session
2,2,socket
3,3,commun
3,3,manag
1,1,degre
1,1,constructor
8,3,commit
7,7,mean
1,1,produc
82,35,block
5,2,repair
2,2,htabl
2,1,failov
1,1,dataset
1,1,ensur
1,1,announc
5,3,merg
1,1,processor
2,2,logsync
3,3,transfer
11,9,support
1,1,question
14,7,custom
1,1,avail
14,14,start
1,1,includ
3,3,lot
1,1,booki
15,12,function
2,2,scale
1,1,form
3,3,continu
1,1,type-convert
2,1,satur
3,3,measur
4,3,count
2,2,pull
1,1,num-map
1,1,possibl
16,13,default
2,2,caller
1,1,troubl
1,1,non-determin
8,3,replay
16,14,limit
15,15,problem
2,2,deadlock
24,18,connect
4,4,featur
4,4,scanner
25,15,creat
2,1,hardcod
1,1,dfsadmin
9,4,replica
11,8,implement
46,28,file
9,7,check
4,3,fill
1,1,impos
2,2,stress.java
3,3,detail
1,1,refactor
1,1,flood
3,2,valid
1,1,lookup
1,1,branch
19,15,test
3,2,imag
2,1,deseri
1,1,relat
1,1,intend
2,2,stay
1,1,releas
1,1,networktopolog
3,2,pool
18,10,reduc
2,2,savenamespac
17,10,directori
3,2,fsimag
1,1,supercolumn
1,1,portion
50,36,time
2,2,push
3,1,decommiss
1,1,backward
