TF,DF,Word
1,1,prefix
1,1,sleep
1,1,accret
2,2,gossipinfo
4,4,spec
3,1,leaserenew
2,2,risk
1,1,downstream
1,1,void
5,5,affect
1,1,servlet
1,1,sequenceid
2,2,compactionstat
4,4,upload
3,2,enabletablehandl
4,4,page=com.atlassian.jira.plugin.system.issuetabpanel
8,4,verif
2,1,leasemanag
5,2,combinefileinputformat
5,3,direct
3,2,get_paged_slic
46,38,consequ
15,14,second
2,1,aggreg
1,1,widerow
7,6,topolog
9,6,metadata
2,1,elimin
2,2,subtre
38,27,path
10,6,daughter
1,1,bytebufferutil
1,1,org.apache.hadoop..regionserver.hregionserv
1,1,get_indexed_slic
6,2,txn
2,1,atmostonc
3,2,bulkoutputformat
5,5,unit
1,1,bookkeep
2,1,directdriv
1,1,init
2,1,rs_zk_region_open
3,2,overhead
1,1,spike
19,15,type
5,2,cl.one
1,1,completebulkload
3,3,relat
20,20,notic
1,1,hurt
2,2,warn
2,2,warm
2,2,hole
4,3,hold
1,1,overrun
1,1,shoot
13,8,join
3,3,restor
12,11,setup
80,64,work
14,12,root
3,3,overrid
1,1,taskattemptimpl
44,36,give
20,16,indic
4,2,unassign
2,1,hregionpartition
1,1,countercolumn
1,1,editlogtail
16,15,end
3,3,quot
2,2,disappear
1,1,answer
5,4,verifi
1,1,negoti
1,1,ancestor
39,28,config
62,44,updat
1,1,rebas
4,4,mess
1,1,superus
1,1,wrong
1,1,mbean
2,2,parallel
2,2,lar
50,36,attempt
6,6,hadoop-
3,2,credenti
2,2,exclud
23,20,perform
1,1,maintain
9,8,environ
3,3,enter
5,3,perrowsecondaryindex
33,24,order
1,1,origin
2,2,feedback
2,1,fall
1,1,columnfamilystor
2,2,privileg
8,7,digest
5,2,uuid
4,3,fix
6,5,fsnamesystem
2,2,better
10,7,persist
2,1,fragment
48,42,break
10,9,interrupt
2,1,testreplication.queuefailov
9,7,hmaster
11,7,hbck
30,22,timeout
3,3,debug
8,7,side
35,31,mean
5,4,vote
7,4,collector
7,5,array
10,9,network
5,5,content
1,1,rewrit
5,4,reader
3,2,bytestyp
15,12,hang
11,11,situat
1,1,bkjm
1,1,ineffici
2,2,utftyp
24,17,filter
4,3,jobclient
9,6,renew
1,1,system.nanotim
15,13,regress
3,3,confus
2,2,timeoutmonitor
3,3,prefix_tre
44,30,rang
3,2,render
4,4,capac
2,2,restrict
6,3,hook
1,1,halfstorefileread
3,2,agre
2,2,primari
2,2,collationcontrol
1,1,sometim
3,3,stack
58,34,master
2,2,outag
5,4,listen
2,2,boostrap
6,6,namespac
4,4,tool
1,1,compressor
1,1,symptom
2,1,genstamp
17,12,target
2,1,deletesnapshot
12,10,provid
13,7,tree
4,4,zero
2,2,project
2,1,minut
2,1,recheck
1,1,testheaps
1,1,mind
1,1,mine
2,2,seed
2,2,manner
11,10,increment
13,9,seek
3,2,distributedfilesystem
2,2,brandon
2,2,noformat
2,2,simplifi
1,1,plenti
18,14,object
3,3,removetoken
1,1,dfs.name.dir
10,9,phase
5,5,partition
1,1,flow
1,1,declar
2,2,notion
2,2,random
2,2,syntax
1,1,column_metadata
11,10,involv
3,3,layout
3,3,explain
1,1,apach
11,8,latenc
3,2,folder
12,8,stop
53,46,report
2,2,reconstruct
2,2,emb
26,24,patch
3,2,reload
3,2,testfileappend
2,2,respond
9,6,memstor
1,1,datatyp
41,37,result
6,5,respons
192,154,fail
28,25,subject
1,1,awar
4,2,databas
4,4,figur
15,5,mvcc
2,2,loadbalanc
1,1,attribut
1,1,inabl
4,4,accord
3,2,clientcnxn
1,1,dynamicsnitch
3,3,toler
1,1,advertis
1,1,roller
33,31,improve
6,6,protect
1,1,fault
2,2,queryfilter.isrelev
1,1,cod
4,2,tableinputformat
1,1,login
2,2,loader
1,1,happenin
32,30,assum
18,13,duplic
1,1,recur
1,1,readpoint
2,2,.
9,5,specul
2,2,accumul
18,14,keyspac
1,1,trunc
1,1,serializingcach
3,3,system.log
1,1,multithread
4,3,child
5,4,catch
1,1,spin
127,98,exception
1,1,ident
25,14,servic
13,9,properti
25,22,calcul
1,1,thrash
1,1,checkandmut
1,1,spawn
2,2,amoun
1,1,importtsv
9,7,fill
2,1,leveledmanifest
6,5,conf
2,1,sever
26,21,receiv
1,1,suggest
1,1,complex
68,38,split
2,2,networktopologystrategi
27,24,complet
1,1,dynamicendpointsnitch
3,2,hand
7,7,rais
1,1,scale
3,3,ownership
3,3,ismarkedfordelet
1,1,tune
15,15,scenario
1,1,thu
1,1,inherit
1,1,wherebi
5,4,everyth
19,12,protocol
2,2,laptop
1,1,bandwidth
1,1,keycach
4,4,expos
1,1,short-circuit
15,13,board
9,9,save
5,4,applic
1,1,assig
5,4,preserv
7,6,background
1,1,detector
8,5,measur
5,3,daemon
3,3,specif
1,1,hung
33,19,tombston
1,1,right
1,1,interv
1,1,percentag
3,2,intern
1,1,subclass
13,11,track
3,2,tracker
2,2,convict
1,1,commitlogseg
2,1,localhost
3,3,core
5,3,insecur
3,3,promot
14,10,peer
3,2,post
1,1,grid
1,1,yarn-site.xml
1,1,scenari
2,1,choke
2,2,comment-
1,1,algo
42,28,commit
6,6,produc
5,5,encount
14,12,encod
1,1,down
5,4,wrap
4,3,jdbc
27,26,support
2,2,avail
1,1,stuck
5,5,reli
1,1,analysi
1,1,form
3,3,forc
9,8,reset
3,2,maximum
1,1,tell
6,5,bytebuff
9,9,featur
2,2,abstract
1,1,leveledcompact
33,27,exist
1,1,trip
1,1,encrypt
2,1,dynamiccompositetyp
2,2,refactor
107,94,test
3,3,hundr
1,1,realiti
545,278,node
4,4,notif
8,7,intend
2,2,flusher
3,3,and/or
1,1,intent
3,2,requestspersecond
2,1,outdat
1,1,logstream
7,6,flag
1,1,filestatu
17,16,ignor
111,89,time
2,2,push
28,16,decommiss
2,1,chain
24,18,skip
6,6,consum
2,1,root/meta
1,1,stumbl
4,4,zookeep
3,2,middl
5,3,depend
3,3,java.lang.assertionerror
1,1,decis
47,32,sourc
10,9,string
23,21,condit
3,2,brows
3,2,randompartition
2,1,administr
2,2,level
1,1,leftov
14,11,iter
4,3,dir
21,18,prevent
1,1,regionst
22,12,port
32,20,hdfs
23,21,appear
1,1,bufcurr
28,28,current
1,1,suspect
2,1,integrationtestbiglinkedlist
1,1,deriv
1,1,getlock
38,27,gener
3,3,satisfi
22,17,address
20,18,wait
2,2,box
14,6,checksum
2,2,treemap
34,19,queue
6,6,throughput
2,2,behav
1,1,reclaim
3,3,semant
20,10,elect
2,2,slicerang
1,1,prefer
2,1,leasecheck
1,1,fake
1,1,marker
6,6,instal
2,1,appmast
3,2,httpf
45,34,memori
1,1,pre-alloc
3,2,handler
3,3,scope
1,1,openregion
4,4,peopl
4,3,claus
2,2,enhanc
1,1,visual
4,3,rmcontaineralloc
2,2,examin
4,4,prepar
2,2,uniqu
2,2,repro
1,1,electingfollow
2,2,varint
1,1,eventqueu
59,35,stream
9,6,agent
4,4,abort
4,3,occur
1,1,hfilev
1,1,differenti
3,2,chroot
5,5,multipl
7,5,paxo
103,77,write
1,1,till
4,4,purg
3,2,streamoutsess
12,7,map
3,3,product
4,3,clone
2,2,spot
3,3,shuffl
2,2,suck
160,122,data
7,6,grow
