TF,DF,Word
8,5,maptask
46,43,code
1,1,hashmap
8,6,columnfamili
15,10,skip
1,1,rackresolv
14,12,consum
1,1,salesforc
1,1,month
1,1,root/meta
4,3,prefix
3,2,sleep
1,1,post-compact
9,7,abil
8,5,gossip
4,3,readahead
39,29,disk
113,64,compact
12,12,profil
2,2,depend
3,3,secur
11,5,leas
1,1,taskattemptimpl
2,2,interact
1,1,accret
1,1,click
3,2,program
55,37,stable
8,8,sens
1,1,gossipstag
10,10,introduc
1,1,everyth
1,1,regionscann
39,29,sourc
12,10,string
1,1,congest
6,6,outofmemory
1,1,fals
1,1,void
3,3,multi
2,2,offlin
2,2,util
2,2,candid
4,2,volum
1,1,bpofferservic
20,13,failur
1,1,affect
4,4,ticket
8,8,bottleneck
1,1,reopen
1,1,relev
1,1,common
3,2,percentag
2,2,splitter
2,2,misplac
5,5,level
6,4,hbck
2,2,htablepool
1,1,leftov
1,1,criterion
39,32,list
1,1,upload
7,7,iter
1,1,kannan
1,1,findmaxtransact
1,1,launcher
1,1,adjust
2,2,qualifi
2,2,page=com.atlassian.jira.plugin.system.issuetabpanel
4,4,verif
2,2,keyvalueheap
1,1,localhost
14,13,prevent
1,1,terasort
1,1,reducetask
1,1,tablenam
4,3,permiss
1,1,ten
1,1,combinefileinputformat
3,2,hfileoutputformat
5,4,inconsist
2,2,direct
3,3,maintain
4,3,jump
8,7,consequ
6,5,rate
2,2,leakag
3,2,design
15,8,aggreg
10,10,follow
2,2,reentrantreadwritelock
1,1,acid
7,6,port
7,5,append
10,9,hadoop-
1,1,compat
46,22,index
1,1,recur
9,9,appear
7,6,compar
2,1,clock
7,6,hconnectionmanag
11,6,section
6,4,fadvis
1,1,learner
2,1,invok
4,4,overload
46,46,current
44,21,delet
9,7,version
1,1,suspect
2,1,get_count
46,38,method
3,3,metadata
4,2,stochasticloadbalanc
7,7,impact
6,6,elimin
2,2,full
12,7,hash
3,2,memstoret
1,1,restar
15,10,gener
1,1,job.jar
3,3,satisfi
4,3,fsdir
12,5,sink
15,14,trunk
2,2,bulkload
34,25,path
2,2,modifi
23,19,valu
12,12,wait
6,4,convert
3,3,produc
1,1,deterior
1,1,sender
1,1,bytebufferutil
20,11,checksum
2,1,zkpython
9,7,host
6,4,diff
3,3,observ
34,17,queue
15,14,amount
15,14,throughput
3,3,synchronis
3,3,pick
1,1,action
53,41,chang
1,1,ratio
2,2,chanc
1,1,believ
7,6,control
1,1,semant
18,14,writer
1,1,regardless
7,7,solut
3,3,transit
1,1,prefer
1,1,hfilesystem
1,1,getcachedloc
8,8,expect
2,2,releas
2,2,intent
20,17,send
4,4,famili
1,1,fake
1,1,marker
2,2,instal
1,1,stand
1,1,total
2,1,gateway
8,6,select
1,1,asyncprocess
3,2,bookkeep
3,1,httpf
5,5,perf
1,1,crar
77,58,memori
52,33,scan
2,1,checkleas
7,6,upgrad
2,1,coverag
2,2,impos
2,2,piggyback
4,2,pre-alloc
12,11,handler
12,11,overhead
2,2,spike
3,2,paramet
5,5,scope
3,2,stage
2,2,type
2,2,cl.one
1,1,openregion
10,6,sort
2,2,desir
3,3,minim
4,3,peopl
5,5,hundr
4,1,notif
7,7,benchmark
6,6,notic
1,1,hurt
3,2,hive
5,4,flag
1,1,rmcontaineralloc
5,4,accept
1,1,examin
4,2,loss
6,6,hold
2,2,document
4,3,shoot
3,3,none
1,1,endpoint
2,2,room
2,2,restor
5,3,prepar
27,25,work
1,1,fast
12,6,histori
3,3,descriptor
3,3,remain
2,2,learn
4,3,renew
2,1,root
7,6,fetch
4,4,performanc
1,1,varint
1,1,complic
1,1,prompt
3,1,conf
39,23,stream
29,27,give
86,55,process
95,52,lock
1,1,short-circuit
22,19,share
1,1,shard
17,15,indic
1,1,tag
2,1,yarn
3,2,fsnamesystem.startfileintern
3,2,recycl
2,2,onlin
8,7,serial
1,1,poolmap
7,7,occur
2,2,countercolumn
1,1,ifileinputstream
39,25,recov
9,9,end
3,3,goal
2,2,divid
1,1,paxo
3,3,hconnect
2,1,reset
10,10,delay
1,1,till
2,2,hot
3,3,purg
2,1,bytebloomfilt
1,1,subdirectori
6,5,answer
3,3,verifi
5,4,fsdataset
3,1,ancestor
37,24,config
17,16,updat
2,1,map
3,3,product
1,1,recogn
1,1,rebas
1,1,mess
3,3,stop
1,1,clone
2,1,replicationmonitor
1,1,reflect
1,1,standbi
1,1,threadpoolserv
11,10,retain
1,1,tier
7,5,shuffl
7,6,associ
8,7,grow
1,1,averag
4,2,hregioninterfac
14,7,dfsclient
34,22,alloc
4,4,domin
2,2,practic
1,1,emit
4,2,bind
1,1,io.sort.factor
7,4,bootstrap
3,2,exclud
71,58,issu
106,79,perform
