TF,DF,Word
25,22,code
4,4,columnfamili
3,1,deletesnapshot
7,6,queri
2,2,storageservic
1,1,consum
1,1,failed_open
2,2,sleep
1,1,abil
27,25,follow
1,1,disk
56,27,compact
1,1,profil
4,3,secur
6,4,leas
8,6,send
1,1,testadmin
3,2,tail
3,2,completebulkload
13,10,stable
2,2,sens
1,1,fatal
7,7,introduc
2,2,inform
1,1,regionscann
35,22,sourc
3,3,end
5,3,multi
6,4,offlin
2,2,processfaileov
29,25,failur
1,1,ticket
1,1,servlet
1,1,runnabl
2,1,jobimpl
2,1,sequenceid
1,1,misplac
4,3,hbck
3,2,htablepool
1,1,array
1,1,scalabl
15,13,list
3,3,upload
5,5,iter
1,1,compactio
160,124,race
1,1,jobconf
2,2,raci
11,10,prevent
1,1,impli
1,1,reducetask
2,2,read/writ
10,8,sync
2,1,jump
4,4,consequ
8,6,second
1,1,pressur
1,1,design
1,1,aggreg
14,9,gossip
1,1,widerow
2,1,regionst
1,1,acid
2,2,port
6,4,append
2,2,hadoop-
19,7,index
3,1,deleg
2,2,hregionthriftserv
15,12,appear
1,1,clock
2,2,replicationmonitor
8,4,launch
12,11,access
47,30,delet
16,8,version
1,1,suspect
2,1,rs_zk_region_split
2,1,delegationtokenrenew
2,2,fall
21,15,method
1,1,metadata
3,3,zookeep
1,1,subtre
1,1,hash
1,1,terasort
6,5,gener
2,2,historyserv
1,1,hintedhandoff
1,1,satisfi
21,12,sink
1,1,debugg
5,4,address
1,1,bulkload
14,10,path
15,13,valu
17,15,wait
2,2,search
3,3,daughter
1,1,zkpython
1,1,host
2,1,diff
5,5,tasktrack
7,5,queue
1,1,credit
4,4,amount
1,1,clientcnxnsocketnio
1,1,electingfollow
1,1,pick
2,2,action
8,8,implement
1,1,explain
1,1,hsha
2,2,overrid
4,2,semant
14,9,writer
1,1,containermanag
1,1,solut
4,3,transit
2,1,leasecheck
7,7,put
13,11,startup
1,1,java.lang.assertionerror
1,1,famili
2,2,tthreadpoolserv
1,1,marker
2,1,gateway
5,4,unit
4,3,asyncprocess
1,1,linuxtaskcontrol
1,1,zip
10,9,memori
3,3,hudson
1,1,regist
2,2,upgrad
2,1,pre-alloc
14,11,handler
1,1,morn
2,2,rhel
1,1,jobcontrol
1,1,scope
2,2,type
2,2,tell
7,6,sort
1,1,cast
1,1,flap
1,1,hundr
3,3,claus
1,1,mismatch
3,3,notic
1,1,warn
7,5,flag
3,3,agent
2,2,hold
2,2,none
3,1,endpoint
6,4,restor
6,6,setup
23,18,work
1,1,leveledcompactiontask
1,1,jobid
2,1,descriptor
1,1,remain
14,11,abort
2,1,executor
1,1,minidfsclust
1,1,fulfil
6,4,root
2,2,fetch
1,1,complain
7,6,control
2,2,complic
22,14,stream
9,9,give
45,39,process
41,22,lock
3,3,registr
3,3,share
5,2,shard
5,4,indic
1,1,tag
3,2,containerlauncherimpl
1,1,unassign
1,1,incom
1,1,onlin
2,2,serial
1,1,poolmap
2,1,aggregationcli
1,1,countercolumn
37,22,recov
1,1,differenti
1,1,cours
3,2,multipl
2,1,newlin
1,1,freshli
1,1,quot
4,4,length
8,7,occur
45,28,write
4,4,pending_open
3,2,indexcach
1,1,fsdataset
19,10,config
13,12,updat
1,1,product
1,1,tablenam
8,4,watch
1,1,clone
2,1,kill_contain
1,1,standbi
1,1,catalog
1,1,hintedhandoffmanag
2,2,discard
1,1,develop
7,7,associ
6,5,parallel
1,1,system.exit
6,6,dfsclient
6,5,stress
26,18,attempt
2,1,hstore
9,5,bootstrap
1,1,element
49,43,issu
12,11,receiv
3,2,switch
1,1,maintain
5,4,environ
11,10,allow
4,4,enter
2,1,timeoutmonitor
12,11,order
1,1,talk
3,2,bpofferservic
7,7,jira
1,1,help
1,1,diagnos
10,8,move
3,3,rang
2,2,cross
33,25,report
1,1,preempt
1,1,reconnect
15,9,hlog
1,1,pointer
1,1,datastorag
3,2,digest
1,1,bunch
1,1,snippet
3,1,group
7,3,monitor
1,1,polici
4,4,fix
1,1,","
1,1,wipe
2,2,filechannel
1,1,segfault
8,5,window
4,4,pend
1,1,requir
1,1,persist
6,6,mail
2,2,might
2,2,alter
29,23,return
1,1,halt
20,17,handl
3,2,timestamp
2,2,safe
11,11,initi
5,5,break
17,11,interrupt
2,2,precommit
8,8,discuss
1,1,mrappmast
2,1,headroom
17,11,name
2,2,anyth
3,2,bucketwrit
3,2,drop
3,2,revert
9,5,hmaster
1,1,authent
12,7,token
4,4,mode
9,7,timeout
5,5,debug
1,1,found
2,2,am.joinclust
2,2,side
7,5,truncat
5,5,mean
1,1,compil
5,5,reset
1,1,outputstream
3,1,localjobrunn
2,1,replac
2,2,chunk
1,1,getlist
9,7,continu
2,2,updatelock
1,1,ifil
5,5,replay
1,1,backport
8,8,connect
5,1,file*
44,41,happen
8,5,collector
28,23,event
1,1,contend
2,2,safeti
4,3,network
2,2,space
23,22,miss
2,2,hive
1,1,multipleoutput
2,2,content
1,1,rewrit
1,1,testearlyleaderabandon
11,7,reader
2,2,print
2,2,correct
1,1,committ
1,1,shut
9,6,migrat
27,18,hang
1,1,htable.clos
1,1,manipul
4,4,situat
2,1,bkjm
1,1,someon
4,4,reason
5,5,base
2,2,believ
5,3,releas
4,4,byte
1,1,care
89,56,thread
1,1,e.g
1,1,script
16,13,synchron
1,1,refus
8,5,keep
2,2,filter
6,5,thing
1,1,hconnect
1,1,enforc
7,5,place
1,1,circuit
5,3,regress
3,2,heartbeat
1,1,encodin
1,1,confus
42,27,assign
2,2,first
26,22,oper
1,1,major
1,1,dont
2,1,tasklaunch
9,5,number
1,1,packet
1,1,sometim
1,1,restrict
2,1,hook
2,2,fetcher
1,1,htabl
3,2,ring
2,2,regionsintransit
18,12,open
1,1,primari
5,4,size
3,2,openedregionhandl
1,1,guess
2,2,hlogsplitt
2,1,reseek
2,2,bloom
