TF,DF,Word
4,4,code
6,4,queri
9,7,consum
1,1,overlap
3,2,gossip
33,23,disk
27,16,compact
1,1,profil
3,2,slot
6,4,send
1,1,tail
3,3,tracker
1,1,jvm
26,14,stable
1,1,sens
2,2,introduc
26,16,sourc
4,2,string
1,1,downstream
6,4,replic
1,1,offlin
1,1,spool
1,1,nettyservercnxn
4,1,volum
16,11,failur
1,1,affect
1,1,ticket
1,1,servlet
3,3,implement
2,1,administr
3,3,level
1,1,htablepool
12,10,list
1,1,upload
1,1,iter
3,1,emul
4,4,race
2,2,path
9,6,servic
2,2,dir
11,11,prevent
2,2,terasort
1,1,direct
3,2,consequ
2,2,rate
3,3,pressur
1,1,aggreg
3,3,follow
4,3,port
3,2,hadoop-
6,4,index
2,2,appear
13,11,outofmemori
1,1,hconnectionmanag
2,1,fadvis
1,1,overload
3,2,access
14,9,delet
2,2,version
5,5,method
1,1,impact
1,1,regionload
3,3,gener
1,1,hintedhandoff
1,1,closur
3,3,sink
5,4,trunk
1,1,ratio
1,1,modifi
3,2,valv
12,6,valu
2,2,thrift
2,2,search
1,1,sender
1,1,org.apache.hadoop..regionserver.hregionserv
5,2,checksum
1,1,zkpython
1,1,robin
17,11,queue
6,6,amount
1,1,behav
4,2,action
1,1,chang
2,1,reclaim
1,1,headroom
5,2,writer
1,1,solut
1,1,transit
1,1,hfilesystem
2,2,ask
6,4,tasktrack
1,1,marker
2,1,instal
1,1,total
1,1,gateway
3,3,select
2,2,inmemorymergedmapoutput
2,1,crar
102,62,memori
7,7,give
2,2,upgrad
1,1,implic
6,5,handler
2,1,overhead
1,1,spike
1,1,scope
1,1,care
1,1,type
3,3,tell
4,4,sort
1,1,flap
2,2,hundr
1,1,relat
1,1,mismatch
4,4,notic
1,1,enhanc
3,3,wait
2,2,flag
4,3,indic
1,1,examin
1,1,loss
2,2,columnfamilyoutputformat
2,2,hold
15,8,socket
1,1,shoot
2,1,endpoint
1,1,retriev
1,1,sometim
3,1,prepar
7,6,work
2,2,histori
1,1,descriptor
2,2,remain
1,1,job.jar
1,1,abandon
2,2,meet
1,1,fulfil
1,1,root
8,6,fetch
1,1,associ
1,1,control
1,1,eventqueu
12,8,stream
2,2,scan
18,12,process
