IDF,TF*IDF,DF,TF,Word
0.14285714285714285,0.8571428571428571,6.0,6.0,code
0.14285714285714285,1.1428571428571428,6.0,8.0,queri
0.3333333333333333,0.6666666666666666,2.0,2.0,consum
0.14285714285714285,0.8571428571428571,6.0,6.0,follow
0.25,1.25,3.0,5.0,disk
0.047619047619047616,1.7619047619047619,20.0,37.0,compact
0.16666666666666666,0.8333333333333333,5.0,5.0,send
0.16666666666666666,1.0,5.0,6.0,jvm
0.06666666666666667,1.3333333333333333,14.0,20.0,stable
0.125,0.875,7.0,7.0,introduc
0.3333333333333333,1.0,2.0,3.0,sourc
0.3333333333333333,0.6666666666666666,2.0,2.0,string
0.25,1.0,3.0,4.0,ticket
0.5,0.5,1.0,1.0,implement
0.5,0.5,1.0,1.0,misplac
0.25,1.0,3.0,4.0,level
0.14285714285714285,1.7142857142857142,6.0,12.0,list
0.3333333333333333,0.6666666666666666,2.0,2.0,iter
0.09090909090909091,1.0909090909090908,10.0,12.0,race
0.14285714285714285,0.8571428571428571,6.0,6.0,prevent
0.25,0.75,3.0,3.0,sync
0.1111111111111111,1.0,8.0,9.0,consequ
0.16666666666666666,0.8333333333333333,5.0,5.0,second
0.25,0.75,3.0,3.0,pressur
0.037037037037037035,1.6296296296296295,26.0,44.0,gossip
0.1,1.1,9.0,11.0,index
0.125,0.875,7.0,7.0,appear
0.25,1.75,3.0,7.0,compar
0.25,0.75,3.0,3.0,access
0.09090909090909091,1.0909090909090908,10.0,12.0,delet
0.125,1.375,7.0,11.0,version
0.14285714285714285,0.8571428571428571,6.0,6.0,method
0.14285714285714285,1.1428571428571428,6.0,8.0,metadata
0.3333333333333333,0.6666666666666666,2.0,2.0,hash
0.125,1.0,7.0,8.0,gener
0.1,1.5,9.0,15.0,address
0.14285714285714285,1.7142857142857142,6.0,12.0,valu
0.1111111111111111,1.222222222222222,8.0,11.0,thrift
0.14285714285714285,1.4285714285714284,6.0,10.0,queue
0.07142857142857142,1.1428571428571428,13.0,16.0,chang
0.5,0.5,1.0,1.0,writer
0.25,0.75,3.0,3.0,ask
0.2,0.8,4.0,4.0,instal
0.5,0.5,1.0,1.0,select
0.5,0.5,1.0,1.0,describ
0.058823529411764705,1.3529411764705883,16.0,23.0,memori
0.0625,1.25,15.0,20.0,upgrad
0.25,1.0,3.0,4.0,handler
0.1,1.0,9.0,10.0,call
0.2,1.0,4.0,5.0,type
0.3333333333333333,0.6666666666666666,2.0,2.0,peopl
0.3333333333333333,0.6666666666666666,2.0,2.0,notic
0.25,1.0,3.0,4.0,endpoint
0.1111111111111111,1.5555555555555554,8.0,14.0,join
0.5,0.5,1.0,1.0,setup
0.07142857142857142,1.2142857142857142,13.0,17.0,work
0.5,1.0,1.0,2.0,descriptor
0.2,0.8,4.0,4.0,executor
0.3333333333333333,1.0,2.0,3.0,def
0.3333333333333333,0.6666666666666666,2.0,2.0,control
0.06666666666666667,1.8666666666666667,14.0,28.0,stream
0.25,1.0,3.0,4.0,give
0.125,0.875,7.0,7.0,process
0.3333333333333333,1.3333333333333333,2.0,4.0,lock
0.25,0.75,3.0,3.0,share
0.3333333333333333,0.6666666666666666,2.0,2.0,accept
0.25,0.75,3.0,3.0,serial
0.14285714285714285,0.8571428571428571,6.0,6.0,occur
0.25,1.0,3.0,4.0,multipl
0.0625,1.125,15.0,18.0,write
0.25,1.0,3.0,4.0,simpl
0.1111111111111111,1.1111111111111112,8.0,10.0,updat
0.125,1.0,7.0,8.0,map
0.3333333333333333,0.6666666666666666,2.0,2.0,max
0.5,1.0,1.0,2.0,tier
0.125,0.875,7.0,7.0,end
0.05,1.2000000000000002,19.0,24.0,data
0.5,0.5,1.0,1.0,grow
0.25,2.5,3.0,10.0,alloc
0.1,1.0,9.0,10.0,attempt
0.25,1.5,3.0,6.0,counter
0.0625,1.125,15.0,18.0,issu
0.5,1.0,1.0,2.0,environ
0.2,0.8,4.0,4.0,allow
0.25,0.75,3.0,3.0,order
0.3333333333333333,0.6666666666666666,2.0,2.0,help
0.2,0.8,4.0,4.0,move
0.5,1.5,1.0,3.0,ttl
0.25,1.0,3.0,4.0,pointer
0.25,1.25,3.0,5.0,cli
0.14285714285714285,1.0,6.0,7.0,fix
0.25,1.25,3.0,5.0,window
0.2,1.0,4.0,5.0,pend
0.25,1.0,3.0,4.0,non
