IDF,TF*IDF,DF,TF,Word
0.25,1.25,3.0,5.0,load
0.5,0.5,1.0,1.0,code
0.5,1.0,1.0,2.0,entropi
0.5,0.5,1.0,1.0,execut
0.2,1.2000000000000002,4.0,6.0,queri
0.5,1.0,1.0,2.0,move
0.5,0.5,1.0,1.0,remov
0.5,0.5,1.0,1.0,tcp
0.5,0.5,1.0,1.0,session
0.5,1.5,1.0,3.0,integ
0.3333333333333333,0.6666666666666666,2.0,2.0,ttl
0.25,0.75,3.0,3.0,follow
0.3333333333333333,0.6666666666666666,2.0,2.0,digest
0.1111111111111111,1.8888888888888888,8.0,17.0,compact
0.5,0.5,1.0,1.0,note
0.5,1.0,1.0,2.0,cli
0.2,1.4000000000000001,4.0,7.0,hint
0.5,0.5,1.0,1.0,trigger
0.5,1.0,1.0,2.0,window
0.16666666666666666,1.8333333333333333,5.0,11.0,cache
0.3333333333333333,0.6666666666666666,2.0,2.0,day
0.25,0.75,3.0,3.0,add
0.5,0.5,1.0,1.0,latenc
0.3333333333333333,0.6666666666666666,2.0,2.0,board
0.25,1.0,3.0,4.0,stable
0.5,1.0,1.0,2.0,save
0.3333333333333333,1.0,2.0,3.0,local
0.5,1.0,1.0,2.0,round
0.3333333333333333,1.0,2.0,3.0,applic
0.5,0.5,1.0,1.0,non
0.2,0.8,4.0,4.0,return
0.14285714285714285,1.1428571428571428,6.0,8.0,read
0.5,1.0,1.0,2.0,auto
0.25,0.75,3.0,3.0,break
0.5,0.5,1.0,1.0,background
0.5,0.5,1.0,1.0,progress
0.16666666666666666,0.8333333333333333,5.0,5.0,report
0.25,0.75,3.0,3.0,associ
0.3333333333333333,0.6666666666666666,2.0,2.0,discuss
0.25,0.75,3.0,3.0,restart
0.3333333333333333,1.3333333333333333,2.0,4.0,counter
0.5,0.5,1.0,1.0,insert
0.3333333333333333,0.6666666666666666,2.0,2.0,info
0.5,0.5,1.0,1.0,enabl
0.3333333333333333,0.6666666666666666,2.0,2.0,misplac
0.3333333333333333,1.0,2.0,3.0,drop
0.25,1.0,3.0,4.0,list
0.5,0.5,1.0,1.0,elaps
0.3333333333333333,0.6666666666666666,2.0,2.0,patch
0.5,1.0,1.0,2.0,cqlsh
0.5,0.5,1.0,1.0,collect
0.3333333333333333,1.0,2.0,3.0,token
0.1,1.1,9.0,11.0,race
0.5,0.5,1.0,1.0,contain
0.5,0.5,1.0,1.0,manag
0.3333333333333333,0.6666666666666666,2.0,2.0,mean
0.3333333333333333,1.6666666666666665,2.0,5.0,tombston
0.3333333333333333,1.0,2.0,3.0,prevent
0.14285714285714285,1.2857142857142856,6.0,9.0,set
0.5,1.0,1.0,2.0,replac
0.5,0.5,1.0,1.0,multipl
0.3333333333333333,1.0,2.0,3.0,sync
0.2,0.8,4.0,4.0,consequ
0.5,0.5,1.0,1.0,replay
0.5,0.5,1.0,1.0,expect
0.2,1.4000000000000001,4.0,7.0,flush
0.08333333333333333,1.0833333333333333,11.0,13.0,fail
0.3333333333333333,1.3333333333333333,2.0,4.0,server
0.5,0.5,1.0,1.0,servic
0.5,0.5,1.0,1.0,out
0.16666666666666666,1.6666666666666665,5.0,10.0,index
0.3333333333333333,1.0,2.0,3.0,detect
0.5,0.5,1.0,1.0,appear
0.5,1.0,1.0,2.0,lead
0.5,0.5,1.0,1.0,assum
0.5,0.5,1.0,1.0,someth
0.2,1.2000000000000002,4.0,6.0,delet
0.2,1.2000000000000002,4.0,6.0,state
0.3333333333333333,1.3333333333333333,2.0,4.0,version
0.5,0.5,1.0,1.0,reader
0.14285714285714285,1.1428571428571428,6.0,8.0,condit
0.3333333333333333,0.6666666666666666,2.0,2.0,reproduc
0.5,0.5,1.0,1.0,metadata
0.5,0.5,1.0,1.0,machin
0.3333333333333333,0.6666666666666666,2.0,2.0,involv
0.5,0.5,1.0,1.0,hash
0.5,1.0,1.0,2.0,proxi
0.5,1.5,1.0,3.0,migrat
0.5,0.5,1.0,1.0,hang
0.3333333333333333,1.0,2.0,3.0,gener
0.5,0.5,1.0,1.0,situat
0.5,0.5,1.0,1.0,base
0.5,0.5,1.0,1.0,key
0.5,0.5,1.0,1.0,trunk
0.25,0.75,3.0,3.0,post
0.3333333333333333,0.6666666666666666,2.0,2.0,throw
0.25,0.75,3.0,3.0,valu
0.5,0.5,1.0,1.0,wait
0.5,0.5,1.0,1.0,thread
0.5,1.0,1.0,2.0,cql
0.5,1.5,1.0,3.0,keep
0.5,0.5,1.0,1.0,recov
0.5,0.5,1.0,1.0,degre
