IDF,TF*IDF,DF,TF,Word
0.0625,1.0,15.0,16.0,code
0.3333333333333333,0.6666666666666666,2.0,2.0,entropi
0.058823529411764705,1.3529411764705883,16.0,23.0,queri
0.16666666666666666,1.1666666666666665,5.0,7.0,consum
0.0625,2.0625,15.0,33.0,gossip
0.047619047619047616,1.2857142857142856,20.0,27.0,disk
0.011111111111111112,1.9000000000000001,89.0,171.0,compact
0.043478260869565216,1.1739130434782608,22.0,27.0,send
0.14285714285714285,1.0,6.0,7.0,jvm
0.017543859649122806,1.4912280701754386,56.0,85.0,stable
0.14285714285714285,0.8571428571428571,6.0,6.0,sens
0.25,0.75,3.0,3.0,introduc
0.16666666666666666,0.8333333333333333,5.0,5.0,sourc
0.25,1.25,3.0,5.0,string
0.2,1.0,4.0,5.0,util
0.1,0.9,9.0,9.0,ticket
0.06666666666666667,1.0666666666666667,14.0,16.0,implement
0.3333333333333333,0.6666666666666666,2.0,2.0,misplac
0.14285714285714285,0.8571428571428571,6.0,6.0,level
0.07692307692307693,1.0,12.0,13.0,list
0.14285714285714285,1.1428571428571428,6.0,8.0,iter
0.25,1.0,3.0,4.0,race
0.2,0.8,4.0,4.0,round
0.1,0.9,9.0,9.0,prevent
0.2,0.8,4.0,4.0,sync
0.09090909090909091,1.0909090909090908,10.0,12.0,consequ
0.058823529411764705,1.1764705882352942,16.0,20.0,second
0.2,0.8,4.0,4.0,pressur
0.09090909090909091,0.9090909090909092,10.0,10.0,follow
0.02631578947368421,2.263157894736842,37.0,86.0,index
0.125,0.875,7.0,7.0,appear
0.125,1.375,7.0,11.0,compar
0.041666666666666664,0.9583333333333333,23.0,23.0,current
0.06666666666666667,1.6,14.0,24.0,delet
0.14285714285714285,1.2857142857142856,6.0,9.0,version
0.06666666666666667,1.0,14.0,15.0,method
0.125,0.875,7.0,7.0,metadata
0.16666666666666666,1.3333333333333333,5.0,8.0,hash
0.08333333333333333,1.1666666666666665,11.0,14.0,gener
0.14285714285714285,1.857142857142857,6.0,13.0,address
0.0625,1.25,15.0,20.0,valu
0.16666666666666666,1.0,5.0,6.0,wait
0.1111111111111111,1.4444444444444444,8.0,13.0,queue
0.05263157894736842,1.0,18.0,19.0,amount
0.08333333333333333,1.0833333333333333,11.0,13.0,throughput
0.03333333333333333,1.1666666666666667,29.0,35.0,chang
0.07142857142857142,1.7142857142857142,13.0,24.0,writer
