IDF,TF*IDF,DF,TF,Word
0.05,1.1500000000000001,19.0,23.0,code
0.125,1.125,7.0,9.0,entropi
0.02631578947368421,1.4210526315789473,37.0,54.0,queri
0.25,0.75,3.0,3.0,consum
0.05263157894736842,1.9473684210526314,18.0,37.0,gossip
0.125,1.25,7.0,10.0,disk
0.01694915254237288,1.6440677966101696,58.0,97.0,compact
0.1111111111111111,1.1111111111111112,8.0,10.0,send
0.3333333333333333,0.6666666666666666,2.0,2.0,jvm
0.1111111111111111,1.6666666666666665,8.0,15.0,skip
0.5,0.5,1.0,1.0,sens
0.1,0.9,9.0,9.0,introduc
0.25,0.75,3.0,3.0,sourc
0.16666666666666666,1.3333333333333333,5.0,8.0,string
0.2,1.0,4.0,5.0,util
0.2,0.8,4.0,4.0,ticket
0.3333333333333333,0.6666666666666666,2.0,2.0,implement
0.09090909090909091,1.0,10.0,11.0,misplac
0.25,0.75,3.0,3.0,level
0.07692307692307693,0.9230769230769231,12.0,12.0,list
0.08333333333333333,1.1666666666666665,11.0,14.0,iter
0.043478260869565216,1.0434782608695652,22.0,24.0,race
0.2,1.2000000000000002,4.0,6.0,prepar
0.1111111111111111,1.1111111111111112,8.0,10.0,prevent
0.3333333333333333,0.6666666666666666,2.0,2.0,sync
0.02127659574468085,1.2553191489361701,46.0,59.0,consequ
0.07692307692307693,1.2307692307692308,12.0,16.0,second
0.5,0.5,1.0,1.0,pressur
0.06666666666666667,1.0,14.0,15.0,follow
0.02040816326530612,1.9795918367346936,48.0,97.0,index
0.1111111111111111,0.8888888888888888,8.0,8.0,appear
0.1,1.7000000000000002,9.0,17.0,compar
0.2,1.0,4.0,5.0,access
0.027777777777777776,1.6388888888888888,35.0,59.0,delet
0.058823529411764705,1.1764705882352942,16.0,20.0,version
0.1,1.0,9.0,10.0,method
0.14285714285714285,0.8571428571428571,6.0,6.0,metadata
0.16666666666666666,1.0,5.0,6.0,hash
0.058823529411764705,1.2352941176470589,16.0,21.0,gener
0.09090909090909091,1.3636363636363638,10.0,15.0,address
0.03225806451612903,1.8387096774193548,30.0,57.0,valu
0.16666666666666666,0.8333333333333333,5.0,5.0,wait
0.25,0.75,3.0,3.0,round
0.16666666666666666,1.3333333333333333,5.0,8.0,queue
0.2,0.8,4.0,4.0,amount
0.5,1.5,1.0,3.0,throughput
0.034482758620689655,1.206896551724138,28.0,35.0,chang
0.045454545454545456,2.1363636363636362,21.0,47.0,cache
0.2,1.0,4.0,5.0,put
0.2,0.8,4.0,4.0,instal
0.08333333333333333,1.1666666666666665,11.0,14.0,select
0.125,1.0,7.0,8.0,describ
0.2,1.0,4.0,5.0,memori
0.058823529411764705,1.2941176470588236,16.0,22.0,give
0.047619047619047616,1.380952380952381,20.0,29.0,upgrad
0.3333333333333333,1.0,2.0,3.0,handler
0.045454545454545456,1.0909090909090908,21.0,24.0,call
0.05263157894736842,1.3684210526315788,18.0,26.0,type
0.08333333333333333,1.1666666666666665,11.0,14.0,sort
0.14285714285714285,1.4285714285714284,6.0,10.0,jmx
0.5,0.5,1.0,1.0,peopl
0.020833333333333332,1.625,47.0,78.0,stable
0.1111111111111111,0.8888888888888888,8.0,8.0,notic
0.1111111111111111,1.1111111111111112,8.0,10.0,loss
0.08333333333333333,1.1666666666666665,11.0,14.0,endpoint
0.25,1.5,3.0,6.0,join
0.14285714285714285,0.8571428571428571,6.0,6.0,setup
0.03125,1.1875,31.0,38.0,work
0.25,0.75,3.0,3.0,descriptor
0.14285714285714285,0.8571428571428571,6.0,6.0,executor
0.16666666666666666,1.0,5.0,6.0,def
0.2,1.0,4.0,5.0,control
0.03225806451612903,1.6451612903225805,30.0,51.0,stream
0.25,1.25,3.0,5.0,scan
0.06666666666666667,1.0,14.0,15.0,process
0.25,1.5,3.0,6.0,lock
0.14285714285714285,1.5714285714285714,6.0,11.0,accept
0.07692307692307693,1.3846153846153846,12.0,18.0,serial
0.1111111111111111,0.8888888888888888,8.0,8.0,occur
0.07142857142857142,1.2857142857142856,13.0,18.0,filter
0.043478260869565216,1.1739130434782608,22.0,27.0,end
0.02631578947368421,1.4473684210526314,37.0,55.0,write
0.25,0.75,3.0,3.0,purg
0.3333333333333333,0.6666666666666666,2.0,2.0,simpl
0.04,1.36,24.0,34.0,updat
0.1111111111111111,0.8888888888888888,8.0,8.0,map
0.125,1.375,7.0,11.0,max
0.3333333333333333,0.6666666666666666,2.0,2.0,tier
0.1111111111111111,1.0,8.0,9.0,multipl
0.14285714285714285,1.0,6.0,7.0,bloom
0.14285714285714285,0.8571428571428571,6.0,6.0,grow
0.25,1.0,3.0,4.0,stress
0.058823529411764705,0.9411764705882353,16.0,16.0,attempt
0.07142857142857142,1.857142857142857,13.0,26.0,bootstrap
0.0625,1.0625,15.0,17.0,issu
0.14285714285714285,1.0,6.0,7.0,switch
0.2,0.8,4.0,4.0,environ
