IDF,TF*IDF,DF,TF,Word
0.14285714285714285,0.8571428571428571,6.0,6.0,oper
0.5,0.5,1.0,1.0,code
0.3333333333333333,1.3333333333333333,2.0,4.0,protocol
0.5,0.5,1.0,1.0,execut
0.5,0.5,1.0,1.0,queri
0.5,0.5,1.0,1.0,move
0.3333333333333333,0.6666666666666666,2.0,2.0,remov
0.3333333333333333,1.3333333333333333,2.0,4.0,session
0.5,1.0,1.0,2.0,invalid
0.3333333333333333,1.0,2.0,3.0,ttl
0.25,1.0,3.0,4.0,gossip
0.16666666666666666,1.6666666666666665,5.0,10.0,compact
0.3333333333333333,0.6666666666666666,2.0,2.0,hint
0.5,0.5,1.0,1.0,fix
0.3333333333333333,1.0,2.0,3.0,cache
0.5,0.5,1.0,1.0,apach
0.2,0.8,4.0,4.0,add
0.3333333333333333,0.6666666666666666,2.0,2.0,pend
0.5,0.5,1.0,1.0,requir
0.2,1.8,4.0,9.0,stable
0.5,0.5,1.0,1.0,applic
0.5,1.0,1.0,2.0,consum
0.5,0.5,1.0,1.0,return
0.5,1.0,1.0,2.0,format
0.3333333333333333,0.6666666666666666,2.0,2.0,handl
0.3333333333333333,0.6666666666666666,2.0,2.0,auto
0.5,0.5,1.0,1.0,bound
0.25,1.0,3.0,4.0,break
0.5,0.5,1.0,1.0,report
0.5,1.0,1.0,2.0,ticket
0.5,0.5,1.0,1.0,restart
0.3333333333333333,0.6666666666666666,2.0,2.0,insert
0.5,0.5,1.0,1.0,enabl
0.3333333333333333,0.6666666666666666,2.0,2.0,level
0.3333333333333333,0.6666666666666666,2.0,2.0,drop
0.5,0.5,1.0,1.0,list
0.5,0.5,1.0,1.0,iter
0.25,0.75,3.0,3.0,server
0.5,0.5,1.0,1.0,collect
0.25,1.5,3.0,6.0,token
0.5,0.5,1.0,1.0,race
0.3333333333333333,0.6666666666666666,2.0,2.0,follow
0.5,1.0,1.0,2.0,output
0.5,0.5,1.0,1.0,refer
0.5,1.0,1.0,2.0,page
0.3333333333333333,1.3333333333333333,2.0,4.0,summari
0.5,0.5,1.0,1.0,tombston
0.5,0.5,1.0,1.0,kernel
0.5,0.5,1.0,1.0,set
0.5,0.5,1.0,1.0,sync
0.3333333333333333,1.0,2.0,3.0,consequ
0.5,0.5,1.0,1.0,second
0.5,0.5,1.0,1.0,expect
0.5,0.5,1.0,1.0,flush
0.3333333333333333,1.0,2.0,3.0,fail
0.5,1.0,1.0,2.0,patch
0.5,0.5,1.0,1.0,ring
0.2,0.8,4.0,4.0,subject
0.25,1.25,3.0,5.0,index
0.3333333333333333,1.0,2.0,3.0,slice
0.5,0.5,1.0,1.0,appear
0.3333333333333333,0.6666666666666666,2.0,2.0,space
0.5,0.5,1.0,1.0,leak
0.5,0.5,1.0,1.0,someth
0.5,0.5,1.0,1.0,access
0.5,0.5,1.0,1.0,state
0.5,0.5,1.0,1.0,period
0.5,1.0,1.0,2.0,experi
0.5,0.5,1.0,1.0,topolog
0.3333333333333333,0.6666666666666666,2.0,2.0,manag
0.25,0.75,3.0,3.0,proxi
0.3333333333333333,0.6666666666666666,2.0,2.0,gener
0.3333333333333333,0.6666666666666666,2.0,2.0,reason
0.3333333333333333,0.6666666666666666,2.0,2.0,base
0.5,1.0,1.0,2.0,address
0.5,0.5,1.0,1.0,valu
0.3333333333333333,1.0,2.0,3.0,improve
0.5,1.0,1.0,2.0,socket
0.5,0.5,1.0,1.0,thread
0.14285714285714285,1.1428571428571428,6.0,8.0,memori
0.3333333333333333,0.6666666666666666,2.0,2.0,keep
0.5,1.0,1.0,2.0,amount
0.5,1.0,1.0,2.0,throughput
0.5,0.5,1.0,1.0,context
0.3333333333333333,0.6666666666666666,2.0,2.0,commit
0.3333333333333333,0.6666666666666666,2.0,2.0,chang
0.16666666666666666,0.8333333333333333,5.0,5.0,load
0.25,1.5,3.0,6.0,repair
0.2,1.0,4.0,5.0,rang
0.25,1.25,3.0,5.0,number
0.3333333333333333,0.6666666666666666,2.0,2.0,tier
0.3333333333333333,0.6666666666666666,2.0,2.0,array
0.5,1.0,1.0,2.0,custom
0.16666666666666666,1.1666666666666665,5.0,7.0,size
0.3333333333333333,1.0,2.0,3.0,java
0.25,0.75,3.0,3.0,creat
0.5,1.0,1.0,2.0,cql
0.5,1.0,1.0,2.0,associ
0.5,1.0,1.0,2.0,system
0.3333333333333333,0.6666666666666666,2.0,2.0,messag
0.5,0.5,1.0,1.0,grow
0.3333333333333333,1.0,2.0,3.0,start
0.3333333333333333,0.6666666666666666,2.0,2.0,keyspac
0.5,1.5,1.0,3.0,call
0.5,0.5,1.0,1.0,includ
0.5,0.5,1.0,1.0,wait
0.25,0.75,3.0,3.0,store
0.2,0.8,4.0,4.0,strategi
0.5,0.5,1.0,1.0,lang
0.5,1.0,1.0,2.0,handoff
0.5,0.5,1.0,1.0,peopl
0.3333333333333333,0.6666666666666666,2.0,2.0,notic
0.5,1.0,1.0,2.0,bulk
0.5,0.5,1.0,1.0,bug
0.25,1.0,3.0,4.0,count
0.5,1.0,1.0,2.0,outofmemory
0.14285714285714285,1.2857142857142856,6.0,9.0,exception
0.25,1.0,3.0,4.0,endpoint
0.5,0.5,1.0,1.0,describ
0.25,1.75,3.0,7.0,default
0.25,0.75,3.0,3.0,servic
0.25,1.25,3.0,5.0,work
0.25,1.75,3.0,7.0,batch
0.3333333333333333,0.6666666666666666,2.0,2.0,calcul
0.3333333333333333,0.6666666666666666,2.0,2.0,limit
0.25,0.75,3.0,3.0,error
0.2,1.0,4.0,5.0,problem
0.25,0.75,3.0,3.0,connect
0.5,0.5,1.0,1.0,increment
0.5,1.5,1.0,3.0,stream
0.5,0.5,1.0,1.0,give
0.5,0.5,1.0,1.0,process
0.5,0.5,1.0,1.0,lock
0.5,0.5,1.0,1.0,abstract
0.5,0.5,1.0,1.0,argument
0.08333333333333333,1.6666666666666665,11.0,20.0,cluster
0.3333333333333333,0.6666666666666666,2.0,2.0,replica
0.5,0.5,1.0,1.0,exist
0.5,0.5,1.0,1.0,expir
0.5,0.5,1.0,1.0,file
0.5,0.5,1.0,1.0,tabl
0.5,0.5,1.0,1.0,hit
0.3333333333333333,0.6666666666666666,2.0,2.0,check
0.16666666666666666,1.0,5.0,6.0,cassandra
0.3333333333333333,0.6666666666666666,2.0,2.0,mutat
0.3333333333333333,0.6666666666666666,2.0,2.0,thrift
0.25,0.75,3.0,3.0,occur
0.3333333333333333,1.0,2.0,3.0,write
0.3333333333333333,0.6666666666666666,2.0,2.0,read
0.5,1.5,1.0,3.0,cleanup
0.5,0.5,1.0,1.0,purg
0.2,0.8,4.0,4.0,test
0.5,0.5,1.0,1.0,out
0.5,0.5,1.0,1.0,config
0.08333333333333333,1.8333333333333333,11.0,22.0,node
0.3333333333333333,2.0,2.0,6.0,map
0.5,0.5,1.0,1.0,finish
0.5,0.5,1.0,1.0,clean
0.3333333333333333,0.6666666666666666,2.0,2.0,track
0.5,0.5,1.0,1.0,max
0.5,0.5,1.0,1.0,effect
0.5,0.5,1.0,1.0,detect
0.5,0.5,1.0,1.0,user
0.5,0.5,1.0,1.0,phase
0.5,0.5,1.0,1.0,end
0.1111111111111111,1.0,8.0,9.0,data
0.25,0.75,3.0,3.0,class
0.16666666666666666,0.8333333333333333,5.0,5.0,reduc
0.5,0.5,1.0,1.0,directori
0.5,2.0,1.0,4.0,entri
0.5,1.5,1.0,3.0,bootstrap
0.5,0.5,1.0,1.0,request
0.14285714285714285,1.0,6.0,7.0,issu
0.5,1.0,1.0,2.0,exampl
0.5,0.5,1.0,1.0,ignor
0.5,0.5,1.0,1.0,allow
0.25,1.0,3.0,4.0,time
0.25,1.25,3.0,5.0,cpu
