IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,oper
0.5,1.5,1.0,3.0,code
0.5,0.5,1.0,1.0,queri
0.5,0.5,1.0,1.0,detail
0.5,1.0,1.0,2.0,threshold
0.5,0.5,1.0,1.0,follow
0.5,0.5,1.0,1.0,disk
0.5,0.5,1.0,1.0,compact
0.3333333333333333,0.6666666666666666,2.0,2.0,cli
0.5,0.5,1.0,1.0,fix
0.5,1.0,1.0,2.0,writer
0.5,1.0,1.0,2.0,apach
0.5,0.5,1.0,1.0,send
0.1,1.1,9.0,11.0,add
0.5,0.5,1.0,1.0,board
0.5,0.5,1.0,1.0,jvm
0.25,1.25,3.0,5.0,stable
0.5,0.5,1.0,1.0,sourc
0.5,1.5,1.0,3.0,return
0.3333333333333333,0.6666666666666666,2.0,2.0,read
0.3333333333333333,1.0,2.0,3.0,break
0.5,0.5,1.0,1.0,requir
0.5,0.5,1.0,1.0,name
0.5,1.0,1.0,2.0,enabl
0.25,0.75,3.0,3.0,config
0.25,0.75,3.0,3.0,drop
0.5,0.5,1.0,1.0,list
0.5,1.0,1.0,2.0,elaps
0.3333333333333333,0.6666666666666666,2.0,2.0,server
0.5,0.5,1.0,1.0,cqlsh
0.5,0.5,1.0,1.0,manag
0.5,1.0,1.0,2.0,tombston
0.3333333333333333,0.6666666666666666,2.0,2.0,prevent
0.25,0.75,3.0,3.0,set
0.5,1.0,1.0,2.0,consequ
0.08333333333333333,1.6666666666666665,11.0,20.0,authent
0.5,0.5,1.0,1.0,subject
0.5,0.5,1.0,1.0,detect
0.5,0.5,1.0,1.0,network
0.3333333333333333,0.6666666666666666,2.0,2.0,someth
0.5,1.0,1.0,2.0,state
0.5,0.5,1.0,1.0,experi
0.3333333333333333,0.6666666666666666,2.0,2.0,method
0.3333333333333333,0.6666666666666666,2.0,2.0,involv
0.5,0.5,1.0,1.0,gener
0.3333333333333333,0.6666666666666666,2.0,2.0,step
0.5,0.5,1.0,1.0,describ
0.3333333333333333,1.0,2.0,3.0,protect
0.3333333333333333,0.6666666666666666,2.0,2.0,socket
0.5,0.5,1.0,1.0,degre
0.5,0.5,1.0,1.0,logic
0.5,1.5,1.0,3.0,commit
0.3333333333333333,1.0,2.0,3.0,implement
0.3333333333333333,0.6666666666666666,2.0,2.0,load
0.3333333333333333,1.0,2.0,3.0,cache
0.3333333333333333,0.6666666666666666,2.0,2.0,number
0.5,1.0,1.0,2.0,suppli
0.5,0.5,1.0,1.0,chang
0.5,0.5,1.0,1.0,ring
0.5,0.5,1.0,1.0,select
0.5,1.0,1.0,2.0,size
0.3333333333333333,1.0,2.0,3.0,creat
0.5,1.0,1.0,2.0,cql
0.16666666666666666,0.8333333333333333,5.0,5.0,data
0.125,1.25,7.0,10.0,support
0.5,0.5,1.0,1.0,system
0.3333333333333333,1.3333333333333333,2.0,4.0,messag
0.25,1.5,3.0,6.0,custom
0.3333333333333333,1.0,2.0,3.0,start
0.2,1.6,4.0,8.0,keyspac
0.25,0.75,3.0,3.0,call
0.3333333333333333,1.0,2.0,3.0,improve
0.2,0.8,4.0,4.0,store
0.5,0.5,1.0,1.0,attach
0.3333333333333333,1.0,2.0,3.0,jmx
0.14285714285714285,1.1428571428571428,6.0,8.0,option
0.5,1.0,1.0,2.0,bulk
0.5,0.5,1.0,1.0,bug
0.5,0.5,1.0,1.0,count
0.5,0.5,1.0,1.0,exception
0.5,0.5,1.0,1.0,endpoint
0.5,1.0,1.0,2.0,join
0.3333333333333333,0.6666666666666666,2.0,2.0,default
0.5,0.5,1.0,1.0,remov
0.25,1.0,3.0,4.0,work
0.5,1.0,1.0,2.0,batch
0.5,1.0,1.0,2.0,record
0.5,0.5,1.0,1.0,limit
0.5,0.5,1.0,1.0,error
0.5,0.5,1.0,1.0,decreas
0.5,0.5,1.0,1.0,problem
0.5,0.5,1.0,1.0,connect
0.25,2.0,3.0,8.0,stream
0.3333333333333333,1.0,2.0,3.0,argument
0.5,0.5,1.0,1.0,pig
0.25,1.5,3.0,6.0,cluster
0.25,0.75,3.0,3.0,exist
0.5,0.5,1.0,1.0,file
0.5,0.5,1.0,1.0,check
0.07692307692307693,1.3076923076923077,12.0,17.0,cassandra
0.5,0.5,1.0,1.0,multipl
0.16666666666666666,1.5,5.0,9.0,author
0.5,1.0,1.0,2.0,hadoop
0.2,1.0,4.0,5.0,thrift
0.5,1.0,1.0,2.0,write
0.25,0.75,3.0,3.0,handl
0.3333333333333333,0.6666666666666666,2.0,2.0,test
0.5,0.5,1.0,1.0,datacent
0.3333333333333333,1.3333333333333333,2.0,4.0,simpl
0.5,0.5,1.0,1.0,noth
0.3333333333333333,0.6666666666666666,2.0,2.0,updat
0.16666666666666666,1.1666666666666665,5.0,7.0,node
0.5,0.5,1.0,1.0,map
0.5,0.5,1.0,1.0,trace
0.5,0.5,1.0,1.0,buffer
0.3333333333333333,1.3333333333333333,2.0,4.0,object
0.5,0.5,1.0,1.0,compress
0.16666666666666666,1.1666666666666665,5.0,7.0,user
0.5,0.5,1.0,1.0,phase
0.5,0.5,1.0,1.0,end
0.5,0.5,1.0,1.0,associ
0.5,0.5,1.0,1.0,class
0.5,0.5,1.0,1.0,alloc
0.5,1.0,1.0,2.0,task
0.5,0.5,1.0,1.0,request
0.2,0.8,4.0,4.0,issu
0.5,0.5,1.0,1.0,switch
0.5,0.5,1.0,1.0,exampl
0.3333333333333333,1.0,2.0,3.0,command
0.2,0.8,4.0,4.0,allow
0.3333333333333333,0.6666666666666666,2.0,2.0,avoid
