IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,load
0.5,0.5,1.0,1.0,random
0.5,1.0,1.0,2.0,remov
0.5,0.5,1.0,1.0,tcp
0.5,0.5,1.0,1.0,amount
0.5,0.5,1.0,1.0,concurr
0.2,1.4000000000000001,4.0,7.0,gossip
0.5,0.5,1.0,1.0,disk
0.3333333333333333,1.3333333333333333,2.0,4.0,compact
0.5,0.5,1.0,1.0,locat
0.5,1.0,1.0,2.0,system
0.3333333333333333,2.0,2.0,6.0,hint
0.5,0.5,1.0,1.0,trigger
0.5,0.5,1.0,1.0,window
0.3333333333333333,0.6666666666666666,2.0,2.0,state
0.5,0.5,1.0,1.0,rf=
0.125,1.25,7.0,10.0,add
0.5,0.5,1.0,1.0,estim
0.5,0.5,1.0,1.0,save
0.5,0.5,1.0,1.0,introduc
0.5,0.5,1.0,1.0,sourc
0.3333333333333333,0.6666666666666666,2.0,2.0,return
0.5,1.0,1.0,2.0,format
0.3333333333333333,0.6666666666666666,2.0,2.0,read
0.3333333333333333,0.6666666666666666,2.0,2.0,break
0.3333333333333333,0.6666666666666666,2.0,2.0,traffic
0.3333333333333333,1.0,2.0,3.0,condit
0.3333333333333333,0.6666666666666666,2.0,2.0,report
0.5,1.0,1.0,2.0,ticket
0.5,0.5,1.0,1.0,day
0.5,0.5,1.0,1.0,restart
0.5,0.5,1.0,1.0,insert
0.5,0.5,1.0,1.0,enabl
0.5,1.0,1.0,2.0,list
0.5,1.5,1.0,3.0,authent
0.5,1.0,1.0,2.0,server
0.5,0.5,1.0,1.0,session
0.3333333333333333,1.0,2.0,3.0,timeout
0.5,1.0,1.0,2.0,output
0.5,0.5,1.0,1.0,servic
0.5,0.5,1.0,1.0,mean
0.5,1.0,1.0,2.0,tombston
0.5,0.5,1.0,1.0,prevent
0.5,0.5,1.0,1.0,set
0.5,1.0,1.0,2.0,replac
0.3333333333333333,0.6666666666666666,2.0,2.0,consequ
0.5,0.5,1.0,1.0,second
0.5,0.5,1.0,1.0,replay
0.5,0.5,1.0,1.0,connect
0.3333333333333333,0.6666666666666666,2.0,2.0,follow
0.25,1.0,3.0,4.0,fail
0.5,0.5,1.0,1.0,out
0.3333333333333333,1.0,2.0,3.0,race
0.3333333333333333,1.3333333333333333,2.0,4.0,detect
0.5,0.5,1.0,1.0,appear
0.16666666666666666,1.0,5.0,6.0,lead
0.5,0.5,1.0,1.0,avoid
0.5,0.5,1.0,1.0,current
0.5,0.5,1.0,1.0,delet
0.5,0.5,1.0,1.0,figur
0.2,1.2000000000000002,4.0,6.0,version
0.5,0.5,1.0,1.0,progress
0.5,0.5,1.0,1.0,experi
0.5,0.5,1.0,1.0,reproduc
0.2,1.0,4.0,5.0,topolog
0.5,0.5,1.0,1.0,refer
0.5,0.5,1.0,1.0,involv
0.5,0.5,1.0,1.0,migrat
0.5,0.5,1.0,1.0,hang
0.3333333333333333,0.6666666666666666,2.0,2.0,gener
0.5,0.5,1.0,1.0,base
0.3333333333333333,0.6666666666666666,2.0,2.0,key
0.5,1.0,1.0,2.0,trunk
0.5,0.5,1.0,1.0,releas
0.25,0.75,3.0,3.0,throw
0.2,0.8,4.0,4.0,improve
0.3333333333333333,0.6666666666666666,2.0,2.0,region
0.3333333333333333,0.6666666666666666,2.0,2.0,round
0.5,0.5,1.0,1.0,degre
0.5,1.5,1.0,3.0,commit
0.2,1.0,4.0,5.0,chang
0.5,0.5,1.0,1.0,assign
0.1111111111111111,1.1111111111111112,8.0,10.0,oper
0.16666666666666666,2.0,5.0,12.0,repair
0.2,1.4000000000000001,4.0,7.0,rang
0.5,0.5,1.0,1.0,fix
0.5,1.0,1.0,2.0,kernel
0.25,2.25,3.0,9.0,address
0.5,1.5,1.0,3.0,number
0.5,0.5,1.0,1.0,one
0.3333333333333333,1.0,2.0,3.0,rpc
0.25,0.75,3.0,3.0,send
0.3333333333333333,0.6666666666666666,2.0,2.0,ring
0.5,0.5,1.0,1.0,custom
0.5,0.5,1.0,1.0,java
0.5,0.5,1.0,1.0,describ
0.5,0.5,1.0,1.0,cql
0.5,1.0,1.0,2.0,associ
0.25,1.0,3.0,4.0,support
0.25,1.25,3.0,5.0,upgrad
0.3333333333333333,1.0,2.0,3.0,messag
0.5,0.5,1.0,1.0,grow
0.25,0.75,3.0,3.0,start
0.3333333333333333,1.0,2.0,3.0,keyspac
0.5,0.5,1.0,1.0,wait
0.3333333333333333,0.6666666666666666,2.0,2.0,store
0.5,1.0,1.0,2.0,strategi
0.5,0.5,1.0,1.0,handoff
0.5,0.5,1.0,1.0,peopl
0.5,0.5,1.0,1.0,assert
0.3333333333333333,0.6666666666666666,2.0,2.0,coordin
0.3333333333333333,1.0,2.0,3.0,bootstrap
0.5,0.5,1.0,1.0,info
0.16666666666666666,1.1666666666666665,5.0,7.0,exception
0.5,0.5,1.0,1.0,endpoint
0.3333333333333333,0.6666666666666666,2.0,2.0,consist
0.5,0.5,1.0,1.0,default
0.25,0.75,3.0,3.0,setup
0.3333333333333333,0.6666666666666666,2.0,2.0,work
0.25,1.0,3.0,4.0,batch
0.5,0.5,1.0,1.0,descriptor
0.3333333333333333,0.6666666666666666,2.0,2.0,match
0.25,0.75,3.0,3.0,error
0.2,0.8,4.0,4.0,problem
0.5,2.5,1.0,5.0,schema
0.3333333333333333,1.0,2.0,3.0,partition
0.3333333333333333,0.6666666666666666,2.0,2.0,stream
0.3333333333333333,1.0,2.0,3.0,give
0.3333333333333333,0.6666666666666666,2.0,2.0,process
0.5,0.5,1.0,1.0,abstract
0.07142857142857142,1.2857142857142856,13.0,18.0,cluster
0.25,1.0,3.0,4.0,replica
0.5,0.5,1.0,1.0,implement
0.25,0.75,3.0,3.0,increment
0.5,0.5,1.0,1.0,decommiss
0.3333333333333333,0.6666666666666666,2.0,2.0,occur
0.1111111111111111,0.8888888888888888,8.0,8.0,cassandra
0.3333333333333333,1.3333333333333333,2.0,4.0,mutat
0.5,1.0,1.0,2.0,author
0.3333333333333333,0.6666666666666666,2.0,2.0,perform
0.25,1.75,3.0,7.0,hadoop
0.5,0.5,1.0,1.0,handl
0.5,1.0,1.0,2.0,split
0.25,1.0,3.0,4.0,test
0.3333333333333333,0.6666666666666666,2.0,2.0,environ
0.14285714285714285,1.2857142857142856,6.0,9.0,datacent
0.2,0.8,4.0,4.0,subject
0.5,0.5,1.0,1.0,config
0.3333333333333333,0.6666666666666666,2.0,2.0,complet
0.047619047619047616,1.857142857142857,20.0,39.0,node
0.5,0.5,1.0,1.0,map
0.5,0.5,1.0,1.0,finish
0.5,0.5,1.0,1.0,clean
0.5,1.0,1.0,2.0,index
0.5,0.5,1.0,1.0,compress
0.5,2.0,1.0,4.0,snitch
0.25,0.75,3.0,3.0,multipl
0.14285714285714285,1.4285714285714284,6.0,10.0,data
