IDF,TF*IDF,DF,TF,Word
0.023809523809523808,1.1428571428571428,41.0,48.0,code
0.1111111111111111,1.1111111111111112,8.0,10.0,entropi
0.01694915254237288,1.3728813559322033,58.0,81.0,queri
0.1,1.1,9.0,11.0,consum
0.01818181818181818,1.690909090909091,54.0,93.0,gossip
0.034482758620689655,1.2413793103448276,28.0,36.0,disk
0.005917159763313609,1.8047337278106508,168.0,305.0,compact
0.02702702702702703,1.1621621621621623,36.0,43.0,send
0.06666666666666667,1.0666666666666667,14.0,16.0,jvm
0.008403361344537815,1.588235294117647,118.0,189.0,stable
0.1111111111111111,0.8888888888888888,8.0,8.0,sens
0.05,0.9500000000000001,19.0,19.0,introduc
0.09090909090909091,1.0,10.0,11.0,sourc
0.09090909090909091,1.3636363636363638,10.0,15.0,string
0.1111111111111111,1.1111111111111112,8.0,10.0,util
0.0625,1.0,15.0,16.0,ticket
0.08333333333333333,1.0,11.0,12.0,misplac
0.07142857142857142,1.0,13.0,14.0,level
0.02857142857142857,1.2,34.0,42.0,list
0.05,1.2000000000000002,19.0,24.0,iter
0.025,1.125,39.0,45.0,race
0.1,1.5,9.0,15.0,prepar
0.041666666666666664,1.0416666666666665,23.0,25.0,prevent
0.08333333333333333,1.0,11.0,12.0,sync
0.014492753623188406,1.2318840579710144,68.0,85.0,consequ
0.03225806451612903,1.2258064516129032,30.0,38.0,second
0.1111111111111111,0.8888888888888888,8.0,8.0,pressur
0.030303030303030304,1.0,32.0,33.0,follow
0.010416666666666666,2.020833333333333,95.0,194.0,index
0.045454545454545456,0.9545454545454546,21.0,21.0,appear
0.05,1.75,19.0,35.0,compar
0.03571428571428571,0.9642857142857142,27.0,27.0,current
0.01694915254237288,1.6101694915254237,58.0,95.0,delet
0.03225806451612903,1.3870967741935483,30.0,43.0,version
0.03333333333333333,1.0333333333333332,29.0,31.0,method
0.05,1.05,19.0,21.0,metadata
0.07142857142857142,1.2142857142857142,13.0,17.0,hash
0.030303030303030304,1.2424242424242424,32.0,41.0,gener
0.038461538461538464,1.653846153846154,25.0,43.0,address
0.019230769230769232,1.6923076923076925,51.0,88.0,valu
0.02702702702702703,1.2162162162162162,36.0,45.0,thrift
0.1111111111111111,1.0,8.0,9.0,round
0.0625,1.5625,15.0,25.0,queue
0.047619047619047616,1.0,20.0,21.0,amount
0.07692307692307693,1.2307692307692308,12.0,16.0,throughput
0.013513513513513514,1.2027027027027029,73.0,89.0,chang
0.038461538461538464,1.6153846153846154,25.0,42.0,writer
0.1111111111111111,1.222222222222222,8.0,11.0,releas
0.1111111111111111,0.8888888888888888,8.0,8.0,instal
0.0625,1.125,15.0,18.0,select
0.08333333333333333,1.0,11.0,12.0,describ
0.017857142857142856,1.3214285714285714,55.0,74.0,memori
0.06666666666666667,1.1333333333333333,14.0,17.0,scan
0.02702702702702703,1.3513513513513513,36.0,50.0,upgrad
0.1111111111111111,1.1111111111111112,8.0,10.0,handler
0.02,1.18,49.0,59.0,call
0.03571428571428571,1.3928571428571428,27.0,39.0,type
0.047619047619047616,1.3333333333333333,20.0,28.0,sort
0.09090909090909091,1.3636363636363638,10.0,15.0,jmx
0.1,1.0,9.0,10.0,peopl
0.05,0.9500000000000001,19.0,19.0,notic
0.1111111111111111,1.1111111111111112,8.0,10.0,loss
