TF,DF,Word
47,40,code
2,2,leakag
18,16,columnfamili
69,51,queri
4,4,storageservic
11,9,consum
2,2,stumbl
2,2,sleep
8,6,overlap
8,6,abil
33,32,follow
30,24,disk
251,146,compact
6,5,content
3,3,failuredetector
4,3,secur
3,2,iauthent
3,3,java.lang.assertionerror
2,2,gossipinfo
2,2,jvm
217,132,stable
8,8,sens
2,2,fatal
2,2,gossipstag
3,3,spec
14,14,introduc
11,10,sourc
2,2,risk
14,13,replic
7,5,fals
2,2,void
6,5,multi
2,2,offlin
2,2,hardwar
3,3,datatrack
7,4,candid
44,33,failur
16,16,ticket
4,4,bottleneck
3,2,countpendinghint
2,2,runnabl
3,2,randompartition
11,10,misplac
3,3,level
4,2,--
2,2,compactionstat
40,32,list
14,11,iter
2,2,factori
4,3,compositetyp
3,3,compactio
39,33,race
2,2,page=com.atlassian.jira.plugin.system.issuetabpanel
9,8,replication_factor
7,4,rack
2,2,localhost
25,23,prevent
2,2,impli
4,4,direct
3,2,get_paged_slic
11,8,jump
77,64,consequ
21,18,second
8,8,pressur
7,6,design
80,50,gossip
4,2,intervaltre
6,5,port
2,2,hadoop-
5,3,compat
150,77,index
21,21,appear
30,17,compar
4,3,strategy_opt
7,6,preserv
2,2,repli
2,2,section
4,4,overload
4,3,simplestrategi
28,28,current
73,49,delet
39,26,version
4,4,suspect
2,2,compactionexecutor
6,4,get_count
4,3,describe_r
31,29,method
12,9,metadata
21,20,involv
4,3,elimin
2,2,full
9,6,hash
38,30,gener
6,6,hintedhandoff
4,4,satisfi
28,19,address
2,2,apache
23,20,path
3,2,valv
82,48,valu
16,15,wait
2,2,box
4,4,convert
6,6,produc
5,4,sender
2,2,bytebufferutil
3,2,drift
7,5,checksum
20,12,queue
19,18,amount
11,10,throughput
2,2,behav
2,2,action
3,3,california
80,64,chang
5,4,iauthor
3,3,stackoverflowerror
3,2,reclaim
3,3,varint
14,13,writer
2,2,getlocaldeletiontim
2,2,apach
3,3,prefer
2,2,utftyp
2,2,boolean
21,19,send
3,3,marker
7,7,instal
7,4,bulkoutputformat
2,2,total
16,14,select
2,2,poor
2,2,nullpointerexception
3,2,crar
77,56,memori
16,13,scan
50,36,upgrad
4,2,pre-alloc
4,3,handler
4,4,overhead
5,4,spike
2,2,datastax
17,13,type
8,5,cl.one
3,3,minor
14,10,sort
3,3,flap
5,2,python
10,9,peopl
2,2,brisk
9,7,claus
3,3,mismatch
19,19,notic
3,3,hurt
7,7,warn
2,2,chararray
2,2,warm
13,8,accept
2,2,examin
10,8,loss
2,2,columnfamilyoutputformat
5,5,none
19,13,endpoint
20,11,join
2,2,sometim
8,8,setup
74,61,work
3,2,leveledcompactiontask
2,2,uniqu
3,3,repro
3,2,system.p
7,5,fetch
2,2,complain
12,10,control
2,2,prompt
2,2,conf
109,62,stream
61,55,give
33,31,process
17,12,lock
8,8,share
10,4,shard
6,6,indic
2,2,trap
4,3,recycl
31,23,serial
2,2,optionaltask
4,4,countercolumn
29,22,filter
14,13,end
2,2,freshli
4,4,quot
8,6,paxo
3,3,model
36,30,thrift
2,2,storageproxy.java
7,7,purg
3,2,sever
3,2,streamoutsess
4,2,ancestor
33,26,config
54,41,updat
3,3,regener
6,6,product
2,2,rebas
3,3,mess
3,2,resultset
2,2,reflect
3,3,hintedhandoffmanag
2,2,mbean
3,3,discard
2,2,multipl
2,2,suck
205,147,data
10,9,grow
3,2,consistencylevel
28,18,alloc
4,3,short
35,32,attempt
5,5,practic
5,5,bind
2,2,subsnitch
47,30,counter
3,3,credenti
6,4,predic
61,54,issu
19,18,receiv
9,9,switch
12,10,environ
41,37,allow
3,3,suggest
5,3,perrowsecondaryindex
33,25,order
5,4,talk
2,2,jira
2,2,composit
11,10,help
3,2,propertyfilesnitch
35,27,move
2,2,major
3,3,cross
2,2,columnfamilystor
49,45,report
2,2,deletedcolumn
3,3,ttl
4,3,bulkrecordwrit
2,2,cold
15,14,put
14,12,digest
4,4,bunch
107,80,write
3,3,group
9,5,uuid
2,2,fit
4,4,binari
3,2,polici
3,2,","
9,9,defin
2,2,segfault
20,14,window
4,4,pend
12,10,requir
2,2,bypass
7,5,persist
14,13,mail
2,2,endless
2,2,might
8,6,alter
30,22,count
67,51,return
2,2,mapr
38,33,handl
5,5,auto
2,2,safe
8,7,initi
4,4,wast
60,53,break
4,2,half
3,3,dataset
7,6,day
4,4,introduct
9,7,workload
39,28,name
2,2,map/reduc
3,3,perspect
2,2,troubleshoot
41,32,drop
3,3,revert
17,10,authent
55,34,token
10,9,mode
41,26,timeout
4,3,debug
11,10,side
10,7,truncat
34,32,mean
2,2,compil
3,3,week
2,2,harm
2,2,weight
17,12,replac
9,7,chunk
10,9,continu
6,5,ensur
28,23,replay
33,27,connect
3,3,recompact
76,69,happen
17,14,array
2,2,columncount
2,2,shuffl
4,3,announc
13,11,network
24,21,space
27,22,miss
3,2,loadbal
4,2,reboot
4,4,profil
5,4,rewrit
13,10,adjust
2,2,reader
2,2,print
2,2,correct
3,3,math
2,2,foreground
5,5,shut
4,3,bytestyp
26,15,migrat
7,5,driver
12,12,situat
2,2,co-ordin
3,3,ineffici
17,17,reason
23,18,base
3,2,get_indexed_slic
2,2,theori
2,2,murmur
10,8,releas
33,21,byte
2,2,compression_paramet
3,3,afterward
2,2,care
2,2,thrift-
70,45,thread
4,3,launch
2,2,frequenc
2,2,focusedcommentid=
6,6,synchron
11,10,refus
53,43,keep
14,10,recov
15,14,thing
4,4,length
2,2,enforc
3,2,ecsnitch
9,7,regress
4,3,heartbeat
5,5,summari
3,3,confus
19,18,assign
3,3,first
152,131,oper
76,52,rang
4,4,notifi
5,5,feel
45,38,number
5,5,one
3,3,restrict
3,2,cursor
3,3,submit
36,27,ring
3,2,agre
11,9,open
3,3,primari
70,53,size
2,2,prioriti
4,4,differ
6,6,long
5,4,workaround
114,93,start
24,24,associ
7,4,licens
2,2,collationcontrol
28,23,system
60,40,messag
5,5,parallel
9,9,attach
3,3,averag
6,4,disagr
5,2,final
22,20,store
48,31,schema
2,2,prone
4,2,ballot
35,31,option
3,3,boostrap
4,4,cope
4,3,orphan
4,3,tool
23,15,copi
11,11,stress
2,2,someon
5,4,sync
3,3,blacklist
3,2,atomicsortedcolumn
2,2,compactiontask
27,20,task
3,2,pars
4,3,hintscolumnfamili
2,2,column_metadata
3,3,grace
2,2,symptom
6,6,serv
2,2,past
2,2,grep
13,11,target
6,3,outboundtcpconnect
3,2,remot
57,43,remov
22,14,tree
7,7,rate
3,3,structur
11,6,charact
2,2,project
5,5,reus
2,2,arriv
2,2,friend
3,2,table.appli
7,6,consumpt
6,3,ksdef
2,2,listen
2,2,thu
2,2,misunderstand
2,2,seri
8,6,deliveri
61,36,bootstrap
3,3,conflict
5,4,delay
41,24,argument
9,7,topolog
15,13,corrupt
12,5,seed
19,15,expir
5,5,increment
22,17,deliv
2,2,cfhistogram
2,2,null
8,7,seek
2,2,abstractcolumnfamilyinputformat
3,3,callback
6,4,cell
4,3,violat
3,3,wipe
2,2,brandon
9,9,note
2,2,.
24,22,exampl
17,15,build
6,5,evalu
2,2,discrep
2,2,combin
15,12,datacent
4,3,concern
8,6,text
24,21,noth
2,2,channel
2,2,wherebi
4,4,noformat
7,6,simplifi
10,10,begin
3,3,toler
10,4,distribut
13,12,trace
7,6,deploy
17,14,buffer
5,3,subcolumn
18,14,object
15,13,reach
12,9,crash
6,5,removetoken
23,17,phase
2,2,widerow
3,2,rack/dc
81,64,class
2,2,tomston
2,2,allevi
6,4,renam
14,11,quorum
2,2,filesystem
3,2,domin
11,9,partition
54,42,request
5,5,face
2,2,yang
17,11,snapshot
3,2,refresh
16,15,clean
2,2,readcallback
25,19,commitlog
2,2,notion
6,6,fact
4,4,threadpoolexecutor
3,2,sizeti
24,23,show
3,3,particip
6,6,random
2,2,anyway
2,2,syntax
11,11,concurr
14,10,threshold
27,16,protocol
2,2,dynamicendpointsnitch
7,6,clock
3,3,transport
3,2,setter
6,6,impact
11,10,access
8,7,locat
5,4,rowmut
3,3,explain
111,65,cache
5,5,solut
2,2,forev
5,4,hector
23,15,latenc
16,11,segment
6,6,factor
7,6,reset
2,2,mail.gmail.com
7,7,beat
3,3,express
9,8,secondari
2,2,nativ
4,4,mainten
24,19,increas
45,40,restart
2,2,rowrepairresolv
6,2,mapper
7,3,hostid
2,2,emb
3,2,bisect
3,3,stc
20,18,patch
2,2,provid
3,3,integr
32,18,partit
24,23,contain
2,2,failov
2,2,grab
2,2,movement
2,2,view
4,4,respond
14,13,kernel
7,6,dump
3,3,convict
3,3,frame
28,23,startup
6,5,assumpt
2,2,datatyp
13,8,respons
130,108,fail
12,11,close
8,8,stack
69,64,subject
3,2,get_range_slic
61,55,detect
2,2,databas
22,21,someth
2,2,misus
6,6,dtest
2,2,rbranson
56,41,state
3,3,stall
9,7,progress
2,2,experi
3,3,approach
2,2,email
2,2,balanc
2,2,inabl
4,4,accord
9,8,ask
4,3,isol
6,4,popul
2,2,bloomfilt
3,3,snappi
4,4,succeed
5,3,measur
44,33,key
2,2,dynamicsnitch
4,4,solv
3,2,cfdef
4,4,addit
11,10,protect
4,3,revers
8,7,fault
23,16,region
2,2,queryfilter.isrelev
4,3,cfstore
14,14,context
10,8,logic
2,2,login
2,2,roundrobinschedul
2,2,evict
54,42,load
13,9,author
5,3,schedul
2,2,performanc
12,11,period
4,4,loader
7,6,header
7,5,shutdown
4,4,linux
2,2,accret
7,5,respect
28,25,assum
15,12,duplic
7,7,java
4,4,divid
3,2,ecmultiregionsnitch
2,2,devic
6,4,empti
39,35,mark
10,7,compon
2,2,accumul
9,6,json
55,41,keyspac
2,2,dont
2,2,listen_address
50,48,improve
25,20,strategi
8,8,leveledcompactionstrategi
19,17,handoff
3,3,serializingcach
4,3,fire
5,5,system.log
6,6,thousand
4,3,resolut
2,2,worker
5,3,search
2,2,cachewrit
16,12,bulk
15,12,coordin
2,2,transact
9,8,understand
6,5,minim
3,2,satur
7,5,hsha
3,3,convers
6,5,outofmemory
180,131,exception
2,2,rangeslicecommand
4,4,packag
3,2,messagingservice.java
2,2,mount
8,5,properti
83,57,batch
2,2,durat
2,2,trick
5,5,outofmemori
45,35,calcul
13,12,match
95,81,error
10,10,decreas
20,17,loop
4,2,local_on
7,6,propag
31,25,memtabl
2,2,amoun
2,2,advantag
4,3,leveledmanifest
20,17,tabl
6,5,activ
165,125,cluster
3,2,slaballoc
4,3,calculatependingrang
4,3,expiringcolumn
3,2,precompactedrow
3,3,disappear
38,26,mutat
4,3,incomingtcpconnect
28,28,perform
4,3,lazilycompactedrow
17,12,hadoop
6,4,member
4,3,fragment
2,2,complex
4,2,decod
14,10,split
20,12,timestamp
2,2,document
2,2,networktopologystrategi
3,3,rpc_timeout
16,14,complet
6,4,indexsummari
3,3,incorrect
18,17,finish
3,2,alot
24,23,optim
39,29,hang
8,8,effect
3,2,hand
3,2,bufferedrandomaccessfil
2,2,uuidgen
7,7,rais
22,19,user
2,2,ownership
3,3,ismarkedfordelet
23,20,implement
3,3,tune
2,2,dtestbot
5,4,braf
8,8,scenario
17,13,entri
2,2,sortedmap
2,2,system.nanotim
3,3,messagingservic
25,23,command
4,4,chanc
5,5,choos
5,4,everyth
6,5,interface
4,4,spend
2,2,explan
5,4,comment
3,2,identifi
5,4,paus
5,5,execut
4,2,dynamiccompositetyp
2,2,laptop
3,3,exclud
4,4,rest
7,7,kill
4,4,refactor
4,4,get_slic
2,2,comput
3,3,keycach
9,5,columnfamilyrecordread
3,3,expos
83,48,hint
8,6,mmap
2,2,priorit
3,3,dsnitch
20,20,discuss
7,6,script
46,43,add
29,17,cleanup
28,26,board
3,3,slicerang
13,10,input
3,3,distinguish
7,7,save
5,4,kick
12,10,applic
2,2,timeuuid
4,4,rememb
9,7,format
111,83,read
3,2,rejoin
2,2,datacentersyncwriteresponsehandl
6,3,gc_grace
23,19,assert
2,2,hibern
5,5,mapreduc
11,8,traffic
27,26,know
7,7,background
2,2,redesign
2,2,shadow
16,13,bloom
3,3,detector
8,7,string
47,39,insert
5,3,cfmetadata
2,2,resid
2,2,specif
5,3,fsync
4,2,whitespac
4,3,outag
6,6,anyth
16,13,elaps
67,55,server
19,13,cqlsh
17,12,collect
3,3,benefit
2,2,cascad
11,10,output
2,2,hand-off
21,15,page
2,2,backlog
56,33,tombston
9,6,deseri
3,3,exceed
4,4,right
5,5,captur
2,2,interv
10,9,suppli
5,4,intern
2,2,export
6,5,integ
79,51,flush
2,2,concurrentmap
2,2,single-pass
5,5,manifest
3,3,constitut
3,2,librari
23,20,assertionerror
2,2,and/or
56,47,lead
17,13,leak
34,33,avoid
2,2,definit
5,4,stagger
2,2,post-compact
7,5,cast
12,11,track
9,7,estim
8,6,exit
4,2,settl
30,26,condit
2,2,commitlogseg
26,26,reproduc
35,29,trunk
9,8,refer
15,12,machin
3,3,investig
13,10,throttl
2,2,expiringmap
3,3,compress
3,2,garbag
6,4,agreement
5,5,broken
12,12,step
6,6,promot
9,7,offset
5,3,peer
4,4,post
2,2,subtract
26,22,throw
26,17,session
5,5,comparison
9,8,socket
3,3,reappear
4,4,commun
3,2,choke
8,6,manag
39,26,degre
2,2,handlestatenorm
8,5,neighbor
4,4,constructor
61,38,commit
4,3,backup
8,7,disabl
43,33,block
163,92,repair
3,3,effici
2,2,happ
2,2,meteredflush
6,6,encount
8,5,encod
3,2,commutativerowindex
8,4,drain
2,2,down
4,3,pair
3,2,guard
2,2,doesnt
2,2,perpetu
3,3,wrap
2,2,describeownership
6,5,bulkload
4,2,durabl
9,6,merg
5,4,jdbc
8,6,prepar
7,6,transfer
42,37,support
2,2,question
3,3,tokenmetadata
2,2,fast
32,25,custom
2,2,avail
