TF,DF,Word
4,4,code
1,1,columnfamili
3,2,queri
1,1,consum
1,1,abil
3,2,follow
4,4,disk
13,9,compact
1,1,failuredetector
11,5,stable
1,1,sens
2,2,sourc
1,1,string
3,1,fals
1,1,failur
1,1,bottleneck
1,1,race
2,1,replication_factor
2,2,prevent
5,4,consequ
2,2,rate
3,3,pressur
6,3,index
2,2,appear
2,1,strategy_opt
1,1,repli
1,1,section
2,1,simplestrategi
5,5,current
1,1,delet
1,1,version
2,1,topolog
1,1,movement
1,1,involv
1,1,elimin
4,3,gener
1,1,hintedhandoff
9,3,address
2,1,valv
10,7,valu
3,2,thrift
1,1,convert
3,2,queue
2,2,throughput
7,5,chang
3,2,hsha
5,4,put
1,1,boolean
2,2,instal
4,2,bulkoutputformat
3,3,memori
6,5,upgrad
2,1,spike
1,1,type
1,1,inet
1,1,flap
5,4,peopl
1,1,notic
1,1,warn
1,1,none
1,1,endpoint
2,1,join
1,1,setup
9,7,work
2,1,descriptor
2,1,control
4,3,stream
4,4,give
1,1,process
1,1,serial
1,1,divid
1,1,mapr
8,6,config
1,1,updat
2,2,product
17,14,data
2,2,handl
4,3,attempt
1,1,bind
4,2,bootstrap
1,1,issu
6,5,environ
4,3,allow
3,3,order
2,2,help
1,1,propertyfilesnitch
2,2,move
1,1,cross
3,2,increas
8,7,write
6,4,window
1,1,restart
1,1,bypass
2,1,persist
3,3,crash
4,1,python
1,1,auto
1,1,wast
2,2,break
1,1,day
1,1,introduct
2,2,workload
1,1,map/reduc
4,2,token
8,4,timeout
3,3,mean
1,1,harm
1,1,chunk
2,1,replay
2,2,connect
5,4,happen
4,2,ring
1,1,variabl
3,2,network
4,4,space
1,1,open
5,3,adjust
2,2,shut
4,4,situat
1,1,reason
1,1,base
3,2,releas
1,1,byte
1,1,compression_paramet
1,1,care
3,2,thread
1,1,launch
1,1,refus
3,3,keep
2,2,thing
1,1,heartbeat
2,2,confus
3,3,assign
17,13,oper
1,1,rang
1,1,feel
2,2,number
1,1,sometim
1,1,fast
1,1,array
2,2,miss
8,7,size
1,1,prioriti
1,1,script
4,4,associ
2,1,licens
5,4,system
3,3,messag
1,1,attach
1,1,disagr
1,1,store
1,1,listen
7,6,option
2,1,tool
1,1,copi
7,3,alloc
1,1,hintscolumnfamili
1,1,symptom
2,2,serv
1,1,grep
5,4,remov
1,1,tree
2,1,second
2,1,ksdef
5,1,argument
7,7,fail
3,1,seed
4,3,expir
1,1,deliv
1,1,note
1,1,build
1,1,discrep
1,1,datacent
3,3,noth
1,1,noformat
1,1,begin
1,1,trace
1,1,deploy
1,1,buffer
2,2,reach
1,1,phase
4,3,segment
6,5,class
2,1,partition
1,1,request
1,1,face
1,1,clean
2,2,commitlog
1,1,fact
1,1,threadpoolexecutor
3,3,show
1,1,concurr
3,1,threshold
1,1,compactionexecutor
2,1,setter
1,1,impact
3,2,access
2,2,locat
16,8,cache
1,1,mainten
1,1,report
1,1,requir
1,1,mapper
2,2,patch
4,3,partit
2,2,contain
4,4,kernel
2,1,startup
1,1,datatyp
1,1,corrupt
7,7,subject
12,11,detect
1,1,databas
1,1,someth
1,1,state
1,1,experi
1,1,inabl
1,1,accord
1,1,key
1,1,interface
1,1,toler
2,2,improve
4,3,fault
5,5,context
4,3,load
2,2,trunk
1,1,suppli
1,1,respect
3,3,assum
3,3,java
1,1,evalu
1,1,devic
2,1,empti
1,1,.
1,1,accumul
4,1,trigger
2,2,addit
2,1,strategi
1,1,handoff
1,1,system.log
2,1,search
8,6,exception
2,2,properti
10,7,batch
1,1,trick
1,1,defin
4,3,calcul
1,1,kick
10,8,error
3,3,memtabl
12,11,cluster
5,3,return
1,1,mutat
5,3,hadoop
1,1,fragment
1,1,rpc_timeout
1,1,finish
3,3,optim
2,2,hang
2,2,effect
2,2,user
1,1,stack
1,1,tune
3,2,task
1,1,entri
1,1,sortedmap
1,1,exampl
2,2,model
1,1,comment
1,1,execut
1,1,kill
2,2,hint
3,2,ecmultiregionsnitch
3,3,add
2,2,valid
1,1,save
1,1,match
4,3,applic
1,1,loss
7,6,read
1,1,mapreduc
2,2,know
2,2,insert
1,1,cfmetadata
1,1,resid
2,1,whitespac
4,2,elaps
6,5,server
3,2,cqlsh
1,1,benefit
1,1,backlog
1,1,captur
2,2,linux
1,1,intern
1,1,sampl
1,1,integ
6,3,flush
1,1,constitut
1,1,assertionerror
1,1,and/or
3,3,lead
2,1,columnfamilyinputformat
1,1,avoid
2,2,track
1,1,commitlogseg
2,2,machin
1,1,throttl
1,1,promot
2,2,throw
2,1,socket
1,1,commun
2,1,degre
9,5,commit
3,3,disabl
3,2,block
4,3,repair
1,1,effici
1,1,guard
1,1,mark
1,1,durabl
1,1,merg
5,4,support
1,1,submit
1,1,custom
16,14,start
4,4,keyspac
1,1,forc
1,1,overflow
2,1,consist
21,13,default
2,2,wish
2,2,maximum
1,1,troubl
5,3,limit
2,1,rpc_address
8,7,problem
2,1,bytebuff
3,3,expect
2,2,creat
1,1,replica
1,1,exist
10,7,file
1,1,proport
1,1,incorrect
1,1,encrypt
2,1,detail
3,2,cleanup
1,1,branch
6,6,test
40,25,node
1,1,gigabyt
2,1,sequenc
1,1,stay
1,1,slice
3,1,snitch
1,1,pool
2,2,reduc
5,3,directori
5,3,ignor
10,8,time
1,1,push
