TF,DF,Word
5,4,code
11,7,queri
1,1,storageservic
5,5,follow
3,2,disk
19,16,compact
1,1,failuredetector
1,1,send
1,1,jvm
11,8,stable
1,1,fatal
2,2,introduc
1,1,sourc
2,2,string
1,1,outofmemory
3,1,fals
1,1,multi
1,1,offlin
20,12,failur
2,2,misplac
6,5,list
1,1,iter
1,1,compactio
1,1,race
5,4,replication_factor
3,2,prevent
3,2,jump
6,6,consequ
2,2,second
1,1,design
14,6,gossip
3,2,port
12,9,index
5,5,appear
3,2,compar
1,1,clock
1,1,repli
4,3,simplestrategi
3,3,current
9,6,delet
7,4,version
1,1,suspect
3,2,get_count
1,1,describe_r
3,3,method
3,2,metadata
1,1,gener
6,6,trunk
3,2,bulkload
3,3,path
16,6,valu
7,6,thrift
1,1,convert
1,1,convers
1,1,amount
1,1,action
5,5,chang
3,2,hsha
1,1,slicerang
2,2,ask
1,1,boolean
1,1,marker
5,5,select
9,8,memori
16,13,upgrad
3,2,handler
2,2,type
1,1,cl.one
1,1,sort
1,1,peopl
1,1,brisk
2,2,relat
3,3,notic
1,1,hurt
5,5,warn
1,1,indic
1,1,none
2,1,endpoint
4,2,join
2,2,sometim
2,2,setup
7,7,work
2,1,leveledcompactiontask
1,1,fetch
1,1,prompt
14,8,stream
10,10,give
1,1,process
2,1,shard
2,2,accept
1,1,recycl
1,1,risk
3,3,end
1,1,freshli
15,10,write
2,2,config
4,4,updat
1,1,mess
3,3,hintedhandoffmanag
1,1,multipl
4,4,associ
2,2,stress
10,9,attempt
3,3,practic
1,1,bind
1,1,hadoop-
2,1,predic
8,6,issu
3,3,receiv
2,2,switch
1,1,environ
1,1,allow
3,2,order
3,2,talk
1,1,help
9,8,report
2,1,bulkrecordwrit
1,1,bunch
1,1,binari
2,1,","
2,1,window
2,2,requir
3,3,mail
1,1,might
1,1,alter
6,6,return
7,6,handl
7,7,break
1,1,day
8,6,counter
1,1,mapreduc
1,1,name
2,2,anyth
1,1,troubleshoot
5,4,drop
1,1,revert
3,2,token
1,1,mode
6,4,timeout
4,3,debug
3,3,side
1,1,compil
2,1,reset
1,1,replac
2,2,continu
9,7,connect
7,7,happen
1,1,array
3,3,network
2,2,space
3,3,open
1,1,rewrit
3,2,adjust
1,1,hardwar
3,3,shut
1,1,bytestyp
5,2,migrat
13,9,hang
1,1,situat
2,2,reason
2,1,get_indexed_slic
1,1,put
1,1,compression_paramet
11,7,thread
1,1,launch
6,5,refus
2,2,keep
2,2,recov
2,2,thing
2,2,length
1,1,enforc
3,3,regress
7,7,assign
14,12,oper
3,2,info
7,6,rang
6,5,number
1,1,one
3,1,ring
1,1,miss
1,1,primari
5,4,size
1,1,script
24,19,data
2,1,licens
3,3,system
10,5,messag
3,2,disagr
1,1,storageproxi
1,1,listen
1,1,prone
6,5,option
1,1,tool
1,1,copi
2,2,alloc
2,1,task
1,1,column_metadata
4,3,target
2,1,outboundtcpconnect
7,5,remov
4,3,tree
1,1,charact
1,1,project
1,1,stall
2,1,ksdef
8,7,schema
10,6,bootstrap
4,4,argument
44,35,fail
4,1,seed
3,3,deliv
1,1,exclud
1,1,build
1,1,detector
3,3,noth
1,1,noformat
2,2,begin
66,42,node
5,5,trace
1,1,buffer
1,1,object
2,1,reach
3,3,crash
3,2,removetoken
1,1,pair
3,2,segment
14,11,class
1,1,renam
3,3,quorum
1,1,filesystem
4,2,partition
5,5,request
1,1,face
2,2,snapshot
2,2,clean
5,5,commitlog
1,1,fact
2,2,show
3,3,random
5,3,session
2,1,threshold
1,1,impact
2,2,access
2,2,stackoverflowerror
5,4,cache
2,2,solut
1,1,hector
1,1,factor
1,1,expiringmap
1,1,beat
1,1,mainten
5,3,increas
3,3,restart
2,2,rowrepairresolv
2,1,bisect
3,2,patch
1,1,integr
1,1,partit
1,1,contain
1,1,grab
2,2,respond
1,1,kernel
2,2,frame
5,4,startup
1,1,respons
5,4,corrupt
5,5,close
12,11,subject
8,7,detect
4,4,someth
1,1,dtest
6,4,state
1,1,snappi
6,4,key
1,1,interface
3,2,protect
1,1,revers
3,2,fault
2,2,region
3,2,strategy_opt
2,2,succeed
1,1,braf
3,2,load
2,2,address
1,1,arriv
1,1,loader
1,1,apache
1,1,rbranson
2,1,columnfamilyinputformat
4,2,duplic
1,1,java
9,8,mark
1,1,json
14,14,keyspac
1,1,listen_address
1,1,wait
3,3,strategi
3,2,handoff
1,1,shuffl
6,2,bulk
