TF,DF,Word
2,1,comment
3,3,code
2,1,protocol
1,1,queri
1,1,page
3,1,reboot
2,2,concurr
1,1,kill
6,4,gossip
1,1,disk
9,5,compact
2,2,write
2,1,uuid
2,2,stackoverflowerror
2,2,cache
1,1,activ
1,1,descript
1,1,send
1,1,grace
2,1,hector
1,1,window
2,2,board
1,1,jvm
5,2,stable
1,1,save
1,1,gossipstag
1,1,alter
3,3,introduc
3,1,crash
1,1,measur
4,3,read
2,1,timestamp
1,1,express
1,1,none
5,4,break
1,1,respond
1,1,rest
2,1,condit
1,1,report
1,1,ticket
1,1,leveledcompactionstrategi
1,1,discuss
1,1,endless
2,2,insert
1,1,emb
3,1,--
3,1,list
1,1,elaps
5,3,server
2,1,cqlsh
2,2,collect
3,2,token
1,1,race
3,3,follow
8,5,timeout
1,1,contain
1,1,complet
2,2,side
2,2,tombston
2,1,everyth
1,1,replac
1,1,startup
1,1,continu
2,2,consequ
3,2,second
1,1,databas
6,4,flush
4,3,fail
5,4,happen
4,4,subject
4,3,assertionerror
4,3,index
1,1,get_range_slic
1,1,detect
1,1,network
2,2,lead
1,1,repli
4,3,someth
1,1,stagger
1,1,roundrobinschedul
2,2,delet
2,2,state
1,1,version
2,1,settl
1,1,get_count
1,1,reproduc
2,2,method
1,1,shut
4,3,migrat
1,1,gener
2,2,situat
1,1,storageproxi
1,1,reason
2,2,add
1,1,key
3,3,trunk
1,1,apache
5,5,wait
5,2,session
8,6,thread
1,1,synchron
1,1,respons
2,2,manag
2,2,queue
1,1,amount
1,1,base
1,1,braf
2,1,neighbor
1,1,commit
1,1,corrupt
1,1,backup
13,6,block
8,7,oper
22,12,repair
1,1,rang
2,1,writer
1,1,schedul
1,1,prefer
4,2,number
2,2,upgrad
1,1,distinguish
3,2,memtabl
1,1,long
2,1,shutdown
2,2,instal
1,1,ring
2,2,custom
1,1,assum
1,1,size
3,3,creat
2,2,memori
1,1,support
2,2,system
1,1,submit
2,2,mark
1,1,compon
6,5,start
1,1,keyspac
1,1,includ
1,1,accept
1,1,cl.one
1,1,minor
2,2,schema
1,1,followup
1,1,setup
1,1,cope
1,1,system.log
1,1,hundr
1,1,worker
1,1,stress
2,1,multithread
1,1,coordin
1,1,satur
2,1,hintscolumnfamili
4,1,compar
1,1,slicerang
1,1,bug
1,1,count
5,3,exception
1,1,join
1,1,consist
1,1,packag
2,2,default
1,1,remov
5,4,work
1,1,tree
1,1,record
1,1,calcul
1,1,stall
1,1,limit
2,2,error
3,3,problem
7,6,deadlock
5,4,loop
9,6,bootstrap
3,2,stream
4,3,give
1,1,process
4,2,lock
2,2,tabl
2,1,argument
1,1,indic
10,8,cluster
2,2,expir
1,1,increment
2,1,calculatependingrang
1,1,optionaltask
9,4,mutat
4,4,perform
2,1,boot
2,2,detail
1,1,note
1,1,handl
2,1,valid
6,6,test
2,1,datacent
2,2,noth
1,1,rpc_timeout
3,3,updat
22,16,node
1,1,simplifi
1,1,finish
1,1,scrub
1,1,sequenc
27,20,hang
1,1,stay
1,1,slice
1,1,user
8,5,phase
1,1,end
5,4,data
2,1,class
1,1,keep
1,1,alloc
1,1,task
2,2,attempt
1,1,quorum
3,2,directori
3,2,counter
5,4,request
4,3,issu
1,1,snapshot
1,1,hsha
4,4,time
1,1,readcallback
2,2,commitlog
1,1,degrad
1,1,section
1,1,threadpoolexecutor
