TF,DF,Word
2,2,oper
2,1,protocol
2,2,help
1,1,show
7,4,queri
2,2,move
1,1,detail
3,3,report
2,1,overlap
2,2,threshold
1,1,follow
1,1,keycach
1,1,impact
5,4,hint
2,1,polici
1,1,solut
1,1,send
1,1,add
1,1,latenc
1,1,recov
1,1,requir
2,2,stable
1,1,sens
1,1,corrupt
1,1,alter
1,1,introduc
1,1,applic
2,2,sourc
1,1,crash
1,1,pull
5,4,read
1,1,none
1,1,failur
1,1,increas
2,2,restart
1,1,endless
1,1,insert
1,1,workload
2,2,drop
1,1,list
3,2,server
2,2,collect
1,1,valv
2,1,race
3,2,timeout
1,1,contain
2,1,page
1,1,mean
1,1,prevent
1,1,exceed
1,1,dump
1,1,startup
1,1,idea
1,1,rate
4,4,pressur
1,1,expect
1,1,flush
4,3,fail
1,1,stack
2,1,subject
1,1,index
2,2,disk
1,1,appear
1,1,descriptor
1,1,leak
1,1,someth
2,2,overload
1,1,outofmemori
1,1,delet
2,1,state
2,1,version
1,1,progress
1,1,reproduc
1,1,method
1,1,machin
7,2,compact
2,2,throttl
2,2,hang
1,1,garbag
1,1,cascad
1,1,situat
1,1,base
1,1,promot
2,1,key
1,1,trunk
1,1,ask
1,1,afterward
1,1,improve
1,1,protect
2,2,thread
1,1,announc
5,4,keep
4,2,queue
2,1,thing
1,1,degre
2,1,indexsummari
3,3,issu
2,1,alot
4,2,commit
1,1,chang
1,1,hsha
6,5,load
5,2,repair
2,1,rang
3,3,number
1,1,solv
1,1,array
1,1,total
1,1,assum
1,1,select
5,4,size
3,3,creat
2,1,crar
3,3,memori
1,1,transfer
2,1,system
1,1,messag
2,2,mark
3,3,start
3,2,spike
3,1,final
6,1,schema
3,2,handoff
2,1,claus
4,2,coordin
2,1,satur
2,1,count
1,1,outofmemory
2,2,exception
3,1,default
2,2,remov
1,1,work
4,4,batch
1,1,troubl
1,1,cursor
1,1,repro
2,1,replay
2,2,limit
1,1,error
4,4,problem
1,1,connect
1,1,memtabl
2,1,stream
1,1,process
2,1,calculatependingrang
8,5,cluster
2,2,file
2,2,tabl
1,1,attach
2,2,stress.java
4,3,mutat
1,1,suggest
1,1,custom
1,1,amount
8,5,write
1,1,field
1,1,gossip
4,3,test
1,1,channel
1,1,updat
21,11,node
1,1,product
1,1,finish
1,1,context
1,1,track
1,1,reach
1,1,stay
1,1,fragment
1,1,slice
3,2,user
2,2,phase
6,6,data
1,1,class
1,1,averag
2,1,reduc
1,1,stress
2,2,attempt
2,1,space
5,3,request
1,1,supercolumn
1,1,text
1,1,allow
5,4,time
1,1,push
2,1,everyth
