TF,DF,Word
22,19,code
6,6,columnfamili
28,22,queri
1,1,storageservic
3,3,consum
1,1,stumbl
1,1,sleep
3,2,overlap
3,2,abil
15,15,follow
7,6,disk
103,55,compact
1,1,profil
4,4,segment
3,3,java.lang.assertionerror
2,2,gossipinfo
111,64,stable
1,1,sens
3,3,spec
9,9,introduc
1,1,sourc
1,1,risk
9,8,replic
3,3,fals
1,1,void
5,4,multi
1,1,datatrack
5,2,candid
14,12,failur
11,11,ticket
1,1,bottleneck
5,5,implement
3,2,randompartition
7,6,misplac
2,2,level
1,1,--
2,2,compactionstat
20,16,list
12,9,iter
2,2,compositetyp
2,2,compactio
5,4,adjust
2,2,math
4,4,replication_factor
7,4,rack
7,6,prevent
1,1,impli
2,2,direct
3,2,get_paged_slic
4,3,jump
46,38,consequ
11,10,second
1,1,pressur
3,3,design
38,24,gossip
1,1,widerow
1,1,port
4,2,compat
66,37,index
9,9,appear
20,12,compar
1,1,strategy_opt
1,1,overload
3,3,access
40,25,delet
17,14,version
1,1,suspect
1,1,get_count
3,2,describe_r
15,14,method
6,4,metadata
7,6,involv
2,1,elimin
5,4,hash
25,19,gener
4,4,hintedhandoff
2,2,satisfi
1,1,failuredetector
10,8,address
1,1,bulkload
11,9,path
1,1,ineffici
44,24,valu
18,15,thrift
2,2,box
1,1,search
3,2,sender
1,1,bytebufferutil
2,2,convict
4,2,queue
4,4,amount
6,6,throughput
2,2,behav
3,3,california
39,32,chang
1,1,transact
2,2,chanc
2,2,varint
5,5,writer
2,2,getlocaldeletiontim
2,2,slicerang
1,1,prefer
7,7,put
1,1,boolean
1,1,accret
1,1,marker
3,3,instal
3,2,bulkoutputformat
9,7,select
19,14,memori
8,6,scan
28,18,upgrad
1,1,pre-alloc
1,1,handler
1,1,overhead
16,12,handl
1,1,datastax
13,9,type
46,37,start
2,2,minor
7,6,sort
3,2,minim
1,1,python
3,3,peopl
1,1,brisk
4,3,claus
2,2,mismatch
10,10,notic
1,1,hurt
1,1,warn
2,2,chararray
2,2,warm
10,5,accept
2,2,examin
4,4,loss
10,8,endpoint
12,7,join
3,3,setup
36,28,work
2,2,uniqu
2,2,repro
3,2,system.p
3,2,fetch
2,2,complain
7,6,control
52,28,stream
25,21,give
13,12,process
3,2,lock
3,3,share
4,1,shard
1,1,indic
8,7,tabl
2,2,refus
22,15,serial
1,1,optionaltask
1,1,countercolumn
12,9,filter
8,7,end
3,3,quot
7,5,paxo
36,27,write
4,4,purg
2,1,sever
3,2,streamoutsess
1,1,ancestor
12,7,config
34,22,updat
2,2,regener
2,2,product
1,1,rebas
1,1,mess
3,2,resultset
2,2,reflect
1,1,mbean
1,1,discard
1,1,multipl
2,2,suck
6,5,bloom
6,5,grow
3,2,consistencylevel
2,2,alloc
4,3,short
15,14,attempt
2,2,bind
2,2,subsnitch
16,10,counter
5,5,produc
25,23,issu
10,9,receiv
3,3,switch
5,4,environ
12,11,allow
1,1,suggest
5,3,perrowsecondaryindex
20,13,order
1,1,talk
1,1,jira
1,1,poor
4,3,help
2,1,propertyfilesnitch
18,11,move
2,2,cross
1,1,columnfamilystor
23,20,report
1,1,deletedcolumn
2,2,ttl
1,1,bulkrecordwrit
8,7,digest
1,1,dont
3,2,delay
2,2,group
5,2,uuid
2,2,binari
1,1,polici
9,9,send
5,5,defin
1,1,segfault
5,4,window
4,4,pend
1,1,requir
1,1,bypass
2,2,persist
5,5,mail
6,4,alter
39,30,return
1,1,mmap
2,1,fragment
4,4,auto
4,3,initi
38,33,break
4,2,half
1,1,outofmemori
11,11,discuss
3,3,introduct
1,1,down
7,5,workload
33,22,name
1,1,anyth
2,2,perspect
1,1,troubleshoot
19,14,drop
2,1,authent
36,21,token
8,7,mode
14,10,timeout
4,3,side
7,5,truncat
21,19,mean
1,1,compil
1,1,weight
7,3,replac
2,2,chunk
4,4,continu
4,4,ensur
21,17,replay
16,12,connect
1,1,recompact
39,36,happen
22,18,ring
2,2,columncount
3,3,network
2,2,space
2,2,open
1,1,loadbal
2,2,content
2,2,race
1,1,print
1,1,correct
1,1,page=com.atlassian.jira.plugin.system.issuetabpanel
1,1,foreground
3,2,bytestyp
3,2,migrat
1,1,dynamicendpointsnitch
3,3,situat
1,1,effect
7,7,reason
4,4,base
1,1,get_indexed_slic
1,1,theori
1,1,murmur
2,2,utftyp
9,7,byte
2,2,afterward
1,1,care
1,1,thrift-
23,14,thread
2,1,launch
1,1,focusedcommentid=
2,2,synchron
2,2,storageproxy.java
19,15,keep
4,2,recov
5,5,thing
1,1,length
1,1,enforc
3,2,ecsnitch
5,3,regress
1,1,distinguish
6,5,assign
1,1,first
62,53,oper
12,11,info
41,28,rang
4,4,notifi
1,1,feel
21,18,number
3,3,one
1,1,submit
5,4,array
3,2,agre
20,15,miss
1,1,primari
23,16,size
3,3,differ
2,2,workaround
5,4,script
73,54,data
2,2,collationcontrol
9,7,system
28,18,messag
2,2,parallel
3,3,attach
1,1,averag
3,2,disagr
2,1,final
8,7,store
19,12,schema
4,2,ballot
8,7,option
2,2,boostrap
1,1,cope
1,1,orphan
1,1,tool
5,4,copi
2,2,stress
3,3,sync
3,3,blacklist
1,1,atomicsortedcolumn
2,1,drain
2,1,pars
1,1,hintscolumnfamili
2,1,domin
2,2,grace
1,1,symptom
1,1,serv
2,2,past
1,1,grep
6,5,target
2,1,outboundtcpconnect
3,2,remot
26,18,remov
12,6,tree
4,4,rate
1,1,structur
5,2,charact
1,1,project
2,2,reus
2,2,friend
1,1,reclaim
3,2,consumpt
4,2,ksdef
2,2,misunderstand
1,1,seri
6,4,deliveri
24,15,bootstrap
1,1,comput
14,12,argument
53,47,fail
2,2,seed
5,4,expir
3,3,increment
5,4,close
2,2,cfhistogram
1,1,null
5,4,seek
2,2,abstractcolumnfamilyinputformat
1,1,callback
2,2,violat
2,2,wipe
2,2,brandon
3,3,note
1,1,.
12,11,exampl
7,6,build
1,1,evalu
1,1,discrep
1,1,combin
10,8,datacent
28,25,subject
4,3,text
12,10,noth
1,1,channel
2,2,noformat
1,1,simplifi
3,3,begin
2,2,toler
7,2,distribut
4,3,trace
2,2,deploy
6,5,buffer
4,2,subcolumn
6,6,object
6,5,reach
3,2,crash
3,3,removetoken
6,5,phase
3,2,rack/dc
35,28,class
2,2,tomston
1,1,allevi
2,1,renam
10,7,quorum
2,2,accord
5,5,partition
20,17,request
2,2,face
5,3,snapshot
3,2,refresh
10,9,clean
1,1,readcallback
4,3,commitlog
2,2,notion
4,4,fact
2,2,threadpoolexecutor
14,13,show
3,3,particip
1,1,random
1,1,anyway
2,2,syntax
10,7,session
1,1,column_metadata
5,4,threshold
4,4,clock
2,2,impact
7,7,current
5,4,locat
2,1,rowmut
3,3,explain
57,28,cache
4,3,releas
1,1,forev
1,1,hector
11,8,latenc
4,4,factor
16,12,count
5,5,beat
2,2,express
6,5,secondari
1,1,solut
2,2,mainten
6,6,increas
29,26,restart
5,1,mapper
7,3,hostid
1,1,emb
1,1,bisect
8,8,patch
1,1,provid
7,3,partit
13,13,contain
3,3,summari
1,1,respond
5,4,kernel
2,2,dump
13,11,startup
2,2,dsnitch
1,1,datatyp
5,4,corrupt
7,6,wait
4,3,concern
2,1,get_range_slic
18,18,detect
7,7,someth
2,2,misus
3,3,dtest
1,1,runnabl
27,20,state
7,5,progress
1,1,experi
2,2,email
1,1,balanc
1,1,inabl
2,2,assumpt
1,1,right
6,5,ask
2,1,isol
6,4,popul
1,1,bloomfilt
1,1,succeed
22,18,key
1,1,dynamicsnitch
1,1,solv
3,2,cfdef
2,2,addit
6,6,protect
1,1,fault
14,8,region
2,2,queryfilter.isrelev
3,2,cfstore
2,2,context
6,4,logic
26,19,load
4,3,author
4,2,schedul
21,16,trunk
4,4,period
1,1,loader
5,4,header
5,4,shutdown
5,5,suppli
6,4,respect
10,9,assum
5,5,duplic
2,2,divid
1,1,devic
4,3,empti
2,2,describeownership
3,2,compon
1,1,accumul
5,3,json
18,14,keyspac
1,1,listen_address
22,20,improve
11,9,strategi
1,1,followup
8,8,handoff
1,1,serializingcach
3,2,fire
3,3,system.log
2,2,thousand
4,3,resolut
1,1,convert
2,2,cachewrit
4,4,bulk
3,3,coordin
8,7,understand
4,3,predic
2,2,convers
1,1,outofmemory
67,52,exception
2,2,rangeslicecommand
1,1,packag
3,2,messagingservice.java
4,2,properti
29,18,batch
7,5,cast
19,16,calcul
2,2,kick
47,38,error
7,7,decreas
10,8,loop
2,1,local_on
3,2,propag
10,7,memtabl
2,2,amoun
2,1,leveledmanifest
13,10,deliv
1,1,activ
1,1,multithread
73,55,cluster
2,2,conf
4,3,expiringcolumn
1,1,precompactedrow
2,2,disappear
1,1,disabl
8,7,mutat
1,1,incomingtcpconnect
6,6,perform
2,2,lazilycompactedrow
8,5,hadoop
3,1,member
4,3,preserv
1,1,complex
4,2,decod
8,5,split
9,6,timestamp
1,1,document
2,2,networktopologystrategi
1,1,rpc_timeout
6,5,complet
1,1,indexsummari
10,10,finish
1,1,alot
8,8,optim
5,3,driver
1,1,someon
2,1,hand
2,1,bufferedrandomaccessfil
2,2,uuidgen
4,4,rais
5,5,user
2,2,ownership
3,3,ismarkedfordelet
2,2,stack
1,1,tune
1,1,dtestbot
12,9,task
4,4,scenario
7,7,entri
1,1,system.nanotim
1,1,messagingservic
10,10,command
1,1,wherebi
3,3,choos
2,2,everyth
2,1,interface
2,2,spend
2,1,sizeti
1,1,comment
1,1,apach
14,8,protocol
1,1,paus
2,2,execut
2,2,laptop
1,1,exclud
1,1,rest
2,2,kill
1,1,refactor
4,4,get_slic
1,1,keycach
7,4,columnfamilyrecordread
2,2,expos
48,24,hint
4,4,leveledcompactionstrategi
1,1,priorit
1,1,day
21,18,add
13,9,cleanup
15,13,board
2,1,countpendinghint
5,5,input
5,5,save
8,7,match
1,1,timeuuid
3,3,rememb
6,5,format
54,40,read
3,2,rejoin
2,1,checksum
1,1,datacentersyncwriteresponsehandl
3,2,gc_grace
2,2,hibern
2,2,mapreduc
3,3,traffic
12,12,know
4,4,background
8,8,associ
1,1,detector
3,2,string
19,15,insert
1,1,cfmetadata
1,1,resid
2,2,specif
3,2,fsync
2,1,whitespac
2,2,outag
3,3,elaps
25,21,server
6,5,cqlsh
11,6,collect
1,1,cascad
1,1,bunch
4,4,output
2,2,hand-off
5,3,manag
33,19,tombston
2,1,intervaltre
1,1,exceed
3,2,revers
1,1,captur
1,1,interv
3,2,intern
2,2,export
2,2,integ
29,20,flush
2,2,manifest
1,1,constitut
9,9,assertionerror
1,1,and/or
24,20,lead
6,5,leak
15,14,avoid
1,1,definit
1,1,post-compact
1,1,roundrobinschedul
7,6,track
4,3,estim
2,1,exit
2,1,settl
6,6,condit
1,1,commitlogseg
18,18,reproduc
6,5,topolog
1,1,trap
5,4,machin
2,2,investig
8,6,throttl
1,1,drift
2,1,garbag
1,1,agreement
5,5,broken
6,6,step
3,3,promot
5,4,offset
4,2,peer
1,1,post
2,2,subtract
11,9,throw
4,4,comparison
2,2,socket
2,2,reappear
1,1,commun
2,1,choke
3,2,page
15,11,degre
2,2,handlestatenorm
3,2,neighbor
4,4,constructor
27,19,commit
1,1,backup
2,2,nullpointerexception
9,9,block
72,38,repair
2,2,happ
1,1,meteredflush
1,1,encount
6,4,encod
1,1,commutativerowindex
1,1,dataset
1,1,co-ordin
2,1,pair
2,1,guard
2,2,doesnt
2,2,wrap
19,16,mark
6,5,hang
1,1,merg
4,3,jdbc
4,4,prepar
3,2,transfer
12,12,support
1,1,question
2,2,tokenmetadata
4,4,long
9,6,custom
1,1,avail
3,3,storageproxi
3,3,reli
4,4,trigger
14,12,includ
3,2,forward
1,1,mapr
6,5,:
4,4,function
1,1,ghost
1,1,scale
4,3,deseri
3,3,forc
1,1,spike
1,1,idea
10,6,skip
3,3,gain
1,1,atom
1,1,overflow
3,3,bug
2,2,driftx
5,5,reset
1,1,pull
3,2,consist
16,15,default
4,4,wish
7,3,bucket
3,2,maximum
5,2,cl.one
5,5,record
2,2,stacktrac
15,9,limit
1,1,inet
1,1,rpc_address
8,6,sampl
38,33,problem
6,5,bytebuff
9,9,expect
4,4,featur
43,37,creat
2,2,int
1,1,reconcili
2,2,abstract
3,2,arraybackedsortedcolumn
2,1,decoratedkey
1,1,leveledcompact
1,1,descriptor
17,15,replica
14,11,exist
35,27,file
2,2,proport
21,18,check
4,3,fill
1,1,concurr
1,1,encrypt
3,3,titl
2,1,dynamiccompositetyp
7,7,detail
8,5,invalid
2,2,field
13,8,valid
1,1,futur
4,4,branch
42,41,test
2,2,hundr
245,130,node
3,2,variabl
2,2,stat
12,9,repeat
4,2,scrub
2,2,sequenc
2,2,flusher
10,9,stay
16,9,slice
18,12,snitch
5,3,pool
8,8,reduc
6,6,assert
1,1,filestreamtask
4,4,directori
1,1,compactionmanag
3,2,cfrr
1,1,descript
2,2,flag
2,2,rule
6,5,supercolumn
5,5,ignor
1,1,compressionmetadata
40,36,time
12,7,decommiss
2,2,degrad
