TF,DF,Word
9,8,code
8,6,columnfamili
2,2,skip
4,2,consum
1,1,post-compact
3,2,abil
8,5,gossip
9,8,disk
65,39,compact
3,3,profil
1,1,accret
54,36,stable
5,5,sens
1,1,gossipstag
1,1,introduc
2,2,sourc
2,2,string
1,1,fals
1,1,void
1,1,offlin
2,2,candid
7,4,failur
3,3,ticket
2,2,bottleneck
2,2,misplac
5,4,list
1,1,adjust
1,1,page=com.atlassian.jira.plugin.system.issuetabpanel
4,4,prevent
2,2,direct
4,3,jump
8,7,consequ
2,2,rate
2,2,leakag
2,1,design
1,1,follow
1,1,port
1,1,hadoop-
1,1,compat
39,16,index
4,4,appear
3,2,compar
2,1,clock
3,3,overload
15,15,current
5,4,delet
1,1,version
2,1,get_count
8,7,method
2,2,metadata
3,3,impact
1,1,elimin
2,2,full
4,2,hash
3,3,gener
1,1,satisfi
3,2,trunk
1,1,bulkload
9,8,path
8,7,valu
1,1,wait
1,1,convert
1,1,sender
1,1,bytebufferutil
5,4,checksum
10,5,queue
10,9,amount
3,2,throughput
1,1,action
17,12,chang
2,2,chanc
3,2,control
8,7,writer
1,1,solut
1,1,prefer
1,1,expect
5,5,send
1,1,marker
1,1,total
1,1,select
1,1,crar
25,19,memori
7,6,scan
3,1,pre-alloc
3,3,overhead
2,2,cl.one
6,3,sort
2,2,minim
3,2,peopl
2,2,hundr
3,3,notic
1,1,hurt
3,1,loss
2,2,none
1,1,endpoint
4,2,prepar
11,10,work
1,1,descriptor
1,1,fetch
2,2,performanc
1,1,varint
1,1,prompt
27,14,stream
15,14,give
8,7,process
5,5,lock
3,3,share
1,1,shard
2,2,indic
3,2,recycl
6,5,serial
2,2,countercolumn
2,2,recov
1,1,end
1,1,divid
1,1,paxo
1,1,delay
3,3,purg
3,1,ancestor
4,4,config
5,5,updat
2,2,product
1,1,rebas
1,1,mess
1,1,shuffl
3,3,associ
4,4,grow
1,1,averag
16,10,alloc
1,1,domin
2,2,practic
7,4,bootstrap
1,1,exclud
12,10,issu
11,11,perform
2,2,switch
1,1,combin
19,16,allow
4,4,order
2,2,talk
1,1,jira
1,1,composit
2,2,help
9,9,move
1,1,major
6,6,report
1,1,deletedcolumn
1,1,ttl
2,2,cold
3,3,digest
1,1,bunch
33,22,write
1,1,group
2,2,uuid
2,2,fit
2,1,polici
3,2,window
8,6,requir
2,1,persist
5,4,mail
4,4,return
8,7,handl
9,5,timestamp
1,1,initi
2,2,wast
5,5,break
2,1,day
1,1,introduct
1,1,mapreduc
2,2,name
1,1,map/reduc
1,1,perspect
10,8,drop
2,2,token
1,1,mode
6,3,timeout
2,2,side
9,9,mean
1,1,failov
1,1,harm
1,1,weight
6,6,replac
6,4,chunk
1,1,idea
2,1,ensur
2,2,replay
3,3,connect
2,2,recompact
7,6,happen
2,2,ring
4,3,network
9,9,space
1,1,reboot
3,2,content
3,2,rewrit
2,2,reader
1,1,print
1,1,correct
1,1,math
1,1,foreground
2,2,concurrentmap
6,3,migrat
1,1,hang
3,3,situat
2,2,ineffici
6,6,reason
17,12,base
1,1,theori
1,1,murmur
1,1,ask
23,13,byte
11,8,thread
2,2,frequenc
1,1,focusedcommentid=
2,2,synchron
2,2,refus
20,16,keep
15,11,filter
5,4,thing
2,2,length
2,2,regress
1,1,view
2,2,confus
1,1,assign
35,32,oper
18,11,rang
3,3,feel
10,8,number
1,1,one
1,1,restrict
1,1,cursor
10,8,array
1,1,open
24,18,size
1,1,prioriti
1,1,differ
3,2,workaround
2,2,storageproxi
8,6,bloom
3,2,licens
6,5,system
15,10,messag
2,2,parallel
2,2,attach
2,1,outag
9,8,store
6,4,schema
9,8,option
1,1,boostrap
2,2,cope
