TF,DF,Word
3,3,code
4,4,columnfamili
6,5,queri
2,2,storageservic
1,1,consum
1,1,sleep
5,5,follow
45,22,compact
4,2,send
12,9,stable
1,1,fatal
1,1,introduc
2,1,sourc
1,1,multi
5,5,failur
1,1,ticket
1,1,runnabl
1,1,misplac
6,5,list
31,25,race
6,6,prevent
2,1,sync
2,1,jump
4,4,consequ
1,1,second
1,1,pressur
14,9,gossip
1,1,widerow
19,7,index
1,1,appear
1,1,clock
1,1,access
16,11,delet
12,5,version
1,1,suspect
1,1,method
1,1,metadata
4,3,gener
1,1,hintedhandoff
1,1,satisfi
1,1,address
1,1,bulkload
1,1,path
5,4,valu
2,2,wait
1,1,queue
2,2,amount
1,1,implement
1,1,hsha
1,1,writer
1,1,put
4,3,startup
1,1,marker
3,3,memori
2,1,handler
1,1,flap
2,2,claus
1,1,mismatch
2,2,notic
2,2,none
3,1,endpoint
3,3,setup
3,3,work
1,1,leveledcompactiontask
2,1,descriptor
1,1,control
9,6,stream
6,6,give
7,7,process
5,3,lock
2,2,share
5,2,shard
1,1,indic
2,2,serial
1,1,countercolumn
5,3,recov
1,1,freshli
1,1,quot
10,7,write
2,2,config
5,4,updat
1,1,hintedhandoffmanag
2,2,discard
6,6,associ
1,1,parallel
3,3,stress
7,6,attempt
9,5,bootstrap
6,5,issu
2,2,receiv
1,1,switch
1,1,allow
3,3,order
1,1,help
4,3,move
2,2,rang
5,5,report
3,2,digest
1,1,bunch
1,1,","
1,1,wipe
1,1,segfault
5,3,window
1,1,persist
2,2,mail
2,2,might
1,1,alter
9,6,return
3,3,handl
2,2,safe
3,3,initi
4,4,break
2,2,discuss
3,3,name
2,2,anyth
3,2,drop
9,6,token
2,2,timeout
3,2,truncat
1,1,mean
2,1,replac
2,1,continu
2,2,replay
1,1,connect
15,13,happen
1,1,space
4,4,miss
1,1,shut
8,5,migrat
6,4,hang
1,1,situat
1,1,someon
2,2,releas
19,11,thread
1,1,synchron
1,1,refus
5,3,keep
2,2,filter
2,2,thing
2,1,heartbeat
2,2,assign
2,2,first
17,14,oper
1,1,major
1,1,dont
1,1,number
1,1,restrict
3,2,ring
4,2,open
1,1,primari
3,2,size
2,2,bloom
5,4,system
4,4,messag
3,3,attach
2,2,store
14,7,schema
1,1,option
3,2,orphan
4,3,task
2,1,hintscolumnfamili
1,1,grep
2,1,target
3,3,remov
1,1,tree
4,2,charact
2,2,reus
1,1,consumpt
12,6,counter
5,4,corrupt
3,1,seed
4,3,expir
1,1,increment
1,1,deliv
1,1,callback
2,1,violat
2,2,note
5,4,build
3,2,datacent
3,2,noth
2,2,begin
3,3,trace
1,1,subcolumn
1,1,object
5,3,phase
2,1,segment
11,7,class
2,1,renam
1,1,partition
4,2,request
1,1,face
2,2,snapshot
5,4,commitlog
1,1,show
1,1,anyway
6,6,concurr
14,10,data
1,1,compactionexecutor
3,3,involv
1,1,transact
7,4,cache
1,1,activ
1,1,hector
1,1,latenc
1,1,info
1,1,mail.gmail.com
3,2,increas
7,6,restart
1,1,patch
1,1,grab
1,1,movement
1,1,view
2,2,kernel
1,1,frame
2,2,datatrack
6,2,respons
18,14,fail
2,2,close
4,4,subject
10,7,detect
2,2,someth
2,2,dtest
9,7,state
1,1,stall
1,1,progress
1,1,assumpt
1,1,isol
1,1,dynamicsnitch
1,1,solv
1,1,fault
2,1,region
1,1,cfstore
1,1,context
1,1,evict
7,5,load
1,1,arriv
1,1,header
6,5,assum
2,2,duplic
2,2,java
1,1,perpetu
4,4,mark
2,1,compon
2,1,json
4,3,trigger
3,2,strategi
4,3,handoff
1,1,fire
1,1,worker
5,4,assert
3,1,coordin
1,1,replic
36,25,exception
7,4,batch
1,1,outofmemori
3,3,calcul
16,14,error
1,1,loop
3,3,propag
5,4,memtabl
5,3,tabl
29,23,cluster
1,1,disappear
4,4,mutat
6,6,perform
2,1,lazilycompactedrow
1,1,member
2,2,preserv
1,1,conflict
1,1,complet
1,1,week
1,1,driver
1,1,effect
1,1,rais
2,1,user
2,2,stack
1,1,dtestbot
3,1,drain
1,1,scenario
2,2,exampl
3,3,command
1,1,wherebi
3,2,everyth
2,1,protocol
2,2,execut
11,5,hint
2,2,day
7,7,add
3,3,board
1,1,timeuuid
5,5,insert
7,6,read
3,3,know
2,2,background
1,1,leveledcompactionstrategi
1,1,loss
1,1,elaps
1,1,manifest
2,1,page
3,2,tombston
2,2,encount
1,1,captur
1,1,intern
17,9,flush
10,8,server
2,1,librari
4,3,assertionerror
2,2,slice
4,3,lead
2,1,overlap
19,16,condit
3,3,reproduc
1,1,localhost
1,1,refer
1,1,machin
1,1,throttl
1,1,agreement
1,1,step
1,1,post
2,2,throw
2,2,session
2,1,socket
1,1,reappear
1,1,commun
1,1,degre
1,1,neighbor
4,2,commit
2,1,backup
1,1,produc
5,4,block
17,11,repair
11,9,chang
4,3,announc
4,1,merg
1,1,support
7,4,custom
11,9,start
1,1,reli
5,3,keyspac
1,1,:
3,3,count
1,1,pull
2,1,consist
1,1,possibl
3,2,default
12,10,problem
2,2,deadlock
21,15,creat
2,1,decoratedkey
1,1,leveledcompact
1,1,replica
4,4,exist
19,12,file
1,1,proport
3,3,check
1,1,titl
1,1,detail
5,3,cleanup
2,2,branch
21,16,test
60,29,node
1,1,scrub
1,1,gigabyt
1,1,sequenc
1,1,stay
2,1,multithread
2,1,directori
2,2,supercolumn
15,13,time
1,1,push
4,2,decommiss
