TF,DF,Word
1,1,code
6,4,queri
5,4,consum
1,1,overlap
3,2,gossip
9,5,disk
16,10,compact
1,1,jvm
25,13,stable
1,1,introduc
1,1,sourc
1,1,string
5,3,failur
1,1,level
4,2,list
2,2,race
4,4,prevent
1,1,direct
3,2,consequ
1,1,rate
3,3,pressur
1,1,follow
6,4,index
1,1,appear
4,4,outofmemori
1,1,overload
3,2,access
1,1,delet
1,1,version
1,1,method
1,1,impact
1,1,gener
1,1,hintedhandoff
4,3,trunk
3,2,valv
9,4,valu
2,2,thrift
1,1,sender
5,2,queue
2,2,amount
1,1,action
2,1,reclaim
1,1,solut
1,1,ask
1,1,marker
1,1,total
2,2,select
2,1,crar
36,22,memori
1,1,give
2,2,upgrad
2,1,handler
1,1,spike
1,1,type
1,1,tell
1,1,flap
1,1,notic
2,2,columnfamilyoutputformat
2,1,endpoint
3,1,prepar
4,3,work
1,1,descriptor
2,1,fetch
1,1,control
4,3,stream
1,1,scan
3,3,process
1,1,share
2,2,recov
1,1,end
13,10,write
3,1,ancestor
1,1,perspect
1,1,updat
1,1,bloom
1,1,grow
1,1,averag
2,2,stress
5,4,attempt
1,1,practic
1,1,bind
4,1,bootstrap
6,6,issu
1,1,callback
2,1,environ
2,2,allow
1,1,talk
1,1,help
2,2,move
1,1,columnfamilystor
5,5,report
1,1,delay
2,1,window
1,1,return
1,1,fragment
1,1,timestamp
2,2,wast
1,1,break
1,1,workload
1,1,name
1,1,anyth
3,3,config
3,3,drop
1,1,revert
2,1,incomingtcpconnect
1,1,trap
3,2,timeout
1,1,debug
1,1,side
1,1,replac
3,2,chunk
1,1,continu
1,1,replay
3,3,connect
4,3,happen
4,3,array
1,1,variabl
1,1,network
9,6,space
1,1,content
1,1,rewrit
1,1,adjust
1,1,shut
1,1,situat
1,1,reason
1,1,base
3,2,releas
1,1,byte
7,6,thread
1,1,put
11,10,keep
1,1,filter
2,1,thing
1,1,heartbeat
1,1,assign
13,12,oper
4,2,rang
6,4,number
3,3,ring
1,1,open
14,12,size
1,1,storageproxi
9,9,data
4,3,system
4,2,messag
1,1,attach
3,1,final
1,1,store
1,1,option
1,1,startup
2,1,tool
10,5,alloc
1,1,drain
2,1,outboundtcpconnect
5,5,remov
2,2,second
1,1,leakag
1,1,consumpt
2,1,counter
10,3,argument
2,2,tabl
2,2,note
4,4,exampl
1,1,build
1,1,combin
2,2,noth
1,1,channel
2,2,begin
34,18,node
1,1,trace
6,4,buffer
3,2,object
3,3,reach
2,2,phase
1,1,segment
11,9,class
1,1,allevi
4,4,request
1,1,clean
3,1,commitlog
1,1,fact
2,2,show
1,1,text
1,1,concurr
1,1,threshold
1,1,compactionexecutor
3,3,involv
1,1,current
1,1,locat
12,10,cache
2,2,activ
1,1,expiringmap
1,1,express
3,3,handoff
1,1,increas
5,4,restart
1,1,patch
4,2,partit
2,2,contain
1,1,summari
5,4,dump
1,1,datatrack
13,9,fail
7,7,subject
8,8,detect
1,1,databas
1,1,someth
4,3,state
1,1,experi
1,1,condit
6,4,key
1,1,bloomfilt
2,2,improve
1,1,protect
1,1,fault
1,1,region
2,1,alot
1,1,evict
1,1,comment
1,1,author
2,2,address
1,1,period
1,1,header
1,1,linux
2,2,assum
1,1,duplic
1,1,java
3,2,evalu
1,1,.
1,1,accumul
1,1,json
2,2,keyspac
1,1,strategi
1,1,serializingcach
1,1,thousand
1,1,multithread
1,1,coordin
5,4,outofmemory
12,9,exception
1,1,mount
16,15,batch
1,1,durat
1,1,cursor
1,1,defin
2,1,calcul
3,3,error
3,3,memtabl
7,7,cluster
2,1,slaballoc
5,3,crash
6,4,mutat
1,1,minim
1,1,perform
1,1,suggest
1,1,hadoop
4,4,handl
1,1,conflict
3,2,indexsummari
3,3,finish
1,1,context
1,1,optim
3,3,hang
2,2,rais
2,2,user
1,1,stack
1,1,tune
1,1,task
2,2,scenario
1,1,messagingservic
1,1,command
1,1,filesystem
1,1,model
1,1,spend
1,1,sizeti
5,5,load
2,1,protocol
3,2,paus
1,1,execut
1,1,kill
1,1,keycach
6,5,hint
2,1,mmap
3,3,add
2,2,board
1,1,countpendinghint
1,1,save
1,1,match
1,1,applic
3,2,format
7,6,read
1,1,know
2,2,leveledcompactionstrategi
1,1,insert
3,1,cfmetadata
7,5,server
1,1,collect
1,1,cascad
5,4,page
1,1,backlog
5,2,tombston
2,2,encount
1,1,sampl
7,4,flush
1,1,single-pass
2,2,slice
5,4,lead
10,7,leak
3,3,avoid
1,1,post-compact
1,1,track
1,1,estim
3,2,exit
1,1,convict
1,1,reproduc
4,3,refer
1,1,machin
1,1,compress
1,1,step
2,2,promot
3,2,offset
3,2,session
1,1,degre
2,1,neighbor
13,4,commit
4,3,block
9,6,repair
1,1,mark
2,2,custom
4,3,start
5,2,trigger
2,2,includ
1,1,columnfamilyinputformat
1,1,idea
1,1,count
1,1,pull
9,8,default
1,1,troubl
1,1,record
8,6,limit
6,6,problem
1,1,deadlock
2,2,expect
8,8,creat
1,1,arraybackedsortedcolumn
1,1,decreas
6,3,file
2,1,check
3,2,fill
1,1,phantom
2,2,detail
3,2,invalid
3,2,field
2,1,valid
10,8,test
1,1,poor
1,1,repeat
1,1,gigabyt
1,1,sequenc
2,2,stay
1,1,and/or
7,5,reduc
6,2,bulk
2,2,directori
2,1,compactionmanag
1,1,supercolumn
1,1,ignor
1,1,compressionmetadata
7,6,time
