IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,jira
0.5,0.5,1.0,1.0,deco
0.5,0.5,1.0,1.0,paus
0.5,0.5,1.0,1.0,consum
0.5,1.0,1.0,2.0,remov
0.5,1.0,1.0,2.0,tcp
0.5,0.5,1.0,1.0,detail
0.3333333333333333,0.6666666666666666,2.0,2.0,interrupt
0.5,1.0,1.0,2.0,runner
0.5,0.5,1.0,1.0,concurr
0.2,1.0,4.0,5.0,kill
0.5,1.0,1.0,2.0,multiplex
0.25,0.75,3.0,3.0,reconnect
0.5,2.0,1.0,4.0,hbase
0.3333333333333333,1.0,2.0,3.0,disk
0.5,0.5,1.0,1.0,pointer
0.3333333333333333,0.6666666666666666,2.0,2.0,help
0.5,0.5,1.0,1.0,depend
0.5,0.5,1.0,1.0,monitor
0.2,0.8,4.0,4.0,fix
0.5,0.5,1.0,1.0,writer
0.2,0.8,4.0,4.0,send
0.25,0.75,3.0,3.0,tail
0.0625,1.9375,15.0,31.0,sourc
0.5,0.5,1.0,1.0,downstream
0.16666666666666666,0.8333333333333333,5.0,5.0,handl
0.3333333333333333,1.0,2.0,3.0,auto
0.2,0.8,4.0,4.0,stop
0.3333333333333333,0.6666666666666666,2.0,2.0,break
0.5,0.5,1.0,1.0,mention
0.3333333333333333,1.6666666666666665,2.0,5.0,report
0.25,0.75,3.0,3.0,affect
0.5,0.5,1.0,1.0,bit
0.5,0.5,1.0,1.0,one
0.25,1.25,3.0,5.0,restart
0.5,0.5,1.0,1.0,loss
0.25,1.25,3.0,5.0,name
0.5,1.5,1.0,3.0,reopen
0.5,1.0,1.0,2.0,revert
0.5,0.5,1.0,1.0,server
0.25,1.0,3.0,4.0,race
0.2,1.4000000000000001,4.0,7.0,mode
0.3333333333333333,0.6666666666666666,2.0,2.0,timeout
0.5,1.0,1.0,2.0,output
0.5,0.5,1.0,1.0,lifecycle
0.3333333333333333,1.0,2.0,3.0,manag
0.5,0.5,1.0,1.0,truncat
0.3333333333333333,0.6666666666666666,2.0,2.0,respond
0.5,0.5,1.0,1.0,prevent
0.5,0.5,1.0,1.0,set
0.5,1.0,1.0,2.0,retransmit
0.5,1.0,1.0,2.0,seq
0.5,0.5,1.0,1.0,resum
0.5,1.0,1.0,2.0,naiv
0.16666666666666666,0.8333333333333333,5.0,5.0,continu
0.16666666666666666,1.1666666666666665,5.0,7.0,connect
0.5,0.5,1.0,1.0,someth
0.05,1.25,19.0,25.0,fail
0.08333333333333333,1.0,11.0,12.0,close
0.5,0.5,1.0,1.0,patch
0.07142857142857142,1.7857142857142856,13.0,25.0,collector
0.07692307692307693,1.076923076923077,12.0,14.0,event
0.25,1.25,3.0,5.0,append
0.5,0.5,1.0,1.0,out
0.2,1.6,4.0,8.0,hdfs
0.14285714285714285,1.0,6.0,7.0,detect
0.2,0.8,4.0,4.0,appear
0.5,1.0,1.0,2.0,space
0.5,0.5,1.0,1.0,function
0.5,0.5,1.0,1.0,assum
0.5,0.5,1.0,1.0,avoid
0.3333333333333333,1.6666666666666665,2.0,5.0,exec
0.5,0.5,1.0,1.0,content
0.5,0.5,1.0,1.0,delet
0.1111111111111111,0.8888888888888888,8.0,8.0,state
0.125,1.0,7.0,8.0,exit
0.1,1.6,9.0,16.0,channel
0.14285714285714285,1.1428571428571428,6.0,8.0,condit
0.3333333333333333,1.0,2.0,3.0,method
0.5,1.5,1.0,3.0,eechain
0.5,0.5,1.0,1.0,found
0.25,1.0,3.0,4.0,driver
0.5,0.5,1.0,1.0,lack
0.25,0.75,3.0,3.0,step
0.5,0.5,1.0,1.0,base
0.05,1.7000000000000002,19.0,34.0,sink
0.5,0.5,1.0,1.0,trunk
0.5,0.5,1.0,1.0,releas
0.25,1.0,3.0,4.0,throw
0.5,0.5,1.0,1.0,roller
0.3333333333333333,1.0,2.0,3.0,thrift
0.5,1.5,1.0,3.0,interceptor
0.1,1.2000000000000002,9.0,12.0,thread
0.25,0.75,3.0,3.0,put
0.25,1.0,3.0,4.0,recov
0.5,1.0,1.0,2.0,idl
0.3333333333333333,0.6666666666666666,2.0,2.0,instanc
0.5,0.5,1.0,1.0,sync
0.5,0.5,1.0,1.0,logic
0.5,1.0,1.0,2.0,heartbeat
0.2,1.0,4.0,5.0,implement
0.5,1.0,1.0,2.0,assign
0.1111111111111111,1.222222222222222,8.0,11.0,block
0.25,0.75,3.0,3.0,load
0.5,0.5,1.0,1.0,visit
0.5,0.5,1.0,1.0,surviv
0.25,0.75,3.0,3.0,expect
0.5,0.5,1.0,1.0,acquisit
0.25,1.5,3.0,6.0,rpc
0.5,1.0,1.0,2.0,legaci
0.25,1.0,3.0,4.0,shutdown
0.5,0.5,1.0,1.0,netcat
0.3333333333333333,0.6666666666666666,2.0,2.0,cancel
0.2,0.8,4.0,4.0,chang
0.5,1.0,1.0,2.0,poll
0.5,0.5,1.0,1.0,open
0.5,0.5,1.0,1.0,duplic
0.3333333333333333,0.6666666666666666,2.0,2.0,code
0.5,0.5,1.0,1.0,checkpoint
0.5,0.5,1.0,1.0,java
0.3333333333333333,0.6666666666666666,2.0,2.0,stream
0.3333333333333333,1.0,2.0,3.0,zip
0.3333333333333333,1.0,2.0,3.0,memori
0.2,0.8,4.0,4.0,transfer
0.5,0.5,1.0,1.0,decomiss
0.3333333333333333,1.3333333333333333,2.0,4.0,rotat
0.3333333333333333,1.0,2.0,3.0,system
0.16666666666666666,1.0,5.0,6.0,messag
0.5,0.5,1.0,1.0,custom
0.5,0.5,1.0,1.0,compon
0.3333333333333333,0.6666666666666666,2.0,2.0,attach
0.25,1.0,3.0,4.0,dfo
0.5,0.5,1.0,1.0,handler
0.2,1.6,4.0,8.0,call
0.1111111111111111,1.1111111111111112,8.0,10.0,master
0.14285714285714285,1.1428571428571428,6.0,8.0,start
0.5,0.5,1.0,1.0,abil
0.0625,1.1875,15.0,19.0,flume
0.3333333333333333,1.0,2.0,3.0,consol
0.3333333333333333,0.6666666666666666,2.0,2.0,relat
0.5,0.5,1.0,1.0,back
0.5,0.5,1.0,1.0,stick
0.5,0.5,1.0,1.0,termin
0.5,0.5,1.0,1.0,catch
0.14285714285714285,0.8571428571428571,6.0,6.0,hold
0.5,0.5,1.0,1.0,outofmemory
0.058823529411764705,1.4705882352941175,16.0,25.0,exception
