flume,entri,revert,sync,agent,elast,report,replay,result,file,close,serial,event,duplic,index,detect,multipl,coupl,memori,transfer,fix,node,reset,write,field,tail,pend,exit,pool,time,call,master,config,channel,updat,function,map,begin,sourc,rollback,exec,delet,executor,chang,crash,sink,background,input,put,end,hold,data,runnabl,restart,count,insert,search,thread,default,condit,servic,list,batch,order,queue,race,issu,error,commit,problem,complet,remov
0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,2.0,0,0,0,0,0,0
2.0,0,0,0,2.0,0,1.0,0,0,5.0,2.0,0,0,0,0,1.0,0,0,0,0,0,2.0,0,0,0,0,0,2.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,4.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,1.0,0,0,0,0,3.0,0,0,0
0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,2.0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,3.0,0,0,1.0,0,1.0,0,3.0,0,0,0,0,1.0,0,2.0
2.0,0,0,0,0,0,0,0,0,5.0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,3.0,0,1.0,2.0
0,0,0,0,0,0,0,0,0,5.0,2.0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,3.0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,3.0,0,2.0,0,0,0,0,0,2.0,0,0,0,0,0,0
0,0,0,0,2.0,0,0,1.0,1.0,5.0,0,0,3.0,0,0,0,0,0,0,3.0,1.0,0,0,0,0,0,1.0,2.0,0,0,3.0,0,0,4.0,0,0,0,0,0,2.0,0,2.0,0,0,0,0,0,0,2.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,0,3.0,0,1.0,0,3.0,0,0,0
0,0,0,0,0,1.0,0,0,0,0,0,1.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
