IDF,TF*IDF,DF,TF,Word
0.5,1.0,1.0,2.0,function
0.3333333333333333,1.0,2.0,3.0,flume
0.5,0.5,1.0,1.0,map
0.5,0.5,1.0,1.0,list
0.5,0.5,1.0,1.0,sync
0.3333333333333333,1.0,2.0,3.0,agent
0.3333333333333333,1.0,2.0,3.0,rollback
0.5,1.0,1.0,2.0,elast
0.3333333333333333,2.333333333333333,2.0,7.0,put
0.3333333333333333,0.6666666666666666,2.0,2.0,exit
0.5,0.5,1.0,1.0,replay
0.5,0.5,1.0,1.0,result
0.16666666666666666,2.833333333333333,5.0,17.0,file
0.5,1.5,1.0,3.0,field
0.3333333333333333,1.3333333333333333,2.0,4.0,close
0.5,1.0,1.0,2.0,serial
0.5,0.5,1.0,1.0,servic
0.5,1.0,1.0,2.0,duplic
0.5,0.5,1.0,1.0,index
0.5,0.5,1.0,1.0,detect
0.5,0.5,1.0,1.0,multipl
0.5,0.5,1.0,1.0,coupl
0.5,1.0,1.0,2.0,memori
0.25,2.25,3.0,9.0,transfer
0.5,1.0,1.0,2.0,fix
0.25,1.0,3.0,4.0,event
0.5,0.5,1.0,1.0,write
0.3333333333333333,1.3333333333333333,2.0,4.0,delet
0.5,0.5,1.0,1.0,tail
0.5,0.5,1.0,1.0,pend
0.5,1.5,1.0,3.0,master
0.5,1.0,1.0,2.0,restart
0.25,1.0,3.0,4.0,call
0.5,0.5,1.0,1.0,input
0.3333333333333333,1.3333333333333333,2.0,4.0,config
0.2,1.2000000000000002,4.0,6.0,channel
0.5,0.5,1.0,1.0,updat
0.3333333333333333,2.0,2.0,6.0,node
0.5,0.5,1.0,1.0,count
0.5,0.5,1.0,1.0,begin
0.3333333333333333,1.0,2.0,3.0,sourc
0.5,0.5,1.0,1.0,crash
0.5,0.5,1.0,1.0,exec
0.5,0.5,1.0,1.0,error
0.5,0.5,1.0,1.0,problem
0.5,1.0,1.0,2.0,sink
0.5,0.5,1.0,1.0,background
0.3333333333333333,1.3333333333333333,2.0,4.0,condit
0.5,0.5,1.0,1.0,report
0.5,0.5,1.0,1.0,end
0.5,0.5,1.0,1.0,hold
0.5,0.5,1.0,1.0,data
0.5,1.0,1.0,2.0,runnabl
0.5,0.5,1.0,1.0,pool
0.5,0.5,1.0,1.0,reset
0.5,0.5,1.0,1.0,insert
0.5,1.5,1.0,3.0,search
0.25,0.75,3.0,3.0,thread
0.5,1.0,1.0,2.0,default
0.5,0.5,1.0,1.0,entri
0.3333333333333333,1.6666666666666665,2.0,5.0,remov
0.5,0.5,1.0,1.0,revert
0.5,0.5,1.0,1.0,batch
0.5,0.5,1.0,1.0,executor
0.25,0.75,3.0,3.0,queue
0.3333333333333333,1.3333333333333333,2.0,4.0,race
0.5,0.5,1.0,1.0,issu
0.5,1.0,1.0,2.0,time
0.25,1.0,3.0,4.0,commit
0.5,0.5,1.0,1.0,chang
0.5,0.5,1.0,1.0,complet
0.5,0.5,1.0,1.0,order
