jira,queri,concurr,hbase,pointer,content,slow,depend,monitor,async,solut,send,add,input,sourc,format,spool,affect,bit,restart,name,patch,output,side,mean,idea,replay,expect,event,detect,network,remain,current,exit,reader,condit,size,method,machin,sink,address,releas,byte,improve,thread,queue,commit,implement,block,semant,number,one,put,wrap,duplic,jdbc,memori,transfer,top,visit,next,checkpoint,start,handler,includ,thrift,sort,continu,provid,remov,batch,dev,invok,loop,result,flume,stream,lock,tag,file,check,fill,end,perform,detail,test,config,channel,updat,node,begin,trace,exec,buffer,capabl,user,data,alloc,directori,allow,time,cpu
0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,6.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,2.0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.0,0,3.0,2.0,6.0,0,0,0,1.0,0,0,0,1.0,1.0,0,0,0,0,8.0,0,1.0,0,0,0,0,0,0,0,0,4.0,0,0,0,3.0,0,0,0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,2.0,2.0,0,0,0,0,0,0,1.0,0,0,0,0,2.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,9.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0
0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,6.0,0,1.0,0,0,0,0,0,9.0,0,0,0,0,0,0,2.0,0,0,1.0,0,1.0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,4.0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,9.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,9.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
0,0,1.0,2.0,0,0,0,0,0,1.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,8.0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,3.0,0,0,0,6.0,0,0,2.0,0,0,0,0,9.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.0,0,2.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,4.0,0,8.0,1.0,0,0,0,0,0,0,2.0,1.0,0,0,0,0,0,3.0,0,4.0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,4.0,0,0,0,0,1.0,0,0,2.0,0,0,0,0,0,3.0,0,0,0,6.0,0,0,2.0,0,0,0,0,9.0,0,0,0,1.0,0,0,0,0,0,0,0,0,2.0,0
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,1.0,0,0,0,1.0,1.0,0,0,8.0,0,0,0,1.0,0,0,0,0,0,0,4.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,1.0,0,0,0,0,0,0,0,2.0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,6.0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0
0,0,0,0,0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,4.0,1.0,0,0,0,0,0,2.0,0,0,0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,1.0,0,0,0,0,2.0,0
