IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,jira
0.5,1.5,1.0,3.0,queri
0.5,0.5,1.0,1.0,concurr
0.3333333333333333,2.6666666666666665,2.0,8.0,hbase
0.5,0.5,1.0,1.0,pointer
0.5,0.5,1.0,1.0,content
0.3333333333333333,0.6666666666666666,2.0,2.0,slow
0.5,0.5,1.0,1.0,depend
0.5,0.5,1.0,1.0,monitor
0.5,0.5,1.0,1.0,solut
0.3333333333333333,0.6666666666666666,2.0,2.0,send
0.25,1.0,3.0,4.0,add
0.3333333333333333,1.3333333333333333,2.0,4.0,input
0.14285714285714285,1.2857142857142856,6.0,9.0,sourc
0.5,0.5,1.0,1.0,format
0.5,1.5,1.0,3.0,spool
0.5,0.5,1.0,1.0,affect
0.5,0.5,1.0,1.0,bit
0.5,0.5,1.0,1.0,restart
0.5,0.5,1.0,1.0,name
0.5,0.5,1.0,1.0,patch
0.5,0.5,1.0,1.0,async
0.5,0.5,1.0,1.0,side
0.5,0.5,1.0,1.0,mean
0.5,0.5,1.0,1.0,idea
0.2,1.4000000000000001,4.0,7.0,replay
0.5,0.5,1.0,1.0,result
0.1111111111111111,1.5555555555555554,8.0,14.0,event
0.5,0.5,1.0,1.0,detect
0.5,0.5,1.0,1.0,network
0.5,1.0,1.0,2.0,remain
0.5,0.5,1.0,1.0,current
0.5,0.5,1.0,1.0,exit
0.3333333333333333,0.6666666666666666,2.0,2.0,reader
0.5,1.0,1.0,2.0,condit
0.5,0.5,1.0,1.0,duplic
0.5,0.5,1.0,1.0,method
0.5,0.5,1.0,1.0,machin
0.2,2.0,4.0,10.0,sink
0.5,0.5,1.0,1.0,output
0.3333333333333333,1.0,2.0,3.0,put
0.5,0.5,1.0,1.0,byte
0.25,1.5,3.0,6.0,improve
0.5,0.5,1.0,1.0,thread
0.2,1.0,4.0,5.0,queue
0.5,0.5,1.0,1.0,commit
0.5,0.5,1.0,1.0,implement
0.5,0.5,1.0,1.0,block
0.5,1.5,1.0,3.0,semant
0.5,1.0,1.0,2.0,address
0.3333333333333333,0.6666666666666666,2.0,2.0,number
0.5,0.5,1.0,1.0,one
0.5,0.5,1.0,1.0,releas
0.5,0.5,1.0,1.0,wrap
0.3333333333333333,1.0,2.0,3.0,size
0.3333333333333333,1.3333333333333333,2.0,4.0,jdbc
0.3333333333333333,1.0,2.0,3.0,memori
0.3333333333333333,0.6666666666666666,2.0,2.0,transfer
0.5,0.5,1.0,1.0,top
0.5,0.5,1.0,1.0,visit
0.5,0.5,1.0,1.0,next
0.2,1.6,4.0,8.0,checkpoint
0.3333333333333333,0.6666666666666666,2.0,2.0,start
0.5,0.5,1.0,1.0,handler
0.3333333333333333,0.6666666666666666,2.0,2.0,includ
0.5,1.0,1.0,2.0,thrift
0.5,0.5,1.0,1.0,sort
0.5,0.5,1.0,1.0,continu
0.3333333333333333,0.6666666666666666,2.0,2.0,provid
0.3333333333333333,2.0,2.0,6.0,remov
0.3333333333333333,0.6666666666666666,2.0,2.0,batch
0.5,0.5,1.0,1.0,dev
0.5,1.0,1.0,2.0,invok
0.5,1.0,1.0,2.0,loop
0.5,0.5,1.0,1.0,expect
0.25,1.25,3.0,5.0,flume
0.5,1.5,1.0,3.0,stream
0.5,0.5,1.0,1.0,lock
0.5,0.5,1.0,1.0,tag
0.14285714285714285,1.7142857142857142,6.0,12.0,file
0.5,1.0,1.0,2.0,check
0.5,0.5,1.0,1.0,fill
0.3333333333333333,0.6666666666666666,2.0,2.0,end
0.14285714285714285,1.4285714285714284,6.0,10.0,perform
0.5,0.5,1.0,1.0,detail
0.3333333333333333,1.3333333333333333,2.0,4.0,test
0.3333333333333333,1.0,2.0,3.0,config
0.1,1.7000000000000002,9.0,17.0,channel
0.5,0.5,1.0,1.0,updat
0.25,0.75,3.0,3.0,node
0.3333333333333333,0.6666666666666666,2.0,2.0,begin
0.5,0.5,1.0,1.0,trace
0.5,0.5,1.0,1.0,exec
0.3333333333333333,1.3333333333333333,2.0,4.0,buffer
0.3333333333333333,1.0,2.0,3.0,capabl
0.5,0.5,1.0,1.0,user
0.5,1.0,1.0,2.0,data
0.5,1.0,1.0,2.0,alloc
0.5,1.0,1.0,2.0,directori
0.5,0.5,1.0,1.0,allow
0.3333333333333333,0.6666666666666666,2.0,2.0,time
0.5,0.5,1.0,1.0,cpu
