IDF,TF*IDF,DF,TF,Word
0.14285714285714285,0.8571428571428571,6.0,6.0,code
0.2,0.8,4.0,4.0,chain
0.2,1.0,4.0,5.0,consum
0.3333333333333333,1.6666666666666665,2.0,5.0,prefix
0.3333333333333333,1.0,2.0,3.0,abil
0.14285714285714285,1.857142857142857,6.0,13.0,disk
0.3333333333333333,1.0,2.0,3.0,middl
0.2,1.0,4.0,5.0,depend
0.1111111111111111,1.3333333333333333,8.0,12.0,send
0.07692307692307693,1.4615384615384617,12.0,19.0,tail
0.3333333333333333,1.0,2.0,3.0,program
0.3333333333333333,0.6666666666666666,2.0,2.0,jvm
0.02,1.7,49.0,85.0,sourc
0.25,1.0,3.0,4.0,rollback
0.3333333333333333,0.6666666666666666,2.0,2.0,string
0.2,0.8,4.0,4.0,downstream
0.2,0.8,4.0,4.0,end
0.25,0.75,3.0,3.0,util
0.3333333333333333,1.0,2.0,3.0,fan
0.5,0.5,1.0,1.0,affect
0.5,1.5,1.0,3.0,runnabl
0.125,1.25,7.0,10.0,list
0.25,1.0,3.0,4.0,factori
0.09090909090909091,1.3636363636363638,10.0,15.0,race
0.25,0.75,3.0,3.0,prevent
0.5,0.5,1.0,1.0,naiv
0.3333333333333333,1.0,2.0,3.0,sync
0.3333333333333333,1.0,2.0,3.0,port
0.125,2.0,7.0,16.0,append
0.2,1.6,4.0,8.0,index
0.16666666666666666,0.8333333333333333,5.0,5.0,appear
0.125,0.875,7.0,7.0,current
0.3333333333333333,1.0,2.0,3.0,delet
0.125,1.0,7.0,8.0,method
0.3333333333333333,0.6666666666666666,2.0,2.0,hash
0.3333333333333333,0.6666666666666666,2.0,2.0,gener
0.25,0.75,3.0,3.0,lack
0.014084507042253521,1.8309859154929577,70.0,130.0,sink
0.2,1.2000000000000002,4.0,6.0,address
0.14285714285714285,1.0,6.0,7.0,path
0.1,1.1,9.0,11.0,valu
0.2,2.0,4.0,10.0,thrift
0.5,2.0,1.0,4.0,search
0.3333333333333333,0.6666666666666666,2.0,2.0,step
0.14285714285714285,1.4285714285714284,6.0,10.0,queue
0.5,0.5,1.0,1.0,amount
0.3333333333333333,0.6666666666666666,2.0,2.0,chann
0.08333333333333333,1.0,11.0,12.0,implement
0.2,1.4000000000000001,4.0,7.0,semant
0.5,0.5,1.0,1.0,solut
0.08333333333333333,0.9166666666666666,11.0,11.0,expect
0.5,0.5,1.0,1.0,releas
0.3333333333333333,0.6666666666666666,2.0,2.0,rolltag
0.3333333333333333,0.6666666666666666,2.0,2.0,instal
0.3333333333333333,1.0,2.0,3.0,select
0.3333333333333333,0.6666666666666666,2.0,2.0,regex
0.3333333333333333,0.6666666666666666,2.0,2.0,zip
0.06666666666666667,1.7333333333333334,14.0,26.0,memori
0.3333333333333333,0.6666666666666666,2.0,2.0,upgrad
0.3333333333333333,0.6666666666666666,2.0,2.0,next
0.043478260869565216,1.2608695652173914,22.0,29.0,call
0.3333333333333333,0.6666666666666666,2.0,2.0,rhel
0.5,0.5,1.0,1.0,sort
0.25,0.75,3.0,3.0,relat
0.3333333333333333,1.0,2.0,3.0,flag
0.125,0.875,7.0,7.0,stick
0.16666666666666666,0.8333333333333333,5.0,5.0,hold
0.3333333333333333,0.6666666666666666,2.0,2.0,setup
0.2,1.0,4.0,5.0,work
0.5,0.5,1.0,1.0,dev
0.3333333333333333,0.6666666666666666,2.0,2.0,remain
0.5,1.0,1.0,2.0,executor
0.3333333333333333,1.0,2.0,3.0,def
0.16666666666666666,1.1666666666666665,5.0,7.0,stream
0.058823529411764705,1.1764705882352942,16.0,20.0,process
0.5,1.0,1.0,2.0,lock
0.05,1.5,19.0,30.0,agent
0.3333333333333333,0.6666666666666666,2.0,2.0,tag
0.25,0.75,3.0,3.0,serial
0.16666666666666666,1.3333333333333333,5.0,8.0,multipl
0.3333333333333333,1.3333333333333333,2.0,4.0,newlin
