IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,load
0.5,0.5,1.0,1.0,flume
0.5,0.5,1.0,1.0,set
0.5,1.0,1.0,2.0,paus
0.5,0.5,1.0,1.0,lock
0.5,0.5,1.0,1.0,consum
0.5,0.5,1.0,1.0,back
0.5,1.0,1.0,2.0,tcp
0.3333333333333333,0.6666666666666666,2.0,2.0,one
0.5,0.5,1.0,1.0,releas
0.5,1.0,1.0,2.0,rpc
0.25,1.75,3.0,7.0,replay
0.25,1.5,3.0,6.0,file
0.5,0.5,1.0,1.0,affect
0.5,0.5,1.0,1.0,fail
0.5,0.5,1.0,1.0,interceptor
0.5,0.5,1.0,1.0,collector
0.3333333333333333,1.3333333333333333,2.0,4.0,event
0.3333333333333333,0.6666666666666666,2.0,2.0,size
0.5,0.5,1.0,1.0,content
0.5,0.5,1.0,1.0,slow
0.5,0.5,1.0,1.0,end
0.5,0.5,1.0,1.0,appear
0.5,1.0,1.0,2.0,memori
0.5,0.5,1.0,1.0,pointer
0.5,0.5,1.0,1.0,top
0.5,0.5,1.0,1.0,loo
0.5,0.5,1.0,1.0,messag
0.5,0.5,1.0,1.0,grow
0.5,1.0,1.0,2.0,checkpoint
0.5,1.0,1.0,2.0,delet
0.5,0.5,1.0,1.0,tail
0.5,0.5,1.0,1.0,handler
0.5,0.5,1.0,1.0,branch
0.3333333333333333,0.6666666666666666,2.0,2.0,test
0.5,0.5,1.0,1.0,termin
0.5,0.5,1.0,1.0,out
0.5,0.5,1.0,1.0,config
0.5,0.5,1.0,1.0,method
0.25,1.25,3.0,5.0,channel
0.5,0.5,1.0,1.0,refer
0.5,0.5,1.0,1.0,node
0.25,1.0,3.0,4.0,sourc
0.5,0.5,1.0,1.0,trace
0.5,0.5,1.0,1.0,outofmemory
0.5,0.5,1.0,1.0,buffer
0.3333333333333333,0.6666666666666666,2.0,2.0,time
0.5,0.5,1.0,1.0,driver
0.3333333333333333,1.0,2.0,3.0,improve
0.5,0.5,1.0,1.0,sort
0.5,0.5,1.0,1.0,bodi
0.5,0.5,1.0,1.0,step
0.5,0.5,1.0,1.0,detect
0.5,1.0,1.0,2.0,sink
0.5,0.5,1.0,1.0,put
0.5,0.5,1.0,1.0,netcat
0.5,0.5,1.0,1.0,byte
0.5,0.5,1.0,1.0,eof
0.5,0.5,1.0,1.0,bug
0.5,0.5,1.0,1.0,thrift
0.5,0.5,1.0,1.0,insert
0.5,0.5,1.0,1.0,exception
0.5,0.5,1.0,1.0,scenario
0.5,1.0,1.0,2.0,thread
0.5,2.5,1.0,5.0,remov
0.5,0.5,1.0,1.0,space
0.5,0.5,1.0,1.0,server
0.3333333333333333,1.0,2.0,3.0,queue
0.5,0.5,1.0,1.0,limit
0.5,0.5,1.0,1.0,block
0.5,0.5,1.0,1.0,determin
0.5,0.5,1.0,1.0,error
0.5,0.5,1.0,1.0,heartbeat
0.5,0.5,1.0,1.0,loop
