IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,featur
0.3333333333333333,0.6666666666666666,2.0,2.0,agent
0.5,0.5,1.0,1.0,surviv
0.5,0.5,1.0,1.0,elast
0.5,0.5,1.0,1.0,cluster
0.5,0.5,1.0,1.0,connect
0.3333333333333333,1.3333333333333333,2.0,4.0,file
0.3333333333333333,0.6666666666666666,2.0,2.0,kerbero
0.3333333333333333,1.0,2.0,3.0,hbase
0.5,0.5,1.0,1.0,work
0.5,0.5,1.0,1.0,collector
0.5,1.0,1.0,2.0,event
0.3333333333333333,1.0,2.0,3.0,transport
0.3333333333333333,1.0,2.0,3.0,index
0.5,0.5,1.0,1.0,decor
0.5,0.5,1.0,1.0,disk
0.3333333333333333,1.3333333333333333,2.0,4.0,encrypt
0.5,0.5,1.0,1.0,network
0.25,1.0,3.0,4.0,secur
0.2,1.0,4.0,5.0,support
0.5,0.5,1.0,1.0,messag
0.5,0.5,1.0,1.0,throw
0.3333333333333333,0.6666666666666666,2.0,2.0,add
0.5,0.5,1.0,1.0,persist
0.5,0.5,1.0,1.0,improve
0.3333333333333333,1.6666666666666665,2.0,5.0,channel
0.3333333333333333,1.0,2.0,3.0,flume
0.5,0.5,1.0,1.0,form
0.5,1.0,1.0,2.0,hdfs
0.5,0.5,1.0,1.0,handl
0.5,1.0,1.0,2.0,search
0.5,0.5,1.0,1.0,bodi
0.2,1.2000000000000002,4.0,6.0,sink
0.5,0.5,1.0,1.0,hold
0.3333333333333333,0.6666666666666666,2.0,2.0,data
0.5,0.5,1.0,1.0,bug
0.5,0.5,1.0,1.0,restart
0.5,1.0,1.0,2.0,name
0.5,0.5,1.0,1.0,break
0.5,0.5,1.0,1.0,exception
0.5,0.5,1.0,1.0,enabl
0.5,0.5,1.0,1.0,header
0.3333333333333333,0.6666666666666666,2.0,2.0,properti
0.5,0.5,1.0,1.0,patch
0.25,0.75,3.0,3.0,allow
0.5,0.5,1.0,1.0,implement
0.5,1.0,1.0,2.0,disabl
