IDF,TF*IDF,DF,TF,Word
0.1111111111111111,0.8888888888888888,8.0,8.0,code
0.2,0.8,4.0,4.0,chain
0.3333333333333333,1.3333333333333333,2.0,4.0,queri
0.16666666666666666,1.0,5.0,6.0,consum
0.3333333333333333,1.6666666666666665,2.0,5.0,prefix
0.25,1.0,3.0,4.0,abil
0.1111111111111111,1.7777777777777777,8.0,16.0,disk
0.3333333333333333,1.0,2.0,3.0,middl
0.14285714285714285,1.0,6.0,7.0,depend
0.06666666666666667,1.2,14.0,18.0,send
0.05555555555555555,1.3333333333333333,17.0,24.0,tail
0.3333333333333333,1.0,2.0,3.0,program
0.3333333333333333,0.6666666666666666,2.0,2.0,jvm
0.0136986301369863,1.7123287671232876,72.0,125.0,sourc
0.16666666666666666,1.1666666666666665,5.0,7.0,rollback
0.3333333333333333,0.6666666666666666,2.0,2.0,string
0.16666666666666666,0.8333333333333333,5.0,5.0,downstream
0.1111111111111111,1.0,8.0,9.0,end
0.25,0.75,3.0,3.0,util
0.3333333333333333,1.0,2.0,3.0,fan
0.16666666666666666,0.8333333333333333,5.0,5.0,affect
0.3333333333333333,1.6666666666666665,2.0,5.0,runnabl
0.1,1.2000000000000002,9.0,12.0,list
0.3333333333333333,0.6666666666666666,2.0,2.0,correct
0.07142857142857142,1.4285714285714284,13.0,20.0,race
0.25,0.75,3.0,3.0,prevent
0.3333333333333333,1.0,2.0,3.0,naiv
0.2,1.0,4.0,5.0,sync
0.25,1.25,3.0,5.0,port
0.09090909090909091,1.9090909090909092,10.0,21.0,append
0.1,1.4000000000000001,9.0,14.0,index
0.1111111111111111,0.8888888888888888,8.0,8.0,appear
0.125,0.875,7.0,7.0,current
0.16666666666666666,1.3333333333333333,5.0,8.0,delet
0.1,1.1,9.0,11.0,method
0.3333333333333333,0.6666666666666666,2.0,2.0,hash
0.3333333333333333,0.6666666666666666,2.0,2.0,gener
0.2,0.8,4.0,4.0,lack
0.010101010101010102,1.8282828282828285,98.0,181.0,sink
0.16666666666666666,1.1666666666666665,5.0,7.0,address
0.14285714285714285,1.0,6.0,7.0,path
0.1,1.1,9.0,11.0,valu
0.125,1.875,7.0,15.0,thrift
0.2,2.0,4.0,10.0,search
0.16666666666666666,0.8333333333333333,5.0,5.0,step
0.0625,1.25,15.0,20.0,queue
0.25,0.75,3.0,3.0,amount
0.3333333333333333,0.6666666666666666,2.0,2.0,chann
0.07142857142857142,1.0714285714285714,13.0,15.0,chang
