IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,extractor
0.3333333333333333,0.6666666666666666,2.0,2.0,deco
0.5,0.5,1.0,1.0,rotat
0.5,0.5,1.0,1.0,chain
0.5,0.5,1.0,1.0,text
0.3333333333333333,0.6666666666666666,2.0,2.0,consum
0.5,1.0,1.0,2.0,remov
0.5,0.5,1.0,1.0,tcp
0.5,1.0,1.0,2.0,hadoop
0.5,0.5,1.0,1.0,prefix
0.3333333333333333,0.6666666666666666,2.0,2.0,code
0.3333333333333333,1.0,2.0,3.0,kill
0.25,1.0,3.0,4.0,multiplex
0.5,1.0,1.0,2.0,abil
0.25,1.0,3.0,4.0,implement
0.3333333333333333,1.3333333333333333,2.0,4.0,hbase
0.2,1.8,4.0,9.0,disk
0.3333333333333333,0.6666666666666666,2.0,2.0,help
0.3333333333333333,0.6666666666666666,2.0,2.0,web
0.5,0.5,1.0,1.0,group
0.5,0.5,1.0,1.0,expos
0.5,0.5,1.0,1.0,async
0.5,0.5,1.0,1.0,fix
0.3333333333333333,0.6666666666666666,2.0,2.0,send
0.5,0.5,1.0,1.0,bug
0.3333333333333333,0.6666666666666666,2.0,2.0,list
0.2,1.2000000000000002,4.0,6.0,tail
0.5,0.5,1.0,1.0,program
0.3333333333333333,1.6666666666666665,2.0,5.0,save
0.5,0.5,1.0,1.0,determin
0.5,0.5,1.0,1.0,match
0.043478260869565216,1.5217391304347825,22.0,35.0,sourc
0.3333333333333333,0.6666666666666666,2.0,2.0,downstream
0.5,0.5,1.0,1.0,insert
0.3333333333333333,0.6666666666666666,2.0,2.0,read
0.25,1.25,3.0,5.0,auto
0.2,0.8,4.0,4.0,stop
0.25,0.75,3.0,3.0,break
0.3333333333333333,0.6666666666666666,2.0,2.0,mention
0.5,1.0,1.0,2.0,fan
0.5,0.5,1.0,1.0,know
0.5,0.5,1.0,1.0,report
0.5,0.5,1.0,1.0,surviv
0.25,1.25,3.0,5.0,restart
0.2,1.0,4.0,5.0,loss
0.3333333333333333,1.0,2.0,3.0,experi
0.5,0.5,1.0,1.0,enabl
0.5,1.0,1.0,2.0,acquisit
0.5,1.0,1.0,2.0,emb
0.25,0.75,3.0,3.0,revert
0.3333333333333333,0.6666666666666666,2.0,2.0,provid
0.3333333333333333,1.6666666666666665,2.0,5.0,mode
0.5,0.5,1.0,1.0,timeout
0.25,1.0,3.0,4.0,output
0.5,0.5,1.0,1.0,lifecycle
0.5,0.5,1.0,1.0,complet
0.3333333333333333,0.6666666666666666,2.0,2.0,manag
0.5,0.5,1.0,1.0,prevent
0.25,1.0,3.0,4.0,set
0.3333333333333333,1.0,2.0,3.0,seq
