IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,jira
0.5,0.5,1.0,1.0,next
0.3333333333333333,0.6666666666666666,2.0,2.0,deco
0.5,0.5,1.0,1.0,paus
0.3333333333333333,0.6666666666666666,2.0,2.0,chain
0.3333333333333333,0.6666666666666666,2.0,2.0,lack
0.3333333333333333,0.6666666666666666,2.0,2.0,remov
0.5,0.5,1.0,1.0,tcp
0.3333333333333333,0.6666666666666666,2.0,2.0,report
0.5,1.0,1.0,2.0,runner
0.5,0.5,1.0,1.0,concurr
0.25,1.0,3.0,4.0,kill
0.25,1.0,3.0,4.0,reconnect
0.16666666666666666,1.6666666666666665,5.0,10.0,hbase
0.16666666666666666,1.1666666666666665,5.0,7.0,pointer
0.5,1.0,1.0,2.0,paramet
0.25,1.0,3.0,4.0,write
0.25,0.75,3.0,3.0,depend
0.5,1.0,1.0,2.0,monitor
0.3333333333333333,0.6666666666666666,2.0,2.0,async
0.25,1.0,3.0,4.0,revert
0.25,0.75,3.0,3.0,fix
0.5,0.5,1.0,1.0,writer
0.14285714285714285,0.8571428571428571,6.0,6.0,send
0.5,0.5,1.0,1.0,eat
0.3333333333333333,0.6666666666666666,2.0,2.0,tail
0.5,1.0,1.0,2.0,program
0.5,1.0,1.0,2.0,requir
0.5,0.5,1.0,1.0,persist
0.045454545454545456,1.7272727272727273,21.0,38.0,sourc
0.3333333333333333,1.0,2.0,3.0,rollback
0.25,0.75,3.0,3.0,downstream
0.16666666666666666,0.8333333333333333,5.0,5.0,handl
0.5,1.5,1.0,3.0,auto
0.5,0.5,1.0,1.0,end
0.3333333333333333,0.6666666666666666,2.0,2.0,stop
0.2,1.0,4.0,5.0,break
0.3333333333333333,0.6666666666666666,2.0,2.0,mention
0.3333333333333333,0.6666666666666666,2.0,2.0,factori
0.5,0.5,1.0,1.0,know
0.5,1.0,1.0,2.0,background
0.2,1.4000000000000001,4.0,7.0,interrupt
0.5,0.5,1.0,1.0,affect
0.5,0.5,1.0,1.0,bit
0.5,1.5,1.0,3.0,runnabl
0.16666666666666666,1.3333333333333333,5.0,8.0,restart
0.5,0.5,1.0,1.0,enabl
0.25,1.0,3.0,4.0,loss
0.5,0.5,1.0,1.0,experi
0.2,1.0,4.0,5.0,name
0.5,0.5,1.0,1.0,emb
0.25,1.25,3.0,5.0,list
0.5,0.5,1.0,1.0,patch
0.3333333333333333,1.0,2.0,3.0,collect
0.3333333333333333,0.6666666666666666,2.0,2.0,race
0.2,1.0,4.0,5.0,mode
0.3333333333333333,1.0,2.0,3.0,found
0.3333333333333333,1.0,2.0,3.0,lifecycle
0.5,0.5,1.0,1.0,dataloss
0.5,0.5,1.0,1.0,manag
0.5,0.5,1.0,1.0,truncat
0.5,0.5,1.0,1.0,mean
0.5,1.0,1.0,2.0,underli
0.3333333333333333,0.6666666666666666,2.0,2.0,correct
0.5,1.0,1.0,2.0,legaci
0.5,0.5,1.0,1.0,abil
0.5,0.5,1.0,1.0,replac
0.2,1.0,4.0,5.0,continu
0.5,1.0,1.0,2.0,consum
0.5,0.5,1.0,1.0,wrap
0.3333333333333333,0.6666666666666666,2.0,2.0,repeat
0.3333333333333333,1.0,2.0,3.0,connect
0.5,0.5,1.0,1.0,someth
0.05555555555555555,1.1111111111111112,17.0,20.0,fail
0.06666666666666667,1.0666666666666667,14.0,16.0,close
0.08333333333333333,1.25,11.0,15.0,collector
0.05263157894736842,1.5789473684210527,18.0,30.0,event
0.16666666666666666,2.0,5.0,12.0,append
0.25,0.75,3.0,3.0,out
0.08333333333333333,1.6666666666666665,11.0,20.0,hdfs
0.14285714285714285,0.8571428571428571,6.0,6.0,detect
0.5,0.5,1.0,1.0,network
0.5,0.5,1.0,1.0,clean
0.05555555555555555,2.1666666666666665,17.0,39.0,channel
0.5,0.5,1.0,1.0,function
0.5,0.5,1.0,1.0,miss
0.3333333333333333,0.6666666666666666,2.0,2.0,avoid
0.5,0.5,1.0,1.0,content
0.5,0.5,1.0,1.0,delet
0.16666666666666666,1.1666666666666665,5.0,7.0,state
0.1,1.0,9.0,10.0,exit
0.25,0.75,3.0,3.0,condit
0.3333333333333333,0.6666666666666666,2.0,2.0,current
0.5,0.5,1.0,1.0,size
0.25,0.75,3.0,3.0,method
0.5,0.5,1.0,1.0,eechain
0.3333333333333333,1.0,2.0,3.0,machin
0.5,0.5,1.0,1.0,hash
0.5,0.5,1.0,1.0,loo
0.25,1.0,3.0,4.0,hang
0.5,0.5,1.0,1.0,gener
0.25,0.75,3.0,3.0,bodi
0.3333333333333333,2.0,2.0,6.0,host
0.3333333333333333,0.6666666666666666,2.0,2.0,base
0.03571428571428571,1.9285714285714284,27.0,54.0,sink
0.25,1.0,3.0,4.0,address
0.25,0.75,3.0,3.0,put
0.5,1.0,1.0,2.0,path
0.041666666666666664,1.375,23.0,33.0,throw
0.5,1.0,1.0,2.0,valu
0.5,1.0,1.0,2.0,thrift
0.3333333333333333,2.0,2.0,6.0,thread
0.16666666666666666,1.1666666666666665,5.0,7.0,memori
0.5,0.5,1.0,1.0,step
0.16666666666666666,1.0,5.0,6.0,recov
0.5,0.5,1.0,1.0,instanc
0.3333333333333333,1.0,2.0,3.0,def
0.5,0.5,1.0,1.0,commit
0.25,0.75,3.0,3.0,implement
0.5,0.5,1.0,1.0,produc
0.25,0.75,3.0,3.0,block
0.3333333333333333,1.0,2.0,3.0,load
0.5,0.5,1.0,1.0,respond
0.5,1.0,1.0,2.0,semant
0.3333333333333333,1.3333333333333333,2.0,4.0,point
0.5,0.5,1.0,1.0,trunk
0.5,0.5,1.0,1.0,number
0.5,0.5,1.0,1.0,surviv
0.25,0.75,3.0,3.0,expect
0.3333333333333333,1.3333333333333333,2.0,4.0,reopen
0.16666666666666666,1.5,5.0,9.0,rpc
0.5,0.5,1.0,1.0,set
0.5,0.5,1.0,1.0,shutdown
0.3333333333333333,1.0,2.0,3.0,cancel
0.3333333333333333,0.6666666666666666,2.0,2.0,instal
0.5,1.0,1.0,2.0,poll
0.5,0.5,1.0,1.0,open
0.5,0.5,1.0,1.0,select
0.3333333333333333,1.0,2.0,3.0,duplic
0.5,0.5,1.0,1.0,code
0.5,2.0,1.0,4.0,checkpoint
0.25,1.25,3.0,5.0,processor
0.25,0.75,3.0,3.0,java
0.3333333333333333,0.6666666666666666,2.0,2.0,stream
0.5,0.5,1.0,1.0,zip
0.125,1.125,7.0,9.0,start
0.25,0.75,3.0,3.0,spool
0.1111111111111111,1.3333333333333333,8.0,12.0,transfer
0.5,0.5,1.0,1.0,top
0.5,0.5,1.0,1.0,support
0.5,0.5,1.0,1.0,visit
0.25,0.75,3.0,3.0,add
0.16666666666666666,1.3333333333333333,5.0,8.0,messag
0.5,0.5,1.0,1.0,custom
0.3333333333333333,1.3333333333333333,2.0,4.0,compon
0.5,0.5,1.0,1.0,attach
0.3333333333333333,1.0,2.0,3.0,dfo
0.1111111111111111,1.1111111111111112,8.0,10.0,master
0.5,0.5,1.0,1.0,resum
0.3333333333333333,1.0,2.0,3.0,illeg
0.125,1.375,7.0,11.0,call
0.5,0.5,1.0,1.0,store
0.06666666666666667,1.1333333333333333,14.0,17.0,flume
0.5,0.5,1.0,1.0,consol
0.5,0.5,1.0,1.0,unexpect
