IDF,TF*IDF,DF,TF,Word
0.25,0.75,3.0,3.0,deco
0.5,1.5,1.0,3.0,rotat
0.5,0.5,1.0,1.0,lack
0.5,2.0,1.0,4.0,report
0.5,0.5,1.0,1.0,code
0.5,0.5,1.0,1.0,kill
0.5,0.5,1.0,1.0,depend
0.5,0.5,1.0,1.0,monitor
0.2,0.8,4.0,4.0,fix
0.5,0.5,1.0,1.0,writer
0.14285714285714285,1.857142857142857,6.0,13.0,sourc
0.5,0.5,1.0,1.0,handl
0.5,0.5,1.0,1.0,watch
0.5,0.5,1.0,1.0,break
0.3333333333333333,0.6666666666666666,2.0,2.0,interrupt
0.3333333333333333,0.6666666666666666,2.0,2.0,affect
0.5,1.0,1.0,2.0,race
0.5,0.5,1.0,1.0,singl
0.5,0.5,1.0,1.0,found
0.5,1.0,1.0,2.0,manag
0.5,0.5,1.0,1.0,respond
0.5,0.5,1.0,1.0,prevent
0.5,0.5,1.0,1.0,set
0.5,1.0,1.0,2.0,retransmit
0.5,1.0,1.0,2.0,naiv
0.5,0.5,1.0,1.0,sync
0.25,0.75,3.0,3.0,connect
0.16666666666666666,1.0,5.0,6.0,fail
0.1111111111111111,0.8888888888888888,8.0,8.0,close
0.25,1.0,3.0,4.0,collector
0.3333333333333333,1.0,2.0,3.0,port
0.5,0.5,1.0,1.0,index
0.2,0.8,4.0,4.0,detect
0.25,0.75,3.0,3.0,appear
0.5,0.5,1.0,1.0,avoid
0.25,0.75,3.0,3.0,state
0.25,0.75,3.0,3.0,exit
0.25,1.25,3.0,5.0,condit
0.3333333333333333,1.0,2.0,3.0,method
0.5,0.5,1.0,1.0,mode
0.5,0.5,1.0,1.0,hash
0.5,0.5,1.0,1.0,driver
0.5,0.5,1.0,1.0,host
0.1111111111111111,1.6666666666666665,8.0,15.0,sink
0.25,0.75,3.0,3.0,put
0.3333333333333333,0.6666666666666666,2.0,2.0,throw
0.5,0.5,1.0,1.0,roller
0.3333333333333333,1.0,2.0,3.0,thrift
0.125,1.125,7.0,9.0,thread
0.5,0.5,1.0,1.0,step
0.5,0.5,1.0,1.0,queue
0.5,0.5,1.0,1.0,amount
0.5,0.5,1.0,1.0,logic
0.5,1.0,1.0,2.0,heartbeat
0.3333333333333333,0.6666666666666666,2.0,2.0,implement
0.125,1.25,7.0,10.0,block
0.3333333333333333,0.6666666666666666,2.0,2.0,load
0.5,0.5,1.0,1.0,acquisit
0.25,1.5,3.0,6.0,rpc
0.5,1.0,1.0,2.0,legaci
0.3333333333333333,1.0,2.0,3.0,shutdown
0.3333333333333333,1.0,2.0,3.0,cancel
0.3333333333333333,0.6666666666666666,2.0,2.0,open
0.5,1.0,1.0,2.0,start
0.5,0.5,1.0,1.0,transfer
0.5,0.5,1.0,1.0,visit
0.3333333333333333,0.6666666666666666,2.0,2.0,class
0.5,0.5,1.0,1.0,checkpoint
0.5,0.5,1.0,1.0,attach
0.25,0.75,3.0,3.0,master
0.2,1.6,4.0,8.0,call
0.125,1.0,7.0,8.0,flume
0.5,1.0,1.0,2.0,consol
0.3333333333333333,0.6666666666666666,2.0,2.0,relat
0.5,0.5,1.0,1.0,catch
0.3333333333333333,0.6666666666666666,2.0,2.0,hold
0.25,1.75,3.0,7.0,exception
0.5,0.5,1.0,1.0,setup
0.5,0.5,1.0,1.0,work
0.5,0.5,1.0,1.0,bucket
0.5,0.5,1.0,1.0,charact
0.3333333333333333,0.6666666666666666,2.0,2.0,error
0.3333333333333333,0.6666666666666666,2.0,2.0,problem
0.1111111111111111,1.3333333333333333,8.0,12.0,deadlock
0.3333333333333333,0.6666666666666666,2.0,2.0,expect
0.5,0.5,1.0,1.0,function
0.25,1.25,3.0,5.0,lock
0.5,1.0,1.0,2.0,metric
0.14285714285714285,1.0,6.0,7.0,agent
0.5,0.5,1.0,1.0,exist
0.16666666666666666,1.1666666666666665,5.0,7.0,file
0.5,0.5,1.0,1.0,serial
0.5,0.5,1.0,1.0,decor
0.5,1.0,1.0,2.0,newlin
0.5,0.5,1.0,1.0,lib
0.5,1.0,1.0,2.0,hadoop
0.2,0.8,4.0,4.0,event
0.5,0.5,1.0,1.0,read
0.25,1.5,3.0,6.0,test
0.2,0.8,4.0,4.0,config
0.2,1.4000000000000001,4.0,7.0,channel
0.14285714285714285,1.2857142857142856,6.0,9.0,node
0.3333333333333333,0.6666666666666666,2.0,2.0,repeat
0.5,0.5,1.0,1.0,hdfs
0.5,0.5,1.0,1.0,stop
0.3333333333333333,0.6666666666666666,2.0,2.0,time
0.125,1.25,7.0,10.0,hang
0.3333333333333333,0.6666666666666666,2.0,2.0,commit
0.5,0.5,1.0,1.0,data
0.3333333333333333,0.6666666666666666,2.0,2.0,chang
0.5,0.5,1.0,1.0,network
0.5,0.5,1.0,1.0,spool
0.25,1.0,3.0,4.0,attempt
0.5,0.5,1.0,1.0,directori
0.5,0.5,1.0,1.0,allow
0.5,0.5,1.0,1.0,enter
0.5,1.0,1.0,2.0,decommiss
