IDF,TF*IDF,DF,TF,Word
0.5,1.0,1.0,2.0,paus
0.5,0.5,1.0,1.0,consum
0.5,1.0,1.0,2.0,tcp
0.5,0.5,1.0,1.0,kill
0.5,1.0,1.0,2.0,reconnect
0.5,0.5,1.0,1.0,pointer
0.5,0.5,1.0,1.0,slow
0.5,0.5,1.0,1.0,system
0.5,0.5,1.0,1.0,send
0.5,0.5,1.0,1.0,add
0.5,0.5,1.0,1.0,jvm
0.5,0.5,1.0,1.0,lack
0.5,0.5,1.0,1.0,downstream
0.5,1.5,1.0,3.0,spool
0.5,0.5,1.0,1.0,affect
0.3333333333333333,0.6666666666666666,2.0,2.0,one
0.5,0.5,1.0,1.0,requir
0.5,0.5,1.0,1.0,insert
0.5,0.5,1.0,1.0,tail
0.5,0.5,1.0,1.0,server
0.3333333333333333,0.6666666666666666,2.0,2.0,set
0.5,0.5,1.0,1.0,continu
0.3333333333333333,2.0,2.0,6.0,replay
0.5,0.5,1.0,1.0,connect
0.3333333333333333,1.0,2.0,3.0,fail
0.3333333333333333,0.6666666666666666,2.0,2.0,collector
0.14285714285714285,1.1428571428571428,6.0,8.0,event
0.3333333333333333,0.6666666666666666,2.0,2.0,out
0.5,0.5,1.0,1.0,hdfs
0.5,0.5,1.0,1.0,detect
0.5,0.5,1.0,1.0,someth
0.3333333333333333,0.6666666666666666,2.0,2.0,exit
0.5,0.5,1.0,1.0,reader
0.5,0.5,1.0,1.0,method
0.5,0.5,1.0,1.0,bodi
0.25,1.0,3.0,4.0,sink
0.5,0.5,1.0,1.0,releas
0.5,0.5,1.0,1.0,valu
0.5,1.0,1.0,2.0,improve
0.5,1.0,1.0,2.0,thread
0.5,1.0,1.0,2.0,queue
0.5,0.5,1.0,1.0,amount
0.5,0.5,1.0,1.0,heartbeat
0.5,0.5,1.0,1.0,block
0.3333333333333333,0.6666666666666666,2.0,2.0,load
0.5,0.5,1.0,1.0,surviv
0.3333333333333333,1.0,2.0,3.0,rpc
0.5,0.5,1.0,1.0,open
0.25,0.75,3.0,3.0,size
0.5,0.5,1.0,1.0,java
0.16666666666666666,2.0,5.0,12.0,memori
0.5,0.5,1.0,1.0,top
0.5,0.5,1.0,1.0,loo
0.5,0.5,1.0,1.0,messag
0.5,0.5,1.0,1.0,next
0.5,1.0,1.0,2.0,checkpoint
0.3333333333333333,0.6666666666666666,2.0,2.0,start
0.5,1.0,1.0,2.0,master
0.5,0.5,1.0,1.0,thrift
0.5,0.5,1.0,1.0,flume
0.5,0.5,1.0,1.0,bug
0.3333333333333333,0.6666666666666666,2.0,2.0,outofmemory
0.25,0.75,3.0,3.0,exception
0.5,1.0,1.0,2.0,default
0.5,2.5,1.0,5.0,remov
0.25,1.25,3.0,5.0,batch
0.5,0.5,1.0,1.0,remain
0.25,0.75,3.0,3.0,error
0.5,0.5,1.0,1.0,loop
0.5,0.5,1.0,1.0,sort
0.5,0.5,1.0,1.0,ctrl
0.5,2.0,1.0,4.0,process
0.5,0.5,1.0,1.0,lock
0.5,0.5,1.0,1.0,cluster
0.2,1.8,4.0,9.0,sourc
0.14285714285714285,1.857142857142857,6.0,13.0,file
0.5,0.5,1.0,1.0,fill
0.5,0.5,1.0,1.0,decor
0.5,0.5,1.0,1.0,end
0.5,0.5,1.0,1.0,perform
0.5,0.5,1.0,1.0,branch
0.3333333333333333,0.6666666666666666,2.0,2.0,test
0.3333333333333333,0.6666666666666666,2.0,2.0,config
0.2,2.0,4.0,10.0,channel
0.14285714285714285,1.0,6.0,7.0,node
0.5,0.5,1.0,1.0,allow
0.3333333333333333,0.6666666666666666,2.0,2.0,trace
0.5,1.0,1.0,2.0,exec
0.5,0.5,1.0,1.0,buffer
0.3333333333333333,0.6666666666666666,2.0,2.0,max
0.5,0.5,1.0,1.0,driver
0.3333333333333333,0.6666666666666666,2.0,2.0,grow
0.5,0.5,1.0,1.0,alloc
0.5,0.5,1.0,1.0,attempt
0.5,0.5,1.0,1.0,eof
0.5,0.5,1.0,1.0,scenario
0.5,1.0,1.0,2.0,directori
0.5,0.5,1.0,1.0,determin
0.3333333333333333,0.6666666666666666,2.0,2.0,time
0.5,0.5,1.0,1.0,push
0.3333333333333333,1.0,2.0,3.0,cpu
