IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,extractor
0.5,0.5,1.0,1.0,deco
0.5,1.0,1.0,2.0,rotat
0.3333333333333333,0.6666666666666666,2.0,2.0,chain
0.5,0.5,1.0,1.0,lack
0.5,0.5,1.0,1.0,tcp
0.5,1.0,1.0,2.0,hadoop
0.3333333333333333,1.0,2.0,3.0,interrupt
0.5,2.0,1.0,4.0,prefix
0.3333333333333333,0.6666666666666666,2.0,2.0,code
0.25,0.75,3.0,3.0,kill
0.5,0.5,1.0,1.0,reconnect
0.3333333333333333,0.6666666666666666,2.0,2.0,hbase
0.3333333333333333,1.0,2.0,3.0,disk
0.5,0.5,1.0,1.0,paramet
0.5,0.5,1.0,1.0,involv
0.5,0.5,1.0,1.0,content
0.5,0.5,1.0,1.0,scenerio
0.3333333333333333,1.0,2.0,3.0,middl
0.3333333333333333,1.0,2.0,3.0,depend
0.5,1.5,1.0,3.0,monitor
0.5,0.5,1.0,1.0,expos
0.25,2.25,3.0,9.0,field
0.07142857142857142,1.5,13.0,21.0,hdfs
0.25,1.0,3.0,4.0,fix
0.3333333333333333,2.0,2.0,6.0,writer
0.5,0.5,1.0,1.0,apach
0.2,1.6,4.0,8.0,send
0.5,0.5,1.0,1.0,util
0.2,1.0,4.0,5.0,list
0.25,1.0,3.0,4.0,add
0.2,0.8,4.0,4.0,pend
0.3333333333333333,0.6666666666666666,2.0,2.0,requir
0.5,0.5,1.0,1.0,jvm
0.3333333333333333,0.6666666666666666,2.0,2.0,input
0.3333333333333333,0.6666666666666666,2.0,2.0,save
0.3333333333333333,0.6666666666666666,2.0,2.0,match
0.5,0.5,1.0,1.0,build
0.058823529411764705,1.7647058823529411,16.0,30.0,sourc
0.3333333333333333,0.6666666666666666,2.0,2.0,crash
0.3333333333333333,0.6666666666666666,2.0,2.0,string
0.5,0.5,1.0,1.0,downstream
0.2,1.0,4.0,5.0,format
0.125,0.875,7.0,7.0,handl
0.5,1.0,1.0,2.0,auto
0.5,0.5,1.0,1.0,watch
0.3333333333333333,0.6666666666666666,2.0,2.0,break
0.5,0.5,1.0,1.0,fan
0.3333333333333333,1.0,2.0,3.0,background
0.5,0.5,1.0,1.0,insert
0.25,0.75,3.0,3.0,report
0.5,0.5,1.0,1.0,affect
0.5,1.0,1.0,2.0,runnabl
0.25,1.25,3.0,5.0,restart
0.5,0.5,1.0,1.0,enabl
0.14285714285714285,0.8571428571428571,6.0,6.0,loss
0.25,0.75,3.0,3.0,name
0.3333333333333333,0.6666666666666666,2.0,2.0,revert
0.5,0.5,1.0,1.0,server
0.25,1.0,3.0,4.0,default
0.5,0.5,1.0,1.0,race
0.3333333333333333,0.6666666666666666,2.0,2.0,mode
0.3333333333333333,0.6666666666666666,2.0,2.0,timeout
0.25,1.0,3.0,4.0,output
0.5,1.0,1.0,2.0,lifecycle
0.5,0.5,1.0,1.0,complet
0.5,1.0,1.0,2.0,side
0.5,0.5,1.0,1.0,truncat
0.3333333333333333,0.6666666666666666,2.0,2.0,mean
0.5,0.5,1.0,1.0,respond
0.5,0.5,1.0,1.0,prevent
0.25,0.75,3.0,3.0,set
0.5,0.5,1.0,1.0,retransmit
0.3333333333333333,1.0,2.0,3.0,replac
0.5,0.5,1.0,1.0,naiv
0.16666666666666666,0.8333333333333333,5.0,5.0,continu
0.5,0.5,1.0,1.0,group
0.5,0.5,1.0,1.0,consum
0.3333333333333333,1.0,2.0,3.0,replay
0.2,1.0,4.0,5.0,connect
0.14285714285714285,1.0,6.0,7.0,flush
0.0625,1.0625,15.0,17.0,fail
0.1,1.5,9.0,15.0,close
0.5,0.5,1.0,1.0,patch
0.3333333333333333,1.3333333333333333,2.0,4.0,scribe
0.5,0.5,1.0,1.0,port
0.5,0.5,1.0,1.0,transport
0.5,0.5,1.0,1.0,out
0.25,1.75,3.0,7.0,index
0.2,0.8,4.0,4.0,detect
0.5,0.5,1.0,1.0,network
0.05,1.55,19.0,31.0,channel
0.25,0.75,3.0,3.0,assum
0.3333333333333333,0.6666666666666666,2.0,2.0,boundari
0.5,1.0,1.0,2.0,remain
0.25,0.75,3.0,3.0,current
0.3333333333333333,1.3333333333333333,2.0,4.0,delet
0.25,0.75,3.0,3.0,state
0.09090909090909091,1.0909090909090908,10.0,12.0,exit
0.3333333333333333,1.0,2.0,3.0,reader
0.25,0.75,3.0,3.0,order
0.3333333333333333,1.0,2.0,3.0,method
0.5,1.5,1.0,3.0,eechain
0.3333333333333333,0.6666666666666666,2.0,2.0,refer
0.5,0.5,1.0,1.0,machin
0.5,0.5,1.0,1.0,hash
0.5,1.0,1.0,2.0,driver
0.3333333333333333,1.0,2.0,3.0,executor
0.3333333333333333,0.6666666666666666,2.0,2.0,bodi
0.5,0.5,1.0,1.0,host
0.25,0.75,3.0,3.0,base
0.037037037037037035,1.7037037037037037,26.0,46.0,sink
0.5,0.5,1.0,1.0,key
0.5,0.5,1.0,1.0,async
0.2,2.0,4.0,10.0,put
0.25,0.75,3.0,3.0,path
0.3333333333333333,0.6666666666666666,2.0,2.0,byte
0.5,0.5,1.0,1.0,throw
0.5,0.5,1.0,1.0,valu
0.5,0.5,1.0,1.0,improve
0.3333333333333333,2.333333333333333,2.0,7.0,search
0.5,0.5,1.0,1.0,produc
0.16666666666666666,0.8333333333333333,5.0,5.0,thread
0.5,0.5,1.0,1.0,slow
0.5,0.5,1.0,1.0,ingest
0.5,0.5,1.0,1.0,manag
0.125,1.25,7.0,10.0,queue
0.3333333333333333,1.0,2.0,3.0,idl
0.5,0.5,1.0,1.0,instanc
0.3333333333333333,1.0,2.0,3.0,sync
0.5,1.0,1.0,2.0,context
0.5,0.5,1.0,1.0,logic
0.16666666666666666,1.0,5.0,6.0,commit
0.14285714285714285,1.1428571428571428,6.0,8.0,implement
0.5,0.5,1.0,1.0,system
0.5,0.5,1.0,1.0,assign
0.16666666666666666,1.0,5.0,6.0,block
0.3333333333333333,0.6666666666666666,2.0,2.0,load
0.3333333333333333,0.6666666666666666,2.0,2.0,point
0.5,0.5,1.0,1.0,solut
0.5,0.5,1.0,1.0,trunk
0.3333333333333333,0.6666666666666666,2.0,2.0,encod
