IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,code
0.5,1.5,1.0,3.0,queri
0.5,0.5,1.0,1.0,concurr
0.3333333333333333,2.6666666666666665,2.0,8.0,hbase
0.5,0.5,1.0,1.0,depend
0.5,0.5,1.0,1.0,monitor
0.5,0.5,1.0,1.0,solut
0.3333333333333333,0.6666666666666666,2.0,2.0,send
0.2,1.0,4.0,5.0,add
0.5,0.5,1.0,1.0,program
0.3333333333333333,1.3333333333333333,2.0,4.0,input
0.1111111111111111,1.0,8.0,9.0,sourc
0.5,0.5,1.0,1.0,format
0.5,1.0,1.0,2.0,handl
0.5,0.5,1.0,1.0,know
0.5,0.5,1.0,1.0,bit
0.5,0.5,1.0,1.0,restart
0.5,0.5,1.0,1.0,loss
0.5,0.5,1.0,1.0,patch
0.5,0.5,1.0,1.0,default
0.5,0.5,1.0,1.0,async
0.5,0.5,1.0,1.0,side
0.5,0.5,1.0,1.0,underli
0.25,1.0,3.0,4.0,replay
0.25,0.75,3.0,3.0,result
0.3333333333333333,1.0,2.0,3.0,close
0.14285714285714285,1.2857142857142856,6.0,9.0,event
0.3333333333333333,1.3333333333333333,2.0,4.0,hdfs
0.5,0.5,1.0,1.0,detect
0.5,0.5,1.0,1.0,network
0.5,0.5,1.0,1.0,content
0.5,0.5,1.0,1.0,state
0.5,0.5,1.0,1.0,exit
0.5,0.5,1.0,1.0,reader
0.5,1.0,1.0,2.0,condit
0.5,0.5,1.0,1.0,machin
0.16666666666666666,2.0,5.0,12.0,sink
0.5,0.5,1.0,1.0,output
0.5,0.5,1.0,1.0,put
0.5,0.5,1.0,1.0,path
0.2,1.2000000000000002,4.0,6.0,improve
0.5,0.5,1.0,1.0,interceptor
0.3333333333333333,0.6666666666666666,2.0,2.0,thread
0.3333333333333333,0.6666666666666666,2.0,2.0,queue
0.5,0.5,1.0,1.0,implement
0.3333333333333333,0.6666666666666666,2.0,2.0,assign
0.5,0.5,1.0,1.0,block
0.5,0.5,1.0,1.0,load
0.3333333333333333,0.6666666666666666,2.0,2.0,number
0.5,0.5,1.0,1.0,releas
0.5,0.5,1.0,1.0,wrap
0.5,0.5,1.0,1.0,chang
0.5,1.0,1.0,2.0,size
0.3333333333333333,1.3333333333333333,2.0,4.0,jdbc
0.3333333333333333,0.6666666666666666,2.0,2.0,creat
0.5,0.5,1.0,1.0,memori
0.5,0.5,1.0,1.0,transfer
0.5,0.5,1.0,1.0,support
0.5,0.5,1.0,1.0,visit
0.5,1.0,1.0,2.0,system
0.25,1.5,3.0,6.0,checkpoint
0.5,0.5,1.0,1.0,start
0.5,0.5,1.0,1.0,handler
0.5,0.5,1.0,1.0,master
0.5,0.5,1.0,1.0,includ
0.3333333333333333,0.6666666666666666,2.0,2.0,call
0.5,1.0,1.0,2.0,thrift
0.3333333333333333,0.6666666666666666,2.0,2.0,flume
0.5,0.5,1.0,1.0,forc
0.5,0.5,1.0,1.0,pars
0.2,0.8,4.0,4.0,provid
0.5,0.5,1.0,1.0,remov
0.3333333333333333,0.6666666666666666,2.0,2.0,batch
0.5,0.5,1.0,1.0,dev
0.5,1.0,1.0,2.0,invok
0.5,1.0,1.0,2.0,error
0.5,1.0,1.0,2.0,loop
0.3333333333333333,0.6666666666666666,2.0,2.0,expect
0.5,1.0,1.0,2.0,spawn
0.5,1.5,1.0,3.0,stream
0.14285714285714285,1.857142857142857,6.0,13.0,file
0.3333333333333333,0.6666666666666666,2.0,2.0,fill
0.5,0.5,1.0,1.0,recov
0.5,0.5,1.0,1.0,end
0.16666666666666666,1.5,5.0,9.0,perform
0.5,0.5,1.0,1.0,detail
0.3333333333333333,1.3333333333333333,2.0,4.0,write
0.5,0.5,1.0,1.0,branch
0.25,1.25,3.0,5.0,test
0.2,1.4000000000000001,4.0,7.0,config
0.1111111111111111,1.4444444444444444,8.0,13.0,channel
0.5,0.5,1.0,1.0,updat
0.3333333333333333,1.6666666666666665,2.0,5.0,node
0.3333333333333333,0.6666666666666666,2.0,2.0,begin
0.5,0.5,1.0,1.0,determin
0.3333333333333333,0.6666666666666666,2.0,2.0,exec
0.3333333333333333,1.3333333333333333,2.0,4.0,buffer
0.5,0.5,1.0,1.0,driver
0.3333333333333333,1.0,2.0,3.0,capabl
0.5,0.5,1.0,1.0,user
0.5,1.0,1.0,2.0,data
0.5,0.5,1.0,1.0,lifecycle
0.5,1.0,1.0,2.0,alloc
0.5,0.5,1.0,1.0,builder
0.5,0.5,1.0,1.0,disabl
0.5,1.0,1.0,2.0,command
0.5,0.5,1.0,1.0,allow
0.5,0.5,1.0,1.0,time
0.5,0.5,1.0,1.0,interface
