IDF,TF*IDF,DF,TF,Word
0.25,0.75,3.0,3.0,jira
0.5,0.5,1.0,1.0,deco
0.5,0.5,1.0,1.0,rotat
0.5,0.5,1.0,1.0,lack
0.3333333333333333,0.6666666666666666,2.0,2.0,cross
0.5,0.5,1.0,1.0,runner
0.5,0.5,1.0,1.0,concurr
0.5,0.5,1.0,1.0,reconnect
0.5,0.5,1.0,1.0,scenerio
0.5,0.5,1.0,1.0,monitor
0.3333333333333333,0.6666666666666666,2.0,2.0,fix
0.3333333333333333,1.6666666666666665,2.0,5.0,writer
0.5,0.5,1.0,1.0,apach
0.16666666666666666,1.1666666666666665,5.0,7.0,tail
0.5,0.5,1.0,1.0,input
0.1111111111111111,1.8888888888888888,8.0,17.0,sourc
0.5,0.5,1.0,1.0,rollback
0.5,0.5,1.0,1.0,handl
0.25,0.75,3.0,3.0,stop
0.25,1.5,3.0,6.0,interrupt
0.5,0.5,1.0,1.0,loss
0.3333333333333333,0.6666666666666666,2.0,2.0,name
0.3333333333333333,0.6666666666666666,2.0,2.0,revert
0.3333333333333333,1.0,2.0,3.0,server
0.07692307692307693,1.4615384615384617,12.0,19.0,race
0.14285714285714285,1.2857142857142856,6.0,9.0,channel
0.3333333333333333,0.6666666666666666,2.0,2.0,refer
0.5,0.5,1.0,1.0,manag
0.5,0.5,1.0,1.0,truncat
0.5,0.5,1.0,1.0,mean
0.5,0.5,1.0,1.0,set
0.5,1.0,1.0,2.0,retransmit
0.5,1.0,1.0,2.0,naiv
0.5,0.5,1.0,1.0,sync
0.5,0.5,1.0,1.0,replay
0.5,0.5,1.0,1.0,result
0.5,0.5,1.0,1.0,flush
0.125,1.0,7.0,8.0,fail
0.14285714285714285,0.8571428571428571,6.0,6.0,close
0.16666666666666666,1.5,5.0,9.0,collector
0.16666666666666666,1.1666666666666665,5.0,7.0,event
0.5,0.5,1.0,1.0,append
0.14285714285714285,2.0,6.0,14.0,hdfs
0.3333333333333333,0.6666666666666666,2.0,2.0,detect
0.5,0.5,1.0,1.0,appear
0.5,0.5,1.0,1.0,avoid
0.5,0.5,1.0,1.0,current
0.3333333333333333,1.0,2.0,3.0,state
0.14285714285714285,1.1428571428571428,6.0,8.0,exit
0.5,1.0,1.0,2.0,reader
0.09090909090909091,1.6363636363636365,10.0,18.0,condit
0.5,1.0,1.0,2.0,experi
0.2,1.0,4.0,5.0,method
0.5,0.5,1.0,1.0,eechain
0.5,0.5,1.0,1.0,mode
0.2,1.0,4.0,5.0,hang
0.25,0.75,3.0,3.0,base
0.07692307692307693,1.8461538461538463,12.0,24.0,sink
0.5,1.0,1.0,2.0,address
0.3333333333333333,0.6666666666666666,2.0,2.0,put
0.25,0.75,3.0,3.0,throw
0.3333333333333333,2.333333333333333,2.0,7.0,thrift
0.1111111111111111,1.5555555555555554,8.0,14.0,thread
0.5,0.5,1.0,1.0,logic
0.3333333333333333,0.6666666666666666,2.0,2.0,commit
0.5,0.5,1.0,1.0,chang
0.5,0.5,1.0,1.0,produc
0.2,0.8,4.0,4.0,block
0.3333333333333333,1.3333333333333333,2.0,4.0,semant
0.5,0.5,1.0,1.0,upgrad
0.5,1.0,1.0,2.0,rpc
0.3333333333333333,1.0,2.0,3.0,shutdown
0.3333333333333333,1.0,2.0,3.0,linux
0.3333333333333333,1.0,2.0,3.0,cancel
0.3333333333333333,0.6666666666666666,2.0,2.0,unit
0.2,0.8,4.0,4.0,duplic
0.5,0.5,1.0,1.0,code
0.5,0.5,1.0,1.0,compon
0.5,0.5,1.0,1.0,coupl
0.3333333333333333,1.0,2.0,3.0,memori
0.3333333333333333,0.6666666666666666,2.0,2.0,transfer
0.25,1.0,3.0,4.0,system
0.5,1.0,1.0,2.0,messag
0.25,0.75,3.0,3.0,lifecycle
0.5,0.5,1.0,1.0,checkpoint
0.2,1.4000000000000001,4.0,7.0,start
0.5,0.5,1.0,1.0,master
0.3333333333333333,0.6666666666666666,2.0,2.0,rhel
0.5,1.0,1.0,2.0,illeg
0.1,1.6,9.0,16.0,call
0.5,0.5,1.0,1.0,includ
0.1111111111111111,1.7777777777777777,8.0,16.0,flume
0.5,1.0,1.0,2.0,consol
0.25,0.75,3.0,3.0,relat
0.5,0.5,1.0,1.0,idea
0.5,1.0,1.0,2.0,flag
0.3333333333333333,0.6666666666666666,2.0,2.0,crea
0.5,0.5,1.0,1.0,hold
0.3333333333333333,0.6666666666666666,2.0,2.0,reset
0.09090909090909091,1.0909090909090908,10.0,12.0,exception
0.5,0.5,1.0,1.0,setup
0.5,0.5,1.0,1.0,work
0.3333333333333333,1.6666666666666665,2.0,5.0,bucket
0.5,2.0,1.0,4.0,record
0.5,0.5,1.0,1.0,remain
0.5,0.5,1.0,1.0,tag
0.5,0.5,1.0,1.0,error
0.5,1.0,1.0,2.0,problem
0.5,1.0,1.0,2.0,deadlock
0.5,0.5,1.0,1.0,expect
0.5,0.5,1.0,1.0,sort
0.5,0.5,1.0,1.0,supervisor
0.25,0.75,3.0,3.0,creat
0.16666666666666666,0.8333333333333333,5.0,5.0,process
0.5,1.0,1.0,2.0,lock
0.2,1.0,4.0,5.0,agent
0.5,1.0,1.0,2.0,cluster
0.5,0.5,1.0,1.0,replica
0.5,0.5,1.0,1.0,exist
0.08333333333333333,1.4166666666666665,11.0,17.0,file
0.5,0.5,1.0,1.0,deliv
0.3333333333333333,0.6666666666666666,2.0,2.0,check
0.5,1.0,1.0,2.0,multipl
0.5,1.0,1.0,2.0,newlin
0.3333333333333333,0.6666666666666666,2.0,2.0,perform
0.3333333333333333,0.6666666666666666,2.0,2.0,hadoop
0.2,0.8,4.0,4.0,write
0.3333333333333333,0.6666666666666666,2.0,2.0,read
0.16666666666666666,1.5,5.0,9.0,test
0.2,1.0,4.0,5.0,config
0.5,0.5,1.0,1.0,singl
0.5,0.5,1.0,1.0,updat
0.2,1.0,4.0,5.0,node
0.3333333333333333,0.6666666666666666,2.0,2.0,begin
0.3333333333333333,0.6666666666666666,2.0,2.0,regard
0.5,0.5,1.0,1.0,nio
0.3333333333333333,0.6666666666666666,2.0,2.0,index
0.5,0.5,1.0,1.0,buffer
0.5,0.5,1.0,1.0,max
0.5,0.5,1.0,1.0,enter
0.5,0.5,1.0,1.0,driver
0.5,0.5,1.0,1.0,end
0.3333333333333333,0.6666666666666666,2.0,2.0,data
0.25,0.75,3.0,3.0,implement
0.3333333333333333,1.0,2.0,3.0,pool
0.5,0.5,1.0,1.0,entri
0.3333333333333333,0.6666666666666666,2.0,2.0,environ
0.5,0.5,1.0,1.0,allow
0.25,0.75,3.0,3.0,time
0.5,0.5,1.0,1.0,order
